"province","year","metric","value","unit","source_file"
"Anhui",2014,"E03_09_Gross_Regional_Product",20848.75,"100_million_yuan","data/raw/yearbook_analysis_images/2015/EN0309.jpg"
"Anhui",2015,"E02_05_Population_at_year_end",6011,"10000_persons","data/raw/yearbook_analysis_images/2025/E02-05.jpg"
"Anhui",2015,"E02_06_Urban_Population_Proportion",50.97,"percent","data/raw/yearbook_analysis_images/2025/E02-06.jpg"
"Anhui",2015,"E03_09_Gross_Regional_Product",22005.63,"100_million_yuan","data/raw/yearbook_analysis_images/2016/0309EN.jpg"
"Anhui",2015,"E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection",124.83,"100 million yuan","data/raw/yearbook_analysis_images/yearbook_table07_06_by_province_2014_2024.csv"
"Anhui",2015,"E08_12_Nitrogen_Oxides",72.1,"10000 tons","data/raw/yearbook_analysis_images/yearbook_table08_12_by_province_2014_2024.csv"
"Anhui",2015,"E08_12_Sulphur_Dioxide",48.01,"10000 tons","data/raw/yearbook_analysis_images/yearbook_table08_12_by_province_2014_2024.csv"
"Anhui",2015,"E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated",489.7,"10000 tons","data/raw/yearbook_analysis_images/yearbook_table08_17_by_province_2014_2024.csv"
"Anhui",2015,"E12_05_Consumption_of_Chemical_Fertilizers",338.7,"10000_tons","data/raw/yearbook_analysis_images/2016/1205EN.jpg"
"Anhui",2015,"E12_05_Irrigated_Area_of_Cultivated_Land",4400.3,"1000_hectares","data/raw/yearbook_analysis_images/2016/1205EN.jpg"
"Anhui",2015,"E12_07_Area_with_Flood_Prevention_Measures",2334.3,"1000_hectares","data/raw/yearbook_analysis_images/2016/1207EN.jpg"
"Anhui",2015,"E12_07_Area_with_Soil_Erosion_under_Control",1857.4,"1000_hectares","data/raw/yearbook_analysis_images/2016/1207EN.jpg"
"Anhui",2015,"E12_07_Capacity_of_Reservoirs",325.1,"100_million_cu_m","data/raw/yearbook_analysis_images/2016/1207EN.jpg"
"Anhui",2015,"E12_07_Number_of_Reservoirs",5877,"counts","data/raw/yearbook_analysis_images/2016/1207EN.jpg"
"Anhui",2015,"E12_08_Cereals",5599,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Corn",881.6,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Cotton",232.5,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Fiber_Crops",7.3,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Flue_cured_Tobacco",16,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Jute_and_Ambary_Hemp",4.3,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Oil_bearing_Crops",772.1,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Orchards",128.1,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Peanuts",191.1,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Rapeseeds",532.4,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Rice",2234.9,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Sown_Area_of_Grain_Crops",6632.9,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Soybeans",893.6,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Sugar_Crops",5.1,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Sugarcane",5.1,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Tea_Plantations",167.9,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Tobacco",16.2,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Total_Sown_Area",8950.5,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Tubers",140.3,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Vegetables",866.8,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_08_Wheat",2457,"1000_hectares","data/raw/yearbook_analysis_images/2016/1208EN.jpg"
"Anhui",2015,"E12_10_Apples",37.5,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Beans",134,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Cereals",3371.3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Citrus",3.8,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Corn",496.3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Cotton",23.4,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Fiber_Crops",2.6,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Flue_cured_Tobacco",4.2,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Fruits",1029.8,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Grain",3538.1,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Grapes",46.2,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Jute_and_Ambary_Hemp",1.3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Mulberry_Silkworm_Cocoons",3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Oil_bearing_Crops",227.9,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Peanuts",94.4,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Pears",111.7,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Rapeseeds",126.3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Rice",1459.3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Sesame",7.1,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Silkworm_Cocoons",3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Sugarcane",20.3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Tea",11.3,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Tobacco",4.2,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Tubers",32.7,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_10_Wheat",1411,"10000_tons","data/raw/yearbook_analysis_images/2016/1210EN.jpg"
"Anhui",2015,"E12_13_Hogs_year_end",1539.4,"10000_heads","data/raw/yearbook_analysis_images/2016/1213EN.jpg"
"Anhui",2015,"E12_13_Large_Animals_year_end",165,"10000_heads","data/raw/yearbook_analysis_images/2016/1213EN.jpg"
"Anhui",2015,"E12_14_Milk",30.6,"10000_tons","data/raw/yearbook_analysis_images/2016/1214EN.jpg"
"Anhui",2015,"E12_14_Pork",259.1,"10000_tons","data/raw/yearbook_analysis_images/2016/1214EN.jpg"
"Anhui",2015,"E12_15_Freshwater_Aquatic_Products",230.4,"10000_tons","data/raw/yearbook_analysis_images/2016/1215EN_source.jpg"
"Anhui",2015,"E12_15_Total_Aquatic_Products",230.4,"10000_tons","data/raw/yearbook_analysis_images/2016/1215EN_source.jpg"
"Anhui",2015,"E20_07_Expenditure_on_R_and_D",3221422,"10000_yuan","data/raw/yearbook_analysis_images/2016/2007EN.jpg"
"Anhui",2015,"E22_01_Hospitals",1018,"count","data/raw/yearbook_analysis_images/2016/2201EN.jpg"
"Anhui",2015,"E22_01_Total",24853,"count","data/raw/yearbook_analysis_images/2016/2201EN.jpg"
"Anhui",2015,"E22_06_Hospitals",20.27,"10000_beds","data/raw/yearbook_analysis_images/2016/2206EN.jpg"
"Anhui",2015,"E22_06_Total",26.74,"10000_beds","data/raw/yearbook_analysis_images/2016/2206EN.jpg"
"Anhui",2015,"E25_05_Production_Capacity_of_Tap_Water_Supply_year_end",1094.8,"10 000 cu.m/day","data/raw/yearbook_analysis_images/yearbook_table25_by_province_2014_2024.csv"
"Anhui",2015,"E25_05_Total_Annual_Volume_of_Tap_Water_Supply",174263,"10 000 cu.m","data/raw/yearbook_analysis_images/yearbook_table25_by_province_2014_2024.csv"
"Anhui",2015,"E25_08_Daily_Disposal_Capacity_of_City_Sewage",646.2,"10 000 cu.m","data/raw/yearbook_analysis_images/yearbook_table25_by_province_2014_2024.csv"
"Anhui",2015,"E25_08_Length_of_City_Sewage_Pipes",24399,"km","data/raw/yearbook_analysis_images/yearbook_table25_by_province_2014_2024.csv"
"Anhui",2016,"E02_05_Population_at_year_end",6033,"10000_persons","data/raw/yearbook_analysis_images/2025/E02-05.jpg"
"Anhui",2016,"E02_06_Urban_Population_Proportion",52.62,"percent","data/raw/yearbook_analysis_images/2025/E02-06.jpg"
"Anhui",2016,"E03_09_Gross_Regional_Product",24407.62,"100_million_yuan","data/raw/yearbook_analysis_images/2017/EN0309.jpg"
"Anhui",2016,"E03_09_Per_Capita_Gross_Regional_Product",39561,"yuan","data/raw/yearbook_analysis_images/2017/EN0309.jpg"
"Anhui",2016,"E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection",133.64,"100 million yuan","data/raw/yearbook_analysis_images/yearbook_table07_06_by_province_2014_2024.csv"
"Anhui",2016,"E08_12_Nitrogen_Oxides",50.76,"10000 tons","data/raw/yearbook_analysis_images/yearbook_table08_12_by_province_2014_2024.csv"
"Anhui",2016,"E08_12_Sulphur_Dioxide",28.16,"10000 tons","data/raw/yearbook_analysis_images/yearbook_table08_12_by_province_2014_2024.csv"
"Anhui",2016,"E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated",539.6,"10000 tons","data/raw/yearbook_analysis_images/yearbook_table08_17_by_province_2014_2024.csv"
"Anhui",2016,"E12_05_Consumption_of_Chemical_Fertilizers",327,"10000_tons","data/raw/yearbook_analysis_images/2017/EN1205.jpg"
"Anhui",2016,"E12_05_Irrigated_Area_of_Cultivated_Land",4437.5,"1000_hectares","data/raw/yearbook_analysis_images/2017/EN1205.jpg"
"Anhui",2016,"E12_07_Area_with_Flood_Prevention_Measures",2357.7,"1000_hectares","data/raw/yearbook_analysis_images/2017/EN1207.jpg"
"Anhui",2016,"E12_07_Area_with_Soil_Erosion_under_Control",1901.8,"1000_hectares","data/raw/yearbook_analysis_images/2017/EN1207.jpg"
"Anhui",2016,"E12_07_Capacity_of_Reservoirs",325.1,"100_million_cu_m","data/raw/yearbook_analysis_images/2017/EN1207.jpg"
"Anhui",2016,"E12_07_Number_of_Reservoirs",5932,"counts","data/raw/yearbook_analysis_images/2017/EN1207.jpg"
"Anhui",2016,"E12_08_Cereals",5603.9,"1000_hectares","data/raw/yearbook_analysis_images/2017/EN1208.jpg"
"Anhui",2016,"E12_08_Corn",876.2,"1000_hectares","data/raw/yearbook_analysis_images/2017/EN1208.jpg"
"Anhui",2016,"E12_08_Cotton",183.4,"1000_hectares","data/raw/yearbook_analysis_images/2017/EN1208.jpg"
"Anhui",2016,"E12_08_Fiber_Crops",6.4,"1000_hectares","data/raw/yearbook_analysis_images/2017/EN1208.jpg"
