province,amr_burden_score_2024,total_strains_curated_2024,env_rows,env_unique_references,env_unique_matrices,sample_year_min,sample_year_max,env_year_span,amr_burden_percentile,env_rows_percentile,env_matrices_percentile,env_year_span_percentile,env_evidence_percentile,env_monitoring_weakness,monitoring_gap_priority_score,quadrant,top_quartile_amr,bottom_quartile_env,strict_h1_priority,priority_rank
Inner Mongolia,41.21184488758445,95253,1,1,1,2021.0,2021.0,1.0,0.8387096774193549,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.053763440860215055,0.946236559139785,0.7936177592785294,High AMR / Low Env,True,True,True,1
Jilin,44.73029859364033,99728,79,9,3,2017.0,2023.0,7.0,0.9354838709677419,0.2903225806451613,0.25806451612903225,0.22580645161290322,0.25806451612903225,0.7419354838709677,0.6940686784599376,High AMR / Low Env,True,False,False,2
Gansu,37.618068140000105,128257,36,2,1,2014.0,2014.0,1.0,0.5806451612903226,0.1935483870967742,0.06451612903225806,0.06451612903225806,0.10752688172043011,0.8924731182795699,0.5182101977107181,High AMR / Low Env,False,True,False,3
Anhui,38.71030965819955,195925,85,8,3,2016.0,2022.0,7.0,0.6451612903225806,0.3548387096774194,0.25806451612903225,0.22580645161290322,0.2795698924731183,0.7204301075268817,0.4647936177592785,High AMR / Low Env,False,False,False,4
Shaanxi,39.99700536951423,165385,122,14,4,2014.0,2023.0,10.0,0.7096774193548387,0.4838709677419355,0.43548387096774194,0.3870967741935484,0.435483870967742,0.564516129032258,0.400624349635796,High AMR / Low Env,False,False,False,5
Hubei,37.71689012646675,263820,164,16,2,2014.0,2022.0,9.0,0.6129032258064516,0.6451612903225806,0.16129032258064516,0.3225806451612903,0.3763440860215053,0.6236559139784947,0.3822407214706903,High AMR / Low Env,False,False,False,6
Heilongjiang,41.09809957444668,149725,82,14,6,2015.0,2024.0,10.0,0.8064516129032258,0.3225806451612903,0.8870967741935484,0.3870967741935484,0.532258064516129,0.467741935483871,0.37721123829344433,High AMR / High Env,True,False,False,7
Henan,46.18820920586586,356128,210,17,5,2014.0,2025.0,12.0,0.967741935483871,0.7419354838709677,0.6612903225806451,0.532258064516129,0.6451612903225806,0.3548387096774194,0.3433922996878252,High AMR / High Env,True,False,False,8
Yunnan,35.74366085231304,244244,41,6,2,2012.0,2023.0,12.0,0.4838709677419355,0.22580645161290322,0.16129032258064516,0.532258064516129,0.3064516129032258,0.6935483870967742,0.33558792924037467,Low AMR / Low Env,False,False,False,9
Liaoning,47.87080008536577,105039,305,27,5,2011.0,2022.0,12.0,1.0,0.8387096774193549,0.6612903225806451,0.532258064516129,0.6774193548387096,0.32258064516129037,0.32258064516129037,High AMR / High Env,True,False,False,10
