priority_rank,province,amr_burden_score_2024,amr_burden_percentile,env_rows,env_unique_matrices,env_year_span,env_evidence_percentile,env_monitoring_weakness,monitoring_gap_priority_score,quadrant,strict_h1_priority
1,Inner Mongolia,41.21184488758445,0.8387096774193549,1,1,1.0,0.053763440860215055,0.946236559139785,0.7936177592785294,High AMR / Low Env,True
2,Jilin,44.73029859364033,0.9354838709677419,79,3,7.0,0.25806451612903225,0.7419354838709677,0.6940686784599376,High AMR / Low Env,False
3,Gansu,37.618068140000105,0.5806451612903226,36,1,1.0,0.10752688172043011,0.8924731182795699,0.5182101977107181,High AMR / Low Env,False
4,Anhui,38.71030965819955,0.6451612903225806,85,3,7.0,0.2795698924731183,0.7204301075268817,0.4647936177592785,High AMR / Low Env,False
5,Shaanxi,39.99700536951423,0.7096774193548387,122,4,10.0,0.435483870967742,0.564516129032258,0.400624349635796,High AMR / Low Env,False
6,Hubei,37.71689012646675,0.6129032258064516,164,2,9.0,0.3763440860215053,0.6236559139784947,0.3822407214706903,High AMR / Low Env,False
7,Heilongjiang,41.09809957444668,0.8064516129032258,82,6,10.0,0.532258064516129,0.467741935483871,0.37721123829344433,High AMR / High Env,False
8,Henan,46.18820920586586,0.967741935483871,210,5,12.0,0.6451612903225806,0.3548387096774194,0.3433922996878252,High AMR / High Env,False
9,Yunnan,35.74366085231304,0.4838709677419355,41,2,12.0,0.3064516129032258,0.6935483870967742,0.33558792924037467,Low AMR / Low Env,False
10,Liaoning,47.87080008536577,1.0,305,5,12.0,0.6774193548387096,0.32258064516129037,0.32258064516129037,High AMR / High Env,False
