province,mean_resistance_all_endpoints_2024,total_strains_all_endpoints_2024,n_endpoints_2024,amr_burden_score_2024,n_curated_endpoints_2024,total_strains_curated_2024,res_a_baumannii__levofloxacin_2024,res_e_coli__ciprofloxacin_2024,res_e_coli__levofloxacin_2024,res_e_coli__trimethoprim_sulfamethoxazole_2024,res_k_pneumoniae__ciprofloxacin_2024,res_k_pneumoniae__levofloxacin_2024,res_p_aeruginosa__ciprofloxacin_2024,res_s_aureus__erythromycin_2024
Anhui,24.86116920780634,1728736,107,38.71030965819955,8,195925,47.67305254936218,52.95727252960205,51.5112578868866,51.22421383857727,21.61242365837097,18.90858858823776,11.46450862288475,54.331159591674805
Beijing,28.574722649085675,1403594,107,43.3476772159338,8,169989,47.099924087524414,57.126110792160034,56.23642802238464,48.40725064277649,34.387439489364624,32.38585889339447,12.657201290130615,58.48120450973511
Chongqing,22.455916447003556,2220570,107,34.60493450984359,8,241388,47.54461944103241,47.41291105747223,45.42336165904999,48.994097113609314,14.979211986064913,12.469369173049929,7.484466582536697,52.53143906593323
Fujian,23.264502303317954,1673888,107,35.797189362347126,8,215746,46.76337242126465,48.649901151657104,46.22700810432434,46.05850875377655,22.278839349746704,20.70733606815338,11.328290402889252,44.36425864696503
Gansu,22.33082924677912,1201109,107,37.618068140000105,8,128257,46.10399305820465,53.48167419433594,50.889283418655396,54.785943031311035,8.551086485385895,8.703342080116272,7.79501274228096,70.6342101097107
Guangdong,24.299747431726917,4141484,107,34.84645299613476,8,468067,46.62044942378998,43.17324757575989,41.99317693710327,48.88155162334442,28.10613214969635,21.77858203649521,8.2880899310112,39.93039429187775
Guangxi,24.001635033985444,2819607,107,34.79427630081773,8,312421,49.295514822006226,44.03737783432007,42.78227686882019,54.97545003890991,21.16357535123825,17.805728316307068,7.373913377523422,40.92037379741669
Guizhou,21.332694816503185,1583887,107,32.98854613676667,8,178342,36.12976670265198,45.62115967273712,43.88841986656189,53.823572397232056,13.578161597251892,12.591730058193209,7.035466283559799,51.240092515945435
Hainan,20.893576585853072,663955,107,33.32128515467048,8,74530,43.33717226982117,47.70748019218445,45.15402019023895,51.52674913406372,16.96319431066513,14.670534431934357,8.063959330320358,39.14717137813568
Hebei,24.104542447750188,2305307,107,40.79520320519805,8,264191,44.99646723270416,58.09022784233093,54.77834939956665,54.49891686439514,18.49903166294098,15.993919968605042,11.293741315603256,68.21097135543823
Heilongjiang,21.989354324553197,1339138,107,41.09809957444668,8,149725,36.70128285884857,62.31300234794617,58.667927980422974,58.8465690612793,15.993954241275787,14.660881459712982,8.73500108718872,72.86617755889893
Henan,29.056333149369877,3131616,107,46.18820920586586,8,356128,64.56786394119263,57.57206082344055,55.06348013877869,56.845301389694214,28.078868985176086,25.858375430107117,11.910021305084229,69.60970163345337
Hubei,24.095473095348158,2298133,107,37.71689012646675,8,263820,52.8092086315155,51.03842616081238,48.50306510925293,46.01167440414429,22.518284618854523,19.225454330444336,8.453713357448578,53.175294399261475
Hunan,23.10771842565492,2448500,107,33.83043557405472,8,275308,48.51045906543732,44.45441961288452,40.412622690200806,46.27372324466705,21.53680771589279,17.727497220039368,7.3777660727500916,44.35018897056579
Inner Mongolia,22.4635748530218,787840,107,41.21184488758445,8,95253,37.3828262090683,65.8150851726532,62.80007362365723,56.17362856864929,16.870346665382385,15.05444347858429,7.121922820806503,68.47643256187439
Jiangsu,26.441311110333306,3469779,107,39.92591332644224,8,454277,51.76545977592468,56.42590522766113,54.644232988357544,48.29733967781067,21.19763493537903,19.492264091968536,12.872758507728577,54.71171140670776
Jiangxi,23.062344033175332,1715222,107,34.49494121596217,8,196277,49.56805408000946,44.73014175891876,42.416805028915405,47.18432426452637,21.60452157258987,18.46238076686859,10.294822603464128,41.698479652404785
Jilin,22.496652662553867,863272,107,44.73029859364033,8,99728,40.871694684028625,70.57105302810669,66.34044647216797,61.9709312915802,18.321527540683743,14.71717655658722,10.202451050281525,74.84710812568665
Liaoning,27.271018099152943,937873,107,47.87080008536577,8,105039,55.46578764915466,69.17310953140259,64.76317644119263,59.6038281917572,24.44738745689392,20.74294686317444,15.74619561433792,73.02396893501282
Ningxia,18.423535152464652,597544,107,32.037683855742216,8,72028,30.05756437778473,53.857964277267456,50.491929054260254,50.531792640686035,5.31202144920826,4.187827929854393,4.9418605864048,56.9205105304718
Qinghai,16.098673081473734,280525,107,32.49421454966068,8,34589,23.63911271095276,51.73107981681824,51.61927342414856,52.878910303115845,7.253886014223099,6.1017729341983795,4.915390908718109,61.814290285110474
Shaanxi,24.40600453334138,1419948,107,39.99700536951423,8,165385,48.37698936462402,56.36646151542664,53.01123261451721,50.86504220962525,20.132827758789062,16.644655168056488,9.444297105073929,65.13453722000122
Shandong,23.04584342316141,5392792,107,40.34864204004407,8,594197,49.62843656539917,55.0091028213501,52.728110551834106,52.22875475883484,18.68058741092682,16.270023584365845,10.640860348939896,67.60326027870178
Shanghai,28.151471750749813,2377909,107,42.6718620583415,8,245264,50.61728358268738,58.10326933860779,55.26718497276306,44.372203946113586,35.045126080513,33.00226032733917,16.050322353839874,48.91724586486816
Shanxi,21.49076467623638,1395719,107,37.1303373016417,8,162390,44.56438720226288,55.99634051322937,54.031968116760254,52.10040211677551,12.13022992014885,11.23454123735428,8.385995030403137,58.59883427619934
Sichuan,22.35564017221201,3993215,107,35.248700715601444,8,425212,41.07069969177246,47.97160029411316,46.071937680244446,50.08980631828308,17.512574791908264,15.901722013950348,7.381260395050049,55.990004539489746
Tianjin,19.273666747971916,1398955,107,34.51485363766551,8,140748,27.09895670413971,51.78680419921875,51.75558924674988,50.592947006225586,15.469688177108765,14.049586653709412,7.3467932641506195,58.01846385002136
Tibet,21.157242567876843,52234,107,26.9154938403517,8,7125,28.145694732666016,33.93939435482025,35.19999980926514,45.59408724308014,8.298755437135696,8.89570564031601,3.82513664662838,51.42517685890198
Xinjiang,19.99583572636698,1637401,107,32.317697163671255,8,185959,34.918901324272156,47.27394878864288,43.30911338329315,44.42668259143829,16.146399080753326,13.968972861766815,7.567398995161056,50.93016028404236
Yunnan,22.633199909023034,2302098,107,35.74366085231304,8,244244,40.197089314460754,45.06312310695648,43.96560490131378,53.76865267753601,20.933008193969727,17.22644567489624,9.130316972732544,55.665045976638794
Zhejiang,21.20562470099175,4524572,107,32.92424147948623,8,521130,32.630011439323425,47.94784486293793,45.13043761253357,46.2151437997818,18.279410898685455,13.562729954719543,11.336574703454971,48.291778564453125
