province,chemical_fertilizers_2024,freshwater_aquatic_products_2024,grp_2024,grp_per_capita_2024,hogs_year_end_2024,hospital_beds_2024,hospitals_count_2024,large_animals_year_end_2024,milk_output_2024,population_2024,pork_output_2024,sewage_disposal_capacity_2024,sewage_pipe_length_2024,total_aquatic_products_2024,urban_env_infra_investment_2024,urban_share_2024,log1p__chemical_fertilizers_2024,rankpct__chemical_fertilizers_2024,log1p__freshwater_aquatic_products_2024,rankpct__freshwater_aquatic_products_2024,log1p__grp_2024,rankpct__grp_2024,log1p__grp_per_capita_2024,rankpct__grp_per_capita_2024,log1p__hogs_year_end_2024,rankpct__hogs_year_end_2024,log1p__hospital_beds_2024,rankpct__hospital_beds_2024,log1p__hospitals_count_2024,rankpct__hospitals_count_2024,log1p__large_animals_year_end_2024,rankpct__large_animals_year_end_2024,log1p__milk_output_2024,rankpct__milk_output_2024,log1p__population_2024,rankpct__population_2024,log1p__pork_output_2024,rankpct__pork_output_2024,log1p__sewage_disposal_capacity_2024,rankpct__sewage_disposal_capacity_2024,log1p__sewage_pipe_length_2024,rankpct__sewage_pipe_length_2024,log1p__total_aquatic_products_2024,rankpct__total_aquatic_products_2024,log1p__urban_env_infra_investment_2024,rankpct__urban_env_infra_investment_2024,log1p__urban_share_2024,rankpct__urban_share_2024,WastewaterHealthIndex,LivestockAquacultureIndex,EconomicScaleIndex
Anhui,275.5,261.2,50625.2,82694.0,1545.5,34.57,1354.0,111.1,63.2,6123.0,251.1,882.3,39090.0,261.2,2968658.0,62.57,5.6222108209623896,0.9354838709677419,5.569107571329599,0.8387096774193549,10.832224507831615,0.6774193548387096,11.322914419691894,0.6129032258064516,7.343749592125124,0.6451612903225806,3.571502585960364,0.7419354838709677,7.2115567333138015,0.6129032258064516,4.719391330078114,0.3225806451612903,4.162003210695915,0.5161290322580645,8.719970756777574,0.7419354838709677,5.529825834193874,0.6774193548387096,6.783664893751086,0.6451612903225806,10.573647540450066,0.7741935483870968,5.569107571329599,0.6774193548387096,14.903620893663708,0.8387096774193549,4.152141660948318,0.3225806451612903,0.7225806451612904,0.6589861751152073,0.5887096774193549
Beijing,6.7,1.4,49843.1,228167.0,28.7,13.33,682.0,9.0,27.1,2183.0,1.8,751.0,20930.0,7.1,1860629.0,88.22,2.0412203288596382,0.12903225806451613,0.8754687373538999,0.06451612903225806,10.816655413320275,0.6451612903225806,12.337837478706977,1.0,3.391147045808654,0.03225806451612903,2.6623552418400807,0.1935483870967742,6.52649485957079,0.22580645161290322,2.302585092994046,0.06451612903225806,3.3357695763397,0.3225806451612903,7.688913336864796,0.1935483870967742,1.0296194171811583,0.06451612903225806,6.62273632394984,0.5806451612903226,9.948986592607346,0.41935483870967744,2.0918640616783932,0.16129032258064516,14.43642569801763,0.6451612903225806,4.491105229700119,0.967741935483871,0.4129032258064516,0.11981566820276499,0.7016129032258065
Chongqing,88.2,61.2,32193.2,100903.0,1030.3,18.51,851.0,91.7,3.2,3190.0,152.2,523.8,26804.0,61.2,1580317.0,72.14,4.490881039585964,0.3870967741935484,4.130354999745133,0.5161290322580645,10.37954159108458,0.4838709677419355,11.521924848767028,0.7096774193548387,6.938575421322024,0.4838709677419355,2.97092715463502,0.3870967741935484,6.747586526829315,0.3225806451612903,4.529368472571809,0.2903225806451613,1.4350845252893227,0.0967741935483871,8.068089626278244,0.41935483870967744,5.0317442573064906,0.4838709677419355,6.263017237629879,0.45161290322580644,10.196343716261637,0.6451612903225806,4.130354999745133,0.45161290322580644,14.273136650574687,0.5806451612903226,4.292375412721235,0.7741935483870968,0.4774193548387096,0.3870967741935484,0.5967741935483871
Fujian,86.4,106.0,57761.0,137920.0,960.0,19.76,736.0,31.0,27.7,4193.0,134.0,662.8,26729.0,924.7,1410718.0,71.8,4.470495282661489,0.3548387096774194,4.672828834461906,0.6774193548387096,10.964086399006021,0.7741935483870968,11.834436336451281,0.9032258064516129,6.8679744089702925,0.45161290322580644,3.033028058297688,0.45161290322580644,6.602587892189336,0.25806451612903225,3.4657359027997265,0.16129032258064516,3.3568971227655755,0.3548387096774194,8.341410211461865,0.5806451612903226,4.90527477843843,0.45161290322580644,6.497980899285874,0.5483870967741935,10.193541809132965,0.6129032258064516,6.8305502080731655,0.9354838709677419,14.159610061462715,0.5161290322580645,4.28771595520264,0.7419354838709677,0.4774193548387096,0.4838709677419355,0.75
Gansu,77.3,1.7,13002.9,52825.0,704.1,15.8,765.0,587.3,117.3,2458.0,73.9,209.8,9510.0,1.7,1718766.0,56.83,4.360547602996758,0.3225806451612903,0.9932517730102833,0.0967741935483871,9.473004591452671,0.16129032258064516,10.874758772735746,0.03225806451612903,6.558339636724995,0.3548387096774194,2.8213788864092133,0.25806451612903225,6.641182169740591,0.2903225806451613,6.37723702187041,0.8064516129032258,4.773223770984341,0.6774193548387096,7.807510042216193,0.2903225806451613,4.316153890523174,0.2903225806451613,5.350909816667207,0.16129032258064516,9.160204302482386,0.16129032258064516,0.9932517730102833,0.06451612903225806,14.357117731257194,0.6129032258064516,4.057507672170127,0.12903225806451613,0.2967741935483871,0.37327188940092165,0.1532258064516129
Guangdong,204.9,458.0,141633.8,111146.0,2247.5,53.27,1895.0,88.6,26.0,12780.0,305.2,3276.1,158695.0,966.4,2577356.0,75.91,5.327390614033744,0.6129032258064516,6.129050210060545,0.967741935483871,11.861007192758912,1.0,11.618608928474785,0.8064516129032258,7.718018606210762,0.7741935483870968,3.9939715880753135,0.9032258064516129,7.547501682814967,0.8387096774193549,4.4953553199808844,0.25806451612903225,3.295836866004329,0.2903225806451613,9.455714972131714,1.0,5.7242384832235835,0.8064516129032258,8.094714163948813,1.0,11.974745701407944,1.0,6.874612060388883,1.0,14.762275013217781,0.8064516129032258,4.342635907068963,0.9032258064516129,0.9096774193548388,0.6728110599078342,0.9274193548387097
Guangxi,247.9,160.2,28649.4,57071.0,2434.1,26.14,929.0,336.4,13.7,5013.0,287.4,892.4,23696.0,388.7,1044628.0,57.39,5.517051209373546,0.7741935483870968,5.0826458300725275,0.7419354838709677,10.262922683651007,0.41935483870967744,10.952068907598672,0.0967741935483871,7.7977431024352395,0.8064516129032258,3.301008654406723,0.5806451612903226,6.835184586147301,0.41935483870967744,5.821269170111868,0.6129032258064516,2.6878474937846906,0.22580645161290322,8.519989278718239,0.6774193548387096,5.664348405410794,0.7741935483870968,6.795034408918018,0.6774193548387096,10.073103736832529,0.4838709677419355,5.965377212344664,0.7741935483870968,13.85917235642169,0.41935483870967744,4.067144642295446,0.16129032258064516,0.5161290322580645,0.6728110599078342,0.3387096774193548
Guizhou,73.6,29.5,22667.1,58685.0,1570.1,26.18,1572.0,479.3,3.0,3860.0,186.3,430.8,17236.0,29.5,604915.0,56.65,4.312140507209715,0.2903225806451613,3.417726683613366,0.41935483870967744,10.028713928784985,0.3225806451612903,10.979956476518549,0.12903225806451613,7.359531289953551,0.6774193548387096,3.3024814087229974,0.6129032258064516,7.360739903058278,0.7096774193548387,6.174410908670779,0.7419354838709677,1.3862943611198906,0.06451612903225806,8.258681496264236,0.4838709677419355,5.2327116094500425,0.5483870967741935,6.067962518080707,0.3225806451612903,9.75481351515439,0.3870967741935484,3.417726683613366,0.3870967741935484,13.312844884398194,0.22580645161290322,4.054390246715068,0.0967741935483871,0.4516129032258065,0.44700460829493094,0.25806451612903225
Hainan,36.4,49.5,7935.7,75903.0,315.8,4.73,247.0,44.3,0.3,1048.0,40.4,162.6,8607.0,181.4,291842.0,63.08,3.6216707044204863,0.1935483870967742,3.9219733362813143,0.4838709677419355,8.97925285071998,0.12903225806451613,11.237224662917342,0.45161290322580644,5.758270659940271,0.22580645161290322,1.7457155307266483,0.12903225806451613,5.5134287461649825,0.0967741935483871,3.8133070324889884,0.22580645161290322,0.26236426446749106,0.03225806451612903,6.955592608396297,0.12903225806451613,3.7232808808312687,0.22580645161290322,5.097424424168647,0.12903225806451613,9.060447282401565,0.12903225806451613,5.206202077640231,0.6129032258064516,12.583971265420532,0.12903225806451613,4.160132302760104,0.3548387096774194,0.12258064516129033,0.2857142857142857,0.2661290322580645
Hebei,263.4,32.6,47526.9,64352.0,1784.8,42.89,2528.0,446.6,562.6,7378.0,268.0,807.9,26870.0,118.0,3233889.0,63.42,5.577463107977531,0.8709677419354839,3.5145260669691587,0.45161290322580644,10.769072186010472,0.6129032258064516,11.072138831984212,0.1935483870967742,7.487621773083116,0.7419354838709677,3.7816865037001426,0.8387096774193549,7.835579246669965,0.967741935483871,6.10389997643777,0.7096774193548387,6.334344780024526,0.967741935483871,8.906393407058367,0.8387096774193549,5.594711379601839,0.7419354838709677,6.695675300023907,0.6129032258064516,10.198802917143304,0.6774193548387096,4.77912349311153,0.5806451612903226,14.989196304935271,0.9032258064516129,4.165424143903053,0.3870967741935484,0.8,0.7235023041474654,0.5080645161290323
