province,group_of_antibiotic,matrix,n_rows,n_rows_mean_based,n_rows_max_based,median_log10_primary_concentration,median_log10_mean_concentration,median_log10_max_concentration,median_primary_concentration_raw,concentration_unit_mode,sample_year_min,sample_year_max
Anhui,fluoroquinolones,sediment,18,18,5,5.909771967770935,5.909771967770935,7.383815365980431,850000.0,ng/g dw,2016.0,2019.0
Anhui,fluoroquinolones,wastewater effluent,1,1,1,2.3541084391474008,2.3541084391474008,3.2964896822850456,226.0,ng/L,2022.0,2022.0
Anhui,fluoroquinolones,wastewater influent,4,3,4,1.6583886704989934,2.049605612594973,2.696331121739827,65.3,ng/L,2022.0,2022.0
Anhui,macrolides,sediment,14,14,5,5.532228994613459,5.532228994613459,7.008600171761918,390000.0,ng/g dw,2016.0,2019.0
Anhui,macrolides,wastewater influent,1,1,0,1.6324572921847242,1.6324572921847242,,42.9,ng/L,2022.0,2022.0
Anhui,other,sediment,3,3,1,5.6020599913279625,5.6020599913279625,7.096910013008056,400000.0,ng/g dw,2016.0,2019.0
Anhui,sulfonamides,sediment,20,20,9,5.016711877743475,5.016711877743475,6.547774705387822,105000.0,ng/g dw,2016.0,2019.0
Anhui,sulfonamides,wastewater effluent,4,4,4,0.7536580200382068,0.7536580200382068,1.4616453293656182,5.75,ng/L,2022.0,2022.0
Anhui,sulfonamides,wastewater influent,5,5,5,0.9777236052888477,0.9777236052888477,1.9849771264154934,9.5,ng/L,2022.0,2022.0
Anhui,tetracyclines,sediment,15,15,3,5.929418925714293,5.929418925714293,7.498310553789601,850000.0,ng/g dw,2016.0,2019.0
Beijing,fluoroquinolones,sediment,11,11,11,6.661812685537261,6.661812685537261,7.123851640967086,4590000.0,ng/g dw,2012.0,2017.0
Beijing,fluoroquinolones,sludge,31,31,16,8.3634803555596,8.3634803555596,8.502487237079743,230930000.0,ng/g dw,2008.0,2016.0
Beijing,fluoroquinolones,soil,14,14,7,7.044457673302453,7.044457673302453,8.456366033129044,11220000.0,ng/g dw,2009.0,2015.0
Beijing,fluoroquinolones,surface water,1,1,1,2.534914104429867,2.534914104429867,2.534914104429867,342.7,ng/L,2013.0,2013.0
Beijing,fluoroquinolones,wastewater effluent,1,1,0,4.086003705618382,4.086003705618382,,12190.0,ng/L,2024.0,2024.0
Beijing,fluoroquinolones,wastewater influent,2,1,1,4.4672411455741186,4.283301228703549,4.651181062444688,31995.0,ng/L,2024.0,2024.0
Beijing,macrolides,sediment,4,4,4,6.13946821165055,6.13946821165055,6.649330492056382,1805000.0,ng/g dw,2014.0,2017.0
Beijing,macrolides,sludge,12,11,11,6.833726476444976,6.8750612633917,7.63748972951251,6850000.0,ng/g dw,2008.0,2022.0
Beijing,macrolides,soil,6,6,3,4.889075625191822,4.889075625191822,6.332438459915605,80000.0,ng/g dw,2010.0,2013.0
Beijing,other,sludge,1,1,0,5.778151250383644,5.778151250383644,,600000.0,ng/g dw,2010.0,2010.0
Beijing,other,soil,4,4,3,4.821726338243094,4.821726338243094,6.049218022670182,120000.0,ng/g dw,2010.0,2010.0
Beijing,sulfonamides,sediment,13,13,13,5.556302500767287,5.556302500767287,6.307496037913213,360000.0,ng/g dw,2012.0,2017.0
Beijing,sulfonamides,sludge,21,21,13,6.623249290397901,6.623249290397901,7.498310553789601,4200000.0,ng/g dw,2008.0,2015.0
Beijing,sulfonamides,soil,26,26,4,5.665612390510367,5.665612390510367,6.649819012489537,463333.33333333326,ng/g dw,2009.0,2015.0
Beijing,sulfonamides,wastewater effluent,1,1,0,2.859138297294531,2.859138297294531,,723.0,ng/L,2023.0,2023.0
Beijing,tetracyclines,sediment,8,8,8,7.0438907089047715,7.0438907089047715,7.828044786779964,11100000.0,ng/g dw,2012.0,2017.0
