province,env_rows,env_unique_references,env_unique_antibiotics,env_unique_classes,env_unique_matrices,env_unique_locations,env_rows_with_mean,env_rows_with_max,sample_year_min,sample_year_max
Anhui,85,8,26,5,3,13,84,37,2016.0,2022.0
Beijing,182,30,45,5,6,9,180,100,2008.0,2024.0
Chongqing,109,15,25,5,4,7,109,79,2012.0,2023.0
Fujian,133,21,37,5,4,18,133,61,2010.0,2023.0
Gansu,36,2,14,3,1,1,36,0,2014.0,2014.0
Guangdong,1745,90,59,8,6,96,1734,301,2005.0,2025.0
Guangxi,173,24,36,5,4,13,171,63,2010.0,2023.0
Guizhou,70,12,35,6,3,6,70,49,2007.0,2018.0
Hainan,133,9,45,9,4,10,130,97,2013.0,2024.0
Hebei,395,58,49,6,6,26,387,304,2004.0,2023.0
Heilongjiang,82,14,36,7,6,9,73,47,2015.0,2024.0
Henan,210,17,31,5,5,22,200,101,2014.0,2025.0
Hubei,164,16,29,7,2,11,163,147,2014.0,2022.0
Hunan,142,29,35,7,5,11,120,124,2016.0,2022.0
Inner Mongolia,1,1,1,1,1,1,1,1,2021.0,2021.0
Jiangsu,679,90,67,8,6,62,665,344,2009.0,2023.0
Jiangxi,157,20,42,6,4,13,157,101,2009.0,2021.0
Jilin,79,9,21,6,3,7,74,41,2017.0,2023.0
Liaoning,305,27,34,6,5,25,296,105,2011.0,2022.0
Ningxia,5,3,3,2,5,4,3,3,2017.0,2020.0
Qinghai,27,4,23,5,2,3,27,27,2015.0,2018.0
Shaanxi,122,14,22,6,4,11,114,107,2014.0,2023.0
Shandong,297,39,39,6,6,29,279,195,2010.0,2024.0
Shanghai,310,35,41,6,4,14,310,195,2006.0,2023.0
Shanxi,90,12,36,7,5,10,84,57,2015.0,2024.0
Sichuan,101,9,34,8,4,4,99,98,2016.0,2023.0
Tianjin,517,29,44,6,6,38,515,74,2007.0,2022.0
Tibet,2,1,2,2,1,1,2,2,2023.0,2023.0
Xinjiang,28,9,17,7,5,4,25,21,2012.0,2025.0
Yunnan,41,6,16,5,2,5,41,17,2012.0,2023.0
Zhejiang,295,57,53,8,6,27,283,186,2009.0,2024.0
