metric,unit,n_provinces,n_clusters_observed,kruskal_h,p_value,epsilon_squared,top_cluster_id,top_cluster_name,bottom_cluster_id,bottom_cluster_name,median_cluster_1,median_cluster_2,median_cluster_3,iqr_cluster_1,iqr_cluster_2,iqr_cluster_3,coverage_missing_provinces,fdr_bh_q_value,significant_q_0_10
E12_15_Total_Aquatic_Products,10000_tons,31,3,16.94333891914536,2.0931516829867514e-4,0.5336906756837629,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,388.7,73.95,19,317.80000000000007,407.44999999999993,46.025000000000006,0,0.016954528632192687,TRUE
E12_15_Freshwater_Aquatic_Products,10000_tons,31,3,14.29356933389191,7.873917421926383e-4,0.43905604763899675,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,161,29,19,184.45000000000005,57.225,46.025000000000006,0,0.02775077609010435,TRUE
E20_07_Expenditure_on_R_and_D,10000_yuan,31,3,13.510028278173465,0.0011650233618368032,0.4110724385061952,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,9915411,6124837,1263327.5,7547420,4055688.75,1404374,0,0.02775077609010435,TRUE
E25_08_Length_of_City_Sewage_Pipes,km,31,3,12.651733347297878,0.0017894147397096787,0.3804190481177813,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,39090,25761.5,15567.5,29611,3491.25,7042.75,0,0.02775077609010435,TRUE
E12_13_Large_Animals_year_end,10000_heads,31,3,12.509609342270636,0.0019212011854543222,0.37534319079537987,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,167.3,58.75,543.65,243.60000000000002,253.50000000000003,517.4749999999999,0,0.02775077609010435,TRUE
E25_05_Production_Capacity_of_Tap_Water_Supply_year_end,10 000 cu.m/day,31,3,12.066060955173853,0.0023982152176633387,0.35950217697049475,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,1304.1,1079.55,485.35,894.5,557.725,254.09999999999997,0,0.02775077609010435,TRUE
E25_05_Total_Annual_Volume_of_Tap_Water_Supply,10 000 cu.m,31,3,12.066060955173853,0.0023982152176633387,0.35950217697049475,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,255218,224866,103206,176641,130423,63772,0,0.02775077609010435,TRUE
E25_08_Daily_Disposal_Capacity_of_City_Sewage,10 000 cu.m,31,3,11.387044407205721,0.003367710293729883,0.3352515859716329,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,946.9,939.3499999999999,420.95000000000005,550,362.57499999999993,300.54999999999995,0,0.027873495933176885,TRUE
E03_09_Gross_Regional_Product,100_million_yuan,31,3,11.350623167155419,0.0034296002026989597,0.3339508273984078,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,57761,48685,21600.6,34446.450000000004,16564.549999999996,16886.75,0,0.027873495933176885,TRUE
E12_08_Sesame,1000_hectares,27,3,11.343886139780402,0.0034411723374292453,0.3893285891575167,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,6.7,0.05,0.1,25.25,1.2999999999999998,1.9,4,0.027873495933176885,TRUE
E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,10000 tons,31,3,9.880472350230406,0.007152908833741107,0.28144544107965735,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,927.5,881.3499999999999,463.2,617.3,247.2500000000001,229.10000000000014,0,0.049513736192018966,TRUE
E12_07_Number_of_Reservoirs,counts,31,3,9.830095307917887,0.007335368324743551,0.2796462609970674,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,4498,411.5,722,3077.5,906,1947.5,0,0.049513736192018966,TRUE
E02_06_Urban_Population_Proportion,percent,31,3,9.267359656472564,0.009718929228681793,0.25954855915973446,2,Urban-industrial wastewater core,1,Eastern production-infrastructure belt,63.77,80.96000000000001,64.82,6.82,13.054999999999978,9.969999999999992,0,0.060556405194094255,TRUE
E12_08_Rapeseeds,1000_hectares,30,3,8.714688367558866,0.012812369803932497,0.24869216176143946,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,207.75,1.45,156.10000000000002,500.325,4.824999999999999,260.29999999999995,1,0.0696123460081193,TRUE
E02_05_Population_at_year_end,10000_persons,31,3,8.702424591537508,0.012891175186688758,0.23937230684062527,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,6123,3317.5,2826,2840.5,4315,1421.75,0,0.0696123460081193,TRUE
