metric,cluster_left_id,cluster_right_id,cluster_left_name,cluster_right_name,u_stat,p_value,holm_p_value,median_left,median_right,higher_median_cluster_id
E02_05_Population_at_year_end,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,43,0.3396859668555279,0.6793719337110558,6123,3317.5,1
E02_05_Population_at_year_end,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,134,0.0019808652664578394,0.005942595799373518,6123,2826,1
E02_05_Population_at_year_end,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,51,0.4832604645906428,0.6793719337110558,3317.5,2826,2
E02_06_Urban_Population_Proportion,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,8,0.013803272615310813,0.027606545230621626,63.77,80.96000000000001,2
E02_06_Urban_Population_Proportion,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,93,0.3961340786158441,0.3961340786158441,63.77,64.82,3
E02_06_Urban_Population_Proportion,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,76,0.005726690059161638,0.017180070177484914,80.96000000000001,64.82,2
E03_09_Gross_Regional_Product,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,41,0.4509823192688827,0.4509823192688827,57761,48685,1
E03_09_Gross_Regional_Product,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,132,0.002848821737283071,0.008546465211849213,57761,21600.6,1
E03_09_Gross_Regional_Product,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,71,0.018741136789596678,0.037482273579193356,48685,21600.6,2
E03_09_Per_Capita_Gross_Regional_Product,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,23,0.3396859668555279,0.3396859668555279,82694,121644.5,2
E03_09_Per_Capita_Gross_Regional_Product,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,113,0.05196258362455935,0.1039251672491187,82694,74503,1
E03_09_Per_Capita_Gross_Regional_Product,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,70,0.023319348511923615,0.06995804553577084,121644.5,74503,2
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,32,0.9599216609063783,1,186.12,179.855,1
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,82,0.8054097554038491,1,186.12,139.985,1
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,46,0.7728299926844475,1,179.855,139.985,2
E08_12_Nitrogen_Oxides,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,33,1,1,28.52,29.305,2
E08_12_Nitrogen_Oxides,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,115,0.040079039066837664,0.120237117200513,28.52,22.275,1
E08_12_Nitrogen_Oxides,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,48,0.6500934623485037,1,29.305,22.275,2
E08_12_Sulphur_Dioxide,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,36,0.8016135209415048,1,6.62,3.79,1
E08_12_Sulphur_Dioxide,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,63,0.4598729830282657,1,6.62,7.61,3
E08_12_Sulphur_Dioxide,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,30,0.34287293048971584,1,3.79,7.61,3
E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,1,2,Eastern production-infrastructure belt,Urban-industrial wastewater core,36,0.8016135209415048,0.8016135209415048,927.5,881.3499999999999,1
E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,1,3,Eastern production-infrastructure belt,Inland surveillance-gap belt,129,0.004811924049278717,0.01443577214783615,927.5,463.2,1
E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,2,3,Urban-industrial wastewater core,Inland surveillance-gap belt,69,0.028838793626490247,0.05767758725298049,881.3499999999999,463.2,2
