metric,cluster_id,cluster_name,n_provinces,median_mean_2019_2024,median_slope_per_year,median_percent_change,dominant_direction,median_direction_consistency
E02_05_Population_at_year_end,1,Eastern production-infrastructure belt,11,6113.5,5.399999999998808,0.005088640840446487,increasing,0.8
E02_05_Population_at_year_end,2,Urban-industrial wastewater core,6,3349.583333333333,-3.328571428572019,-0.006230911531289913,decreasing,0.775
E02_05_Population_at_year_end,3,Inland surveillance-gap belt,14,2857.25,-0.3428571428579028,0.0010920261842885554,decreasing,0.675
E02_06_Urban_Population_Proportion,1,Eastern production-infrastructure belt,11,61.656666666666666,0.882857142857254,0.07468477206595546,increasing,1
E02_06_Urban_Population_Proportion,2,Urban-industrial wastewater core,6,79.8375,0.43214285714290795,0.030935653492285244,increasing,1
E02_06_Urban_Population_Proportion,3,Inland surveillance-gap belt,14,62.48583333333333,0.9360000000001207,0.08384512013860003,increasing,1
E03_09_Gross_Regional_Product,1,Eastern production-infrastructure belt,11,50055.88166666667,2707.1945714289727,0.36404664765137,increasing,1
E03_09_Gross_Regional_Product,2,Urban-industrial wastewater core,6,41041.85333333333,2628.249714286131,0.3346494015051895,increasing,1
E03_09_Gross_Regional_Product,3,Inland surveillance-gap belt,14,18225.574166666665,1310.7832857144854,0.3828570488120079,increasing,1
E03_09_Per_Capita_Gross_Regional_Product,1,Eastern production-infrastructure belt,11,70895,4699.542857143484,0.3288019951671469,increasing,0.8
E03_09_Per_Capita_Gross_Regional_Product,2,Urban-industrial wastewater core,6,106712.5,6092.228571429384,0.3845282355760503,increasing,1
E03_09_Per_Capita_Gross_Regional_Product,3,Inland surveillance-gap belt,14,61658,4588.957142857858,0.4145910107699926,increasing,1
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,1,Eastern production-infrastructure belt,11,211.92333333333335,-13.282285714286475,-0.3403041151242335,decreasing,0.8
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,2,Urban-industrial wastewater core,6,215.18833333333333,-25.081428571428987,-0.4256784334185265,decreasing,0.6
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,3,Inland surveillance-gap belt,14,152.20166666666665,4.427714285715224,0.08618658417327825,increasing,0.6
E08_12_Nitrogen_Oxides,1,Eastern production-infrastructure belt,11,37.905,-2.996571428569355,-0.42391455125537525,decreasing,0.8
E08_12_Nitrogen_Oxides,2,Urban-industrial wastewater core,6,39.004999999999995,-2.7990000000000004,-0.37819678449891525,decreasing,0.7
E08_12_Nitrogen_Oxides,3,Inland surveillance-gap belt,14,30.413333333333334,-2.679571428571034,-0.49239460343515384,decreasing,0.8
E08_12_Sulphur_Dioxide,1,Eastern production-infrastructure belt,11,10.161666666666667,-1.6757142857143124,-0.6828803051979018,decreasing,1
E08_12_Sulphur_Dioxide,2,Urban-industrial wastewater core,6,5.920833333333333,-1.2324285714286305,-0.6919602032138878,decreasing,0.9
E08_12_Sulphur_Dioxide,3,Inland surveillance-gap belt,14,11.142499999999998,-2.0244285714286065,-0.6695073475328253,decreasing,0.8
