composite_index,component_metric
WastewaterHealthIndex,E25_08_Daily_Disposal_Capacity_of_City_Sewage
WastewaterHealthIndex,E25_08_Length_of_City_Sewage_Pipes
WastewaterHealthIndex,E08_33_Investment_in_Urban_Environmental_Infrastructure
WastewaterHealthIndex,E02_06_Urban_Population_Proportion
LivestockAquacultureIndex,E12_13_Hogs_year_end
LivestockAquacultureIndex,E12_14_Pork
LivestockAquacultureIndex,E12_14_Milk
LivestockAquacultureIndex,E12_13_Large_Animals_year_end
LivestockAquacultureIndex,E12_15_Total_Aquatic_Products
LivestockAquacultureIndex,E12_15_Freshwater_Aquatic_Products
EconomicScaleIndex,E03_09_Gross_Regional_Product
EconomicScaleIndex,E02_05_Population_at_year_end
EconomicScaleIndex,E20_07_Expenditure_on_R_and_D
