province,E02_05_Population_at_year_end,E02_06_Urban_Population_Proportion,E03_09_Gross_Regional_Product,E03_09_Per_Capita_Gross_Regional_Product,E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,E08_12_Nitrogen_Oxides,E08_12_Sulphur_Dioxide,E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,E08_33_Investment_in_Urban_Environmental_Infrastructure,E12_05_Consumption_of_Chemical_Fertilizers,E12_05_Irrigated_Area_of_Cultivated_Land,E12_07_Area_with_Flood_Prevention_Measures,E12_07_Area_with_Soil_Erosion_under_Control,E12_07_Capacity_of_Reservoirs,E12_07_Number_of_Reservoirs,E12_08_Beans,E12_08_Beetroots,E12_08_Cereals,E12_08_Corn,E12_08_Cotton,E12_08_Fiber_Crops,E12_08_Flue_cured_Tobacco,E12_08_Oil_bearing_Crops,E12_08_Orchards,E12_08_Peanuts,E12_08_Rapeseeds,E12_08_Rice,E12_08_Sesame,E12_08_Sown_Area_of_Grain_Crops,E12_08_Soybeans,E12_08_Sugar_Crops,E12_08_Sugarcane,E12_08_Tea_Plantations,E12_08_Tobacco,E12_08_Total_Sown_Area,E12_08_Tubers,E12_08_Vegetables,E12_08_Wheat,E12_10_Apples,E12_10_Bananas,E12_10_Beans,E12_10_Beetroots,E12_10_Cereals,E12_10_Citrus,E12_10_Corn,E12_10_Cotton,E12_10_Fiber_Crops,E12_10_Flue_cured_Tobacco,E12_10_Fruits,E12_10_Grain,E12_10_Grapes,E12_10_Mulberry_Silkworm_Cocoons,E12_10_Oil_bearing_Crops,E12_10_Peanuts,E12_10_Pears,E12_10_Rapeseeds,E12_10_Rice,E12_10_Sesame,E12_10_Silkworm_Cocoons,E12_10_Soybeans,E12_10_Sugar_Crops,E12_10_Sugarcane,E12_10_Tea,E12_10_Tobacco,E12_10_Tubers,E12_10_Wheat,E12_13_Hogs_year_end,E12_13_Large_Animals_year_end,E12_14_Milk,E12_14_Pork,E12_15_Freshwater_Aquatic_Products,E12_15_Total_Aquatic_Products,E20_07_Expenditure_on_R_and_D,E22_01_Hospitals,E22_01_Total,E22_06_Hospitals,E22_06_Total,E25_05_Production_Capacity_of_Tap_Water_Supply_year_end,E25_05_Total_Annual_Volume_of_Tap_Water_Supply,E25_08_Daily_Disposal_Capacity_of_City_Sewage,E25_08_Length_of_City_Sewage_Pipes,sewage_disposal_capacity_2024,sewage_pipe_length_2024,urban_env_infra_investment_2024,hospitals_count_2024,hospital_beds_2024,hogs_year_end_2024,large_animals_year_end_2024,pork_output_2024,milk_output_2024,total_aquatic_products_2024,freshwater_aquatic_products_2024,chemical_fertilizers_2024,grp_2024,grp_per_capita_2024,population_2024,urban_share_2024,log1p__sewage_disposal_capacity_2024,rankpct__sewage_disposal_capacity_2024,log1p__sewage_pipe_length_2024,rankpct__sewage_pipe_length_2024,log1p__urban_env_infra_investment_2024,rankpct__urban_env_infra_investment_2024,log1p__hospitals_count_2024,rankpct__hospitals_count_2024,log1p__hospital_beds_2024,rankpct__hospital_beds_2024,log1p__hogs_year_end_2024,rankpct__hogs_year_end_2024,log1p__large_animals_year_end_2024,rankpct__large_animals_year_end_2024,log1p__pork_output_2024,rankpct__pork_output_2024,log1p__milk_output_2024,rankpct__milk_output_2024,log1p__total_aquatic_products_2024,rankpct__total_aquatic_products_2024,log1p__freshwater_aquatic_products_2024,rankpct__freshwater_aquatic_products_2024,log1p__chemical_fertilizers_2024,rankpct__chemical_fertilizers_2024,log1p__grp_2024,rankpct__grp_2024,log1p__grp_per_capita_2024,rankpct__grp_per_capita_2024,log1p__population_2024,rankpct__population_2024,log1p__urban_share_2024,rankpct__urban_share_2024,WastewaterHealthIndex,LivestockAquacultureIndex,EconomicScaleIndex,cluster_id,cluster_name
Anhui,6123,62.57,50625.2,82694,174.86,35.66,6.65,818,2968658,275.5,4701.1,2584.1,2427,207,5288,675.3,0,6603.5,1209.3,20.3,1.7,9.6,665.4,161.1,148.1,490.9,2496,20.5,7344.9,630.8,2,1.2,212.6,9.7,9092.2,66,802.8,2876.2,37.7,NA,104.4,0,4059.1,3.6,657.6,1.9,0.6,NA,NA,4184.3,NA,0.8,189.5,NA,NA,110.8,NA,3.5,0.8,98.4,NA,5.3,NA,NA,20.7,1759.2,1545.5,111.1,63.2,251.1,261.2,261.2,9993200,1354,32635,34.57,44.9,1304.1,284271,882.3,39090,882.3,39090,2968658,1354,34.57,1545.5,111.1,251.1,63.2,261.2,261.2,275.5,50625.2,82694,6123,62.57,6.78366489375109,0.645161290322581,10.5736475404501,0.774193548387097,14.9036208936637,0.838709677419355,7.2115567333138,0.612903225806452,3.57150258596036,0.741935483870968,7.34374959212512,0.645161290322581,4.71939133007811,0.32258064516129,5.52982583419387,0.67741935483871,4.16200321069592,0.516129032258065,5.5691075713296,0.67741935483871,5.5691075713296,0.838709677419355,5.6222108209623904,0.935483870967742,10.8322245078316,0.67741935483871,11.3229144196919,0.612903225806452,8.71997075677757,0.741935483870968,4.15214166094832,0.32258064516129,0.72258064516129,0.658986175115207,0.588709677419355,1,Eastern production-infrastructure belt
Beijing,2183,88.22,49843.1,228167,194.42,8.99,0.11,793.8,1860629,6.7,120.6,NA,1016.4,52,80,1.4,NA,91.3,60.6,0,NA,NA,3.4,26.2,2.5,0.3,0.4,0,94.2,1.2,NA,NA,NA,0,165.3,1.6,50.4,28.5,3.3,0,NA,NA,56.4,0,39.5,NA,NA,NA,44,57.6,0.9,NA,NA,0.9,4.6,0,NA,0,NA,NA,NA,NA,NA,0,NA,16.1,28.7,9,27.1,1.8,1.4,7.1,4676848,682,11273,13.33,14.11,750.3,154605,751,20930,751,20930,1860629,682,13.33,28.7,9,1.8,27.1,7.1,1.4,6.7,49843.1,228167,2183,88.22,6.62273632394984,0.580645161290323,9.94898659260735,0.419354838709677,14.4364256980176,0.645161290322581,6.52649485957079,0.225806451612903,2.66235524184008,0.193548387096774,3.39114704580865,0.032258064516129,2.30258509299405,0.0645161290322581,1.02961941718116,0.0645161290322581,3.3357695763397,0.32258064516129,2.09186406167839,0.161290322580645,0.8754687373539,0.0645161290322581,2.04122032885964,0.129032258064516,10.8166554133203,0.645161290322581,12.337837478707,1,7.6889133368648,0.193548387096774,4.49110522970012,0.967741935483871,0.412903225806452,0.119815668202765,0.701612903225806,2,Urban-industrial wastewater core
Chongqing,3190,72.14,32193.2,100903,192.68,15,3.25,673.3,1580317,88.2,698.4,NA,4538.9,139,3083,225.3,NA,1151.7,450.1,NA,1.5,24.9,382.1,381.5,66.6,303.2,658.4,4,2031.9,119.6,1.9,1.9,56.5,28.8,3521.9,654.9,831.6,18.2,0.6,0.2,47.2,NA,768.1,419.6,261,NA,0.3,4.8,681.5,1100.7,14.4,1.3,79.8,15.3,37.5,62.8,492.1,NA,1.3,24.7,8.5,8.5,5.8,5.7,285.4,6.1,1030.3,91.7,3.2,152.2,61.2,61.2,5221258,851,23815,18.51,24.79,813.3,189449,523.8,26804,523.8,26804,1580317,851,18.51,1030.3,91.7,152.2,3.2,61.2,61.2,88.2,32193.2,100903,3190,72.14,6.26301723762988,0.451612903225806,10.1963437162616,0.645161290322581,14.2731366505747,0.580645161290323,6.74758652682932,0.32258064516129,2.97092715463502,0.387096774193548,6.93857542132202,0.483870967741935,4.52936847257181,0.290322580645161,5.03174425730649,0.483870967741935,1.43508452528932,0.0967741935483871,4.13035499974513,0.451612903225806,4.13035499974513,0.516129032258065,4.49088103958596,0.387096774193548,10.3795415910846,0.483870967741935,11.521924848767,0.709677419354839,8.06808962627824,0.419354838709677,4.29237541272123,0.774193548387097,0.47741935483871,0.387096774193548,0.596774193548387,3,Inland surveillance-gap belt
Fujian,4193,71.8,57761,137920,140.05,23.04,5.36,898,1410718,86.4,873.1,164,4529.5,207,3566,43.6,NA,645.2,37.3,NA,NA,64.4,86.8,391.3,76.4,10.1,603.9,0.3,844.4,36.2,5.1,5.1,252.6,64.6,1737.7,155.6,656.5,0.1,NA,53.2,12.4,NA,416.1,525.8,17,NA,NA,13.8,NA,514.4,NA,NA,24.9,23.4,NA,1.5,NA,0,NA,10.2,NA,28.5,NA,NA,85.9,NA,960,31,27.7,134,106,924.7,9915411,736,30543,19.76,24.89,1025.9,212580,662.8,26729,662.8,26729,1410718,736,19.76,960,31,134,27.7,924.7,106,86.4,57761,137920,4193,71.8,6.49798089928587,0.548387096774194,10.193541809133,0.612903225806452,14.1596100614627,0.516129032258065,6.60258789218934,0.258064516129032,3.03302805829769,0.451612903225806,6.86797440897029,0.451612903225806,3.46573590279973,0.161290322580645,4.90527477843843,0.451612903225806,3.35689712276558,0.354838709677419,6.83055020807317,0.935483870967742,4.67282883446191,0.67741935483871,4.47049528266149,0.354838709677419,10.964086399006,0.774193548387097,11.8344363364513,0.903225806451613,8.34141021146186,0.580645161290323,4.28771595520264,0.741935483870968,0.47741935483871,0.483870967741935,0.75,1,Eastern production-infrastructure belt
Gansu,2458,56.83,13002.9,52825,129.52,16.81,7.65,327.2,1718766,77.3,1453.9,22.9,12891.7,115,357,156.2,2.5,1981.9,1108.1,22.2,0.3,1.6,286.8,334.6,0.2,162.3,2.1,NA,2715.9,64.4,2.5,NA,13.1,1.6,4205.2,577.9,517.1,736.4,538.9,NA,37.6,18.4,1027.8,0.5,684.9,4.7,0.1,0.5,1102.9,1296.1,27.8,0,67.4,0.1,29,39.7,1.3,NA,0,12.1,18.4,NA,0.2,0.5,230.7,303,704.1,587.3,117.3,73.9,1.7,1.7,847316,765,26741,15.8,20.77,424.1,61599,209.8,9510,209.8,9510,1718766,765,15.8,704.1,587.3,73.9,117.3,1.7,1.7,77.3,13002.9,52825,2458,56.83,5.35090981666721,0.161290322580645,9.16020430248239,0.161290322580645,14.3571177312572,0.612903225806452,6.64118216974059,0.290322580645161,2.82137888640921,0.258064516129032,6.558339636725,0.354838709677419,6.37723702187041,0.806451612903226,4.31615389052317,0.290322580645161,4.77322377098434,0.67741935483871,0.993251773010283,0.0645161290322581,0.993251773010283,0.0967741935483871,4.36054760299676,0.32258064516129,9.47300459145267,0.161290322580645,10.8747587727357,0.032258064516129,7.80751004221619,0.290322580645161,4.05750767217013,0.129032258064516,0.296774193548387,0.373271889400922,0.153225806451613,3,Inland surveillance-gap belt
Guangdong,12780,75.91,141633.8,111146,387.97,58.34,6.92,3447.9,2577356,204.9,1560.9,536.9,2238.1,453,7221,45.8,NA,1970.3,133.1,NA,0,14.7,366.5,1106.5,357.2,6.1,1835.1,3.2,2236.8,36.1,136.4,136.4,115.8,15.4,4629.4,220.7,1489.3,1.2,NA,488.1,NA,NA,1189.7,632.4,65.6,NA,0,3.6,2190.3,1313.4,7.7,8.3,NA,121.6,14.6,NA,1123.6,NA,8.3,9.8,1227.2,1227.2,19.2,3.8,111.2,NA,2247.5,88.6,26,305.2,458,966.4,37052727,1895,66125,53.27,64.44,4966.1,1041010,3276.1,158695,3276.1,158695,2577356,1895,53.27,2247.5,88.6,305.2,26,966.4,458,204.9,141633.8,111146,12780,75.91,8.09471416394881,1,11.9747457014079,1,14.7622750132178,0.806451612903226,7.54750168281497,0.838709677419355,3.99397158807531,0.903225806451613,7.71801860621076,0.774193548387097,4.49535531998088,0.258064516129032,5.72423848322358,0.806451612903226,3.29583686600433,0.290322580645161,6.87461206038888,1,6.12905021006055,0.967741935483871,5.32739061403374,0.612903225806452,11.8610071927589,1,11.6186089284748,0.806451612903226,9.45571497213171,1,4.34263590706896,0.903225806451613,0.909677419354839,0.672811059907834,0.92741935483871,2,Urban-industrial wastewater core
Guangxi,5013,57.39,28649.4,57071,61.69,27.39,8.5,633.1,1044628,247.9,1778.3,249.7,3811.3,767,4498,169.8,NA,2401.7,618.1,0.8,2,11.1,293.2,1412.8,238.5,49.4,1764.6,3,2841.8,111.9,840.3,840.3,112.5,12.5,6431.6,270.3,1750.4,5.4,NA,316.3,27.9,NA,1319.2,1996.3,280.3,0.1,0.6,1.7,3721.5,1403.8,79.9,48.5,NA,78.8,56.5,NA,1035,NA,48.5,17.8,6929.8,6929.8,13,2,56.7,NA,2434.1,336.4,13.7,287.4,160.2,388.7,1682355,929,34685,26.14,37.73,850.1,209053,892.4,23696,892.4,23696,1044628,929,26.14,2434.1,336.4,287.4,13.7,388.7,160.2,247.9,28649.4,57071,5013,57.39,6.79503440891802,0.67741935483871,10.0731037368325,0.483870967741935,13.8591723564217,0.419354838709677,6.8351845861473,0.419354838709677,3.30100865440672,0.580645161290323,7.79774310243524,0.806451612903226,5.82126917011187,0.612903225806452,5.66434840541079,0.774193548387097,2.68784749378469,0.225806451612903,5.96537721234466,0.774193548387097,5.08264583007253,0.741935483870968,5.51705120937355,0.774193548387097,10.262922683651,0.419354838709677,10.9520689075987,0.0967741935483871,8.51998927871824,0.67741935483871,4.06714464229545,0.161290322580645,0.516129032258065,0.672811059907834,0.338709677419355,1,Eastern production-infrastructure belt
Guizhou,3860,56.65,22667.1,58685,131.79,21.07,13.37,470.7,604915,73.6,1244.1,155.2,8885,512,2701,365.6,NA,1579.8,747.8,0.3,0,123.9,620.7,679.8,41.5,571.9,574.4,0.1,2771.4,239.1,6,6,440.5,135.3,5362.9,826,1453.1,103.2,38.6,10.7,43.6,NA,829.2,139.5,372.6,0,0,21.9,799.2,1146.1,43.6,0.2,116.3,10.7,52.2,104.1,379.5,NA,0.2,27.2,30.8,30.8,30.8,23.7,273.3,26,1570.1,479.3,3,186.3,29.5,29.5,1335748,1572,30869,26.18,32.48,521,106941,430.8,17236,430.8,17236,604915,1572,26.18,1570.1,479.3,186.3,3,29.5,29.5,73.6,22667.1,58685,3860,56.65,6.06796251808071,0.32258064516129,9.75481351515439,0.387096774193548,13.3128448843982,0.225806451612903,7.36073990305828,0.709677419354839,3.302481408723,0.612903225806452,7.35953128995355,0.67741935483871,6.17441090867078,0.741935483870968,5.23271160945004,0.548387096774194,1.38629436111989,0.0645161290322581,3.41772668361337,0.387096774193548,3.41772668361337,0.419354838709677,4.31214050720972,0.290322580645161,10.028713928785,0.32258064516129,10.9799564765185,0.129032258064516,8.25868149626424,0.483870967741935,4.05439024671507,0.0967741935483871,0.451612903225806,0.447004608294931,0.258064516129032,3,Inland surveillance-gap belt
Hainan,1048,63.08,7935.7,75903,37.33,4.82,0.29,263.8,291842,36.4,336.3,40,175.5,122,1109,3.7,NA,227.3,NA,NA,NA,0.4,30.8,208.1,30.3,NA,227.3,0.5,272.7,1.4,12.5,12.5,3.2,0.4,711.8,41.6,276.4,NA,NA,110.2,0.8,NA,123.8,17.3,NA,NA,NA,0,617.7,142.4,0.3,0,NA,NA,NA,NA,123.8,0.1,0,0.3,80.8,80.8,0.2,0,17.8,NA,315.8,44.3,0.3,40.4,49.5,181.4,209323,247,6382,4.73,6.15,215.1,56480,162.6,8607,162.6,8607,291842,247,4.73,315.8,44.3,40.4,0.3,181.4,49.5,36.4,7935.7,75903,1048,63.08,5.09742442416865,0.129032258064516,9.06044728240157,0.129032258064516,12.5839712654205,0.129032258064516,5.51342874616498,0.0967741935483871,1.74571553072665,0.129032258064516,5.75827065994027,0.225806451612903,3.81330703248899,0.225806451612903,3.72328088083127,0.225806451612903,0.262364264467491,0.032258064516129,5.20620207764023,0.612903225806452,3.92197333628131,0.483870967741935,3.62167070442049,0.193548387096774,8.97925285071998,0.129032258064516,11.2372246629173,0.451612903225806,6.9555926083963,0.129032258064516,4.1601323027601,0.354838709677419,0.12258064516129,0.285714285714286,0.266129032258065,1,Eastern production-infrastructure belt
Hebei,7378,63.42,47526.9,64352,245.05,76.85,13.72,725.4,3233889,263.4,4123.2,1622.5,6779.8,207,1008,141.1,13.4,6085.6,3461.8,57.9,0,0.5,370.1,462.2,240.2,52.5,72,1.7,6460.1,117.8,13.4,0,0,1.4,8122.1,233.4,865.4,2249.1,281.9,NA,NA,76.9,3723.5,NA,2097.6,7.1,0,0.1,1625.1,3908.8,141.8,0,128.8,99.3,413.6,9.6,NA,0.2,0,NA,77.2,0.3,0,0.4,154.3,1499.2,1784.8,446.6,562.6,268,32.6,118,7572826,2528,93648,42.89,54.69,898.6,169481,807.9,26870,807.9,26870,3233889,2528,42.89,1784.8,446.6,268,562.6,118,32.6,263.4,47526.9,64352,7378,63.42,6.69567530002391,0.612903225806452,10.1988029171433,0.67741935483871,14.9891963049353,0.903225806451613,7.83557924666997,0.967741935483871,3.78168650370014,0.838709677419355,7.48762177308312,0.741935483870968,6.10389997643777,0.709677419354839,5.59471137960184,0.741935483870968,6.33434478002453,0.967741935483871,4.77912349311153,0.580645161290323,3.51452606696916,0.451612903225806,5.57746310797753,0.870967741935484,10.7690721860105,0.612903225806452,11.0721388319842,0.193548387096774,8.90639340705837,0.838709677419355,4.16542414390305,0.387096774193548,0.8,0.723502304147465,0.508064516129032,2,Urban-industrial wastewater core
