province,endpoint,bacteria_species,amr_antibiotic,amr_class,amr_mean_2019_2024,amr_2019_2024_change,total_strains_2019_2024,n_years,sentinel_endpoint,cluster_id,cluster_name
Anhui,A. baumannii | Amikacin,A. baumannii,Amikacin,aminoglycosides,35.99689394541702,-5.3479403257369995,28333,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Aztreonam,A. baumannii,Aztreonam,other,73.73859001408968,0.5402565002441406,9969,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Cefepime,A. baumannii,Cefepime,cephalosporins,53.08417335941816,-11.016809940338135,55493,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Cefotaxime,A. baumannii,Cefotaxime,cephalosporins,67.24160276503125,-8.883017301559448,7711,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Ceftazidime,A. baumannii,Ceftazidime,cephalosporins,60.72536090622464,-3.167426586151123,55145,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Ceftriaxone,A. baumannii,Ceftriaxone,cephalosporins,58.548545362246465,-4.026615619659424,21413,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Ciprofloxacin,A. baumannii,Ciprofloxacin,fluoroquinolones,62.84673254833599,-2.45552659034729,46109,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Gentamicin,A. baumannii,Gentamicin,aminoglycosides,56.94017411885066,-5.065679550170898,21145,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Imipenem,A. baumannii,Imipenem,carbapenems,60.241145575033066,-3.520721197128296,53080,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Levofloxacin,A. baumannii,Levofloxacin,fluoroquinolones,48.633703306601454,2.3177117109298706,55698,6,TRUE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Meropenem,A. baumannii,Meropenem,carbapenems,65.13737173425024,-1.9455492496490479,33959,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Minocycline,A. baumannii,Minocycline,other,13.696881315126065,-17.308863252401352,32898,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Polymyxin B,A. baumannii,Polymyxin B,other,1.5217391353873007,1.8329938873648643,5980,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Tigecycline,A. baumannii,Tigecycline,tetracyclines,4.902314353092659,-1.2773152440786362,33270,6,FALSE,1,Eastern production-infrastructure belt
Anhui,A. baumannii | Tobramycin,A. baumannii,Tobramycin,aminoglycosides,54.133533583413815,-0.05552172660827637,45397,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Amikacin,E. coli,Amikacin,aminoglycosides,3.5304682960069216,1.1096667498350143,170374,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Ampicillin,E. coli,Ampicillin,other,82.4871802017592,-1.5476524829864502,96535,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Aztreonam,E. coli,Aztreonam,other,35.01336407419459,-6.571739912033081,107002,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Cefazolin,E. coli,Cefazolin,cephalosporins,64.74760678160476,-13.219016790390015,20583,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Cefepime,E. coli,Cefepime,cephalosporins,25.46647513508472,4.058593511581421,167051,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Cefotaxime,E. coli,Cefotaxime,cephalosporins,51.00783367247475,-1.5976190567016602,26294,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Cefotetan,E. coli,Cefotetan,cephalosporins,2.9160035947283567,-0.009430386126041412,69753,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Cefoxitin,E. coli,Cefoxitin,cephalosporins,11.19910570484119,-0.4198804497718829,74247,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Ceftazidime,E. coli,Ceftazidime,cephalosporins,24.68461909265358,-3.758397698402405,176057,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Ceftriaxone,E. coli,Ceftriaxone,cephalosporins,53.95834180773588,-6.821388006210327,145566,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Cefuroxime,E. coli,Cefuroxime,cephalosporins,52.72232280240197,0.0971376895904541,89262,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Chloramphenicol,E. coli,Chloramphenicol,other,26.2222219168404,-6.852956116199493,8100,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Ciprofloxacin,E. coli,Ciprofloxacin,fluoroquinolones,54.0590840594843,-1.9148826599121094,94578,6,TRUE,1,Eastern production-infrastructure belt
Anhui,E. coli | Ertapenem,E. coli,Ertapenem,carbapenems,1.2610474607862283,0.5745795555412769,131478,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Gentamicin,E. coli,Gentamicin,aminoglycosides,35.44583691756789,-2.770864963531494,95416,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Imipenem,E. coli,Imipenem,carbapenems,1.6312555671693345,-0.05747433751821518,173486,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Levofloxacin,E. coli,Levofloxacin,fluoroquinolones,51.05235617912458,0.12789368629455566,169287,6,TRUE,1,Eastern production-infrastructure belt
Anhui,E. coli | Meropenem,E. coli,Meropenem,carbapenems,1.6453300599229836,0.5339125171303749,44915,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Nitrofurantoin,E. coli,Nitrofurantoin,other,2.363021431047692,-1.2629009783267975,44350,6,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Polymyxin B,E. coli,Polymyxin B,other,1.070623591722071,NA,5324,4,FALSE,1,Eastern production-infrastructure belt
Anhui,E. coli | Tigecycline,E. coli,Tigecycline,tetracyclines,0.1363054912750388,0.06625083042308685,95374,6,FALSE,1,Eastern production-infrastructure belt
