metric,rf_rank,enet_rank,rf_permutation_importance,elastic_net_selection_frequency,consensus_feature_score,available_in_2024_model
E12_15_Total_Aquatic_Products,1,2,0.038391323745600864,1.85,114.7383913237456,TRUE
E12_13_Large_Animals_year_end,3,3,0.021640613292277972,1.675,111.37164061329227,TRUE
E25_08_Daily_Disposal_Capacity_of_City_Sewage,6,4,0.010958961844727388,1.175,106.36095896184472,TRUE
E02_06_Urban_Population_Proportion,11,1,0.006772264749751521,1.625,105.25677226474976,TRUE
E12_07_Number_of_Reservoirs,8,8,0.008810263042932543,1.05,100.10881026304293,TRUE
E12_15_Freshwater_Aquatic_Products,2,15,0.027540493056973123,0.975,98.97754049305698,TRUE
E12_07_Area_with_Soil_Erosion_under_Control,16,6,0.0038160903621447836,1.325,94.65381609036216,TRUE
E12_08_Sesame,12,11,0.006231516637389653,0.95,92.90623151663739,TRUE
E12_08_Vegetables,20,7,0.002694193592562641,0.675,88.35269419359255,TRUE
E03_09_Per_Capita_Gross_Regional_Product,17,13,0.0037961773957964438,1.525,87.0537961773958,TRUE
E08_12_Nitrogen_Oxides,26,5,0.0013309168785359256,1.475,85.95133091687853,TRUE
E02_05_Population_at_year_end,9,20,0.007541281356540283,0.45,85.90754128135654,TRUE
E12_08_Beans,15,17,0.004120925497103573,0.8,83.6041209254971,TRUE
E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,13,26,0.0050566310628182305,0.225,75.45505663106282,TRUE
E12_08_Wheat,32,10,6.479095441595439e-4,0.775,73.55064790954415,TRUE
E03_09_Gross_Regional_Product,19,24,0.0032597817675049817,0.675,72.3532597817675,TRUE
E12_10_Tubers,28,16,0.0011914159077254312,1,72.00119141590773,TRUE
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,30,14,8.68071743071743e-4,0.775,71.55086807174307,TRUE
E22_01_Total,25,19,0.0013377701821987535,0.725,71.4513377701822,TRUE
E12_07_Area_with_Flood_Prevention_Measures,31,18,7.278811284614855e-4,0.525,66.05072788112845,TRUE
E12_08_Rapeseeds,14,37,0.004417610560515321,0.45,63.904417610560515,TRUE
E12_05_Consumption_of_Chemical_Fertilizers,23,28,0.0020195016807119984,0.125,63.252019501680714,TRUE
E12_08_Rice,42,12,-8.902664002663973e-5,0.975,61.94991097335998,TRUE
E12_08_Peanuts,18,36,0.0036910440633734273,0.45,60.90369104406337,TRUE
E12_08_Tubers,46,9,-2.1602658584801593e-4,0.925,60.849783973414155,TRUE
E08_33_Investment_in_Urban_Environmental_Infrastructure,27,27,0.001238768648018648,0.2,60.401238768648014,TRUE
E20_07_Expenditure_on_R_and_D,5,50,0.01121320958115119,0.4,59.81121320958115,TRUE
E12_08_Oil_bearing_Crops,21,34,0.0024732156732156733,0.2,59.40247321567321,TRUE
E12_08_Soybeans,34,22,5.71242190349333e-4,0.45,58.900571242190345,TRUE
E12_14_Milk,38,21,3.7441142807809457e-4,0.95,56.900374411428075,TRUE
E25_08_Length_of_City_Sewage_Pipes,4,56,0.013836484400160042,0.375,54.76383648440016,TRUE
E12_10_Soybeans,37,23,4.442664125997455e-4,0.35,54.7004442664126,TRUE
E25_05_Total_Annual_Volume_of_Tap_Water_Supply,7,55,0.009552377474503325,0.325,52.659552377474505,TRUE
E25_05_Production_Capacity_of_Tap_Water_Supply_year_end,10,54,0.0069745364846234064,0.3,50.60697453648462,TRUE
E12_05_Irrigated_Area_of_Cultivated_Land,36,29,4.5415174331841037e-4,0.125,49.25045415174332,TRUE
E12_10_Fruits,24,45,0.0015973790098790098,0.275,45.55159737900988,TRUE
E08_12_Sulphur_Dioxide,44,25,-1.0323056984168088e-4,0.275,45.549896769430156,TRUE
E12_08_Sugar_Crops,33,39,6.18997807747808e-4,0.7,43.40061899780775,TRUE
E12_08_Flue_cured_Tobacco,40,33,1.1666666666666648e-4,0.075,41.15011666666666,TRUE
E22_06_Hospitals,22,52,0.002113905731614064,0.225,40.452113905731615,TRUE
E12_08_Corn,43,32,-9.129759129759085e-5,0.125,39.2499087024087,TRUE
E12_10_Apples,35,42,5.115440115440113e-4,0.6,38.20051154401155,TRUE
E12_08_Cereals,45,31,-1.25e-4,0.025,38.049875,TRUE
E12_07_Capacity_of_Reservoirs,48,30,-3.808638891972225e-4,0.025,36.0496191361108,TRUE
E12_08_Tobacco,41,40,-5.9885116598078936e-5,0.075,33.1499401148834,TRUE
E22_06_Total,29,53,0.0011454122748393576,0.25,32.50114541227484,TRUE
E12_14_Pork,39,49,1.702434602434597e-4,0.075,26.15017024346024,TRUE
E12_08_Sown_Area_of_Grain_Crops,51,38,-5.35664335664336e-4,0,24.999464335664335,TRUE
E12_08_Orchards,55,35,-9.796444103735767e-4,0.15,24.299020355589626,TRUE
E12_10_Cereals,47,43,-2.1921134421134413e-4,0.025,24.049780788655788,TRUE
E12_08_Total_Sown_Area,54,41,-7.135326800869128e-4,0,18.999286467319912,TRUE
E12_10_Corn,52,44,-5.589772727272726e-4,0.3,18.599441022727273,TRUE
E12_13_Hogs_year_end,50,48,-4.4047981119409683e-4,0.075,16.149559520188806,TRUE
E12_10_Grain,53,46,-6.114898989898991e-4,0.025,15.04938851010101,TRUE
E22_01_Hospitals,49,51,-4.336919191919193e-4,0.025,14.04956630808081,TRUE
E12_10_Grapes,56,47,-0.0013945495139780857,0.225,11.44860545048602,TRUE
