metric,rf_permutation_importance,rf_importance_rank
E12_15_Total_Aquatic_Products,0.038391323745600864,1
E12_15_Freshwater_Aquatic_Products,0.027540493056973123,2
E12_13_Large_Animals_year_end,0.021640613292277972,3
E25_08_Length_of_City_Sewage_Pipes,0.013836484400160042,4
E20_07_Expenditure_on_R_and_D,0.01121320958115119,5
E25_08_Daily_Disposal_Capacity_of_City_Sewage,0.010958961844727388,6
E25_05_Total_Annual_Volume_of_Tap_Water_Supply,0.009552377474503325,7
E12_07_Number_of_Reservoirs,0.008810263042932543,8
E02_05_Population_at_year_end,0.007541281356540283,9
E25_05_Production_Capacity_of_Tap_Water_Supply_year_end,0.0069745364846234064,10
E02_06_Urban_Population_Proportion,0.006772264749751521,11
E12_08_Sesame,0.006231516637389653,12
E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,0.0050566310628182305,13
E12_08_Rapeseeds,0.004417610560515321,14
E12_08_Beans,0.004120925497103573,15
E12_07_Area_with_Soil_Erosion_under_Control,0.0038160903621447836,16
E03_09_Per_Capita_Gross_Regional_Product,0.0037961773957964438,17
E12_08_Peanuts,0.0036910440633734273,18
E03_09_Gross_Regional_Product,0.0032597817675049817,19
E12_08_Vegetables,0.002694193592562641,20
E12_08_Oil_bearing_Crops,0.0024732156732156733,21
E22_06_Hospitals,0.002113905731614064,22
E12_05_Consumption_of_Chemical_Fertilizers,0.0020195016807119984,23
E12_10_Fruits,0.0015973790098790098,24
E22_01_Total,0.0013377701821987535,25
E08_12_Nitrogen_Oxides,0.0013309168785359256,26
E08_33_Investment_in_Urban_Environmental_Infrastructure,0.001238768648018648,27
E12_10_Tubers,0.0011914159077254312,28
E22_06_Total,0.0011454122748393576,29
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,8.68071743071743e-4,30
E12_07_Area_with_Flood_Prevention_Measures,7.278811284614855e-4,31
E12_08_Wheat,6.479095441595439e-4,32
E12_08_Sugar_Crops,6.18997807747808e-4,33
E12_08_Soybeans,5.71242190349333e-4,34
E12_10_Apples,5.115440115440113e-4,35
E12_05_Irrigated_Area_of_Cultivated_Land,4.5415174331841037e-4,36
E12_10_Soybeans,4.442664125997455e-4,37
E12_14_Milk,3.7441142807809457e-4,38
E12_14_Pork,1.702434602434597e-4,39
E12_08_Flue_cured_Tobacco,1.1666666666666648e-4,40
E12_08_Tobacco,-5.9885116598078936e-5,41
E12_08_Rice,-8.902664002663973e-5,42
E12_08_Corn,-9.129759129759085e-5,43
E08_12_Sulphur_Dioxide,-1.0323056984168088e-4,44
E12_08_Cereals,-1.25e-4,45
E12_08_Tubers,-2.1602658584801593e-4,46
E12_10_Cereals,-2.1921134421134413e-4,47
E12_07_Capacity_of_Reservoirs,-3.808638891972225e-4,48
E22_01_Hospitals,-4.336919191919193e-4,49
E12_13_Hogs_year_end,-4.4047981119409683e-4,50
E12_08_Sown_Area_of_Grain_Crops,-5.35664335664336e-4,51
E12_10_Corn,-5.589772727272726e-4,52
E12_10_Grain,-6.114898989898991e-4,53
E12_08_Total_Sown_Area,-7.135326800869128e-4,54
E12_08_Orchards,-9.796444103735767e-4,55
E12_10_Grapes,-0.0013945495139780857,56
