province,matrix,env_class,env_burden_log_median,env_burden_log_p90,env_records_total,env_refs,env_year_min,env_year_max,concentration_unit_mode,n_units,cluster_id,cluster_name
Anhui,sediment,diaminopyrimidines,0.041320889078565695,0.11705503177582112,4,2,2016,2019,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,fluoroquinolones,0.3283365229424251,1.8920946026904804,20,4,2016,2020,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,lincosamides,0.16136800223497488,0.16136800223497488,1,1,2016,2016,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,macrolides,0.28330122870354957,0.7268260718657612,15,4,2016,2020,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,sulfonamides,0.04716567463854815,0.2304489213782739,18,3,2016,2019,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,tetracyclines,0.5212680683610718,1.3452727695424378,12,3,2016,2020,ng/g,1,1,Eastern production-infrastructure belt
Anhui,surface water,diaminopyrimidines,0.7604224834232121,0.7604224834232121,1,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,fluoroquinolones,1.3785005180291448,1.5988040585914494,4,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,lincosamides,0.4409090820652177,0.4409090820652177,1,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,macrolides,0.3424226808222063,0.9675658489381097,3,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,sulfonamides,0.5132176000679389,0.6993276761525709,3,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,tetracyclines,1.417103818646787,1.7289071873444113,2,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater effluent,diaminopyrimidines,0.43136376415898736,0.43136376415898736,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater effluent,fluoroquinolones,2.3560258571931225,2.3560258571931225,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater effluent,sulfonamides,0.8864907251724818,1.076379457808165,3,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,diaminopyrimidines,1.021189299069938,1.021189299069938,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,fluoroquinolones,1.6717486081439867,2.5548096463164813,4,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,lincosamides,1.6424645202421213,1.6424645202421213,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,sulfonamides,1.010346339341014,1.1420740860982375,4,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Beijing,sediment,diaminopyrimidines,0.9074113607745862,0.9074113607745862,1,1,2017,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,fluoroquinolones,0.7474118078864233,1.2479732663618066,11,3,2012,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,macrolides,0.40681717740540646,0.8761823259382336,4,2,2014,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,sulfonamides,0.08635983067474821,0.4080209267189756,13,3,2012,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,tetracyclines,1.1139433523068367,1.4322959825828812,7,2,2012,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,diaminopyrimidines,1.7865768429313198,2.1928354365141125,2,2,2015,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,fluoroquinolones,2.5483894181329183,3.7365185458244934,29,6,2008,2015,ng/g,2,2,Urban-industrial wastewater core
Beijing,sludge,macrolides,0.9009075842907186,1.7293601185343355,10,3,2008,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,phenicols,0.2041199826559248,0.2041199826559248,1,1,2010,2010,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,sulfonamides,0.6958908426544421,1.2872507224524576,18,3,2008,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,tetracyclines,1.7664128471123994,2.704486828079614,7,2,2015,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,diaminopyrimidines,0.015499467323529378,0.015499467323529378,1,1,NA,NA,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,fluoroquinolones,1.0187004986662433,1.6388198803964167,15,4,2009,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,macrolides,0.02530586526477026,0.17148282722399522,7,3,2010,2013,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,phenicols,0.5550944485783191,0.5550944485783191,1,1,NA,NA,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,sulfonamides,0.17026171539495738,0.6468410326562871,27,6,2009,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,tetracyclines,2.0492180226701815,2.864025278636806,15,5,2009,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,wastewater effluent,fluoroquinolones,4.086039331268039,4.086039331268039,1,1,2023,2023,ng/L,1,2,Urban-industrial wastewater core
Beijing,wastewater influent,fluoroquinolones,4.283323847618786,4.283323847618786,1,1,2023,2023,ng/L,1,2,Urban-industrial wastewater core
Chongqing,sediment,diaminopyrimidines,1.594931764318509,2.067420076747202,2,2,2015,2017,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sediment,fluoroquinolones,1.5247854493212223,3.068556895072363,11,3,2015,2018,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sediment,macrolides,0.8286598965353198,1.8029582030617899,5,2,2017,2018,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sediment,sulfonamides,1.1125305212591226,2.3475504907144855,14,3,2015,2018,ng/g,1,3,Inland surveillance-gap belt
