province,matrix,env_class,env_burden_log_median,env_burden_log_p90,env_records_total,env_refs,env_year_min,env_year_max,concentration_unit_mode,n_units,cluster_id,cluster_name
Anhui,sediment,diaminopyrimidines,0.041320889078565695,0.11705503177582112,4,2,2016,2019,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,fluoroquinolones,0.3283365229424251,1.8920946026904804,20,4,2016,2020,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,lincosamides,0.16136800223497488,0.16136800223497488,1,1,2016,2016,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,macrolides,0.28330122870354957,0.7268260718657612,15,4,2016,2020,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,sulfonamides,0.04716567463854815,0.2304489213782739,18,3,2016,2019,ng/g,1,1,Eastern production-infrastructure belt
Anhui,sediment,tetracyclines,0.5212680683610718,1.3452727695424378,12,3,2016,2020,ng/g,1,1,Eastern production-infrastructure belt
Anhui,surface water,diaminopyrimidines,0.7604224834232121,0.7604224834232121,1,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,fluoroquinolones,1.3785005180291448,1.5988040585914494,4,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,lincosamides,0.4409090820652177,0.4409090820652177,1,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,macrolides,0.3424226808222063,0.9675658489381097,3,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,sulfonamides,0.5132176000679389,0.6993276761525709,3,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,surface water,tetracyclines,1.417103818646787,1.7289071873444113,2,1,2020,2020,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater effluent,diaminopyrimidines,0.43136376415898736,0.43136376415898736,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater effluent,fluoroquinolones,2.3560258571931225,2.3560258571931225,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater effluent,sulfonamides,0.8864907251724818,1.076379457808165,3,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,diaminopyrimidines,1.021189299069938,1.021189299069938,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,fluoroquinolones,1.6717486081439867,2.5548096463164813,4,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,lincosamides,1.6424645202421213,1.6424645202421213,1,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Anhui,wastewater influent,sulfonamides,1.010346339341014,1.1420740860982375,4,1,2021,2021,ng/L,1,1,Eastern production-infrastructure belt
Beijing,sediment,diaminopyrimidines,0.9074113607745862,0.9074113607745862,1,1,2017,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,fluoroquinolones,0.7474118078864233,1.2479732663618066,11,3,2012,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,macrolides,0.40681717740540646,0.8761823259382336,4,2,2014,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,sulfonamides,0.08635983067474821,0.4080209267189756,13,3,2012,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sediment,tetracyclines,1.1139433523068367,1.4322959825828812,7,2,2012,2017,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,diaminopyrimidines,1.2787536009528289,1.2787536009528289,1,1,2015,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,fluoroquinolones,2.6139384825004965,3.4865952286285182,6,2,2015,2015,ng/g,2,2,Urban-industrial wastewater core
Beijing,sludge,macrolides,1.0078474942632591,2.360051632002765,4,1,2015,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,sulfonamides,0.7434276776384717,1.0603363116413038,6,1,2015,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,sludge,tetracyclines,1.4653828514484184,2.342732233511686,4,1,2015,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,fluoroquinolones,1.1666833277548583,1.5307262395435965,6,2,2013,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,macrolides,0.20951501454263097,0.20951501454263097,1,1,2013,2013,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,sulfonamides,0.1367205671564068,1.0394296152857332,9,2,2013,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,soil,tetracyclines,2.1351583477546465,2.8545859925992496,6,2,2013,2015,ng/g,1,2,Urban-industrial wastewater core
Beijing,wastewater effluent,fluoroquinolones,4.086039331268039,4.086039331268039,1,1,2023,2023,ng/L,1,2,Urban-industrial wastewater core
Beijing,wastewater influent,fluoroquinolones,4.283323847618786,4.283323847618786,1,1,2023,2023,ng/L,1,2,Urban-industrial wastewater core
Chongqing,sediment,diaminopyrimidines,1.594931764318509,2.067420076747202,2,2,2015,2017,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sediment,fluoroquinolones,1.5247854493212223,3.068556895072363,11,3,2015,2018,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sediment,macrolides,0.8286598965353198,1.8029582030617899,5,2,2017,2018,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sediment,sulfonamides,1.1125305212591226,2.3475504907144855,14,3,2015,2018,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sediment,tetracyclines,1.0569048513364727,2.349839065068529,9,3,2015,2018,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sludge,diaminopyrimidines,1.1550322287909702,1.254009326520457,3,3,2012,2015,ng/g,1,3,Inland surveillance-gap belt
Chongqing,sludge,fluoroquinolones,2.0367885331077202,3.3020493903762507,11,3,2012,2015,ng/g,1,3,Inland surveillance-gap belt
