scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
all_years,sediment,macrolides,S. aureus | Erythromycin,milk_output_2024,23,3,430,93,2,2008,2025,0.2974308300395257,0.16810724114298076,0.41304347826086957,0.050124271924485306,0.003177020108859277,0.4751811594202898,0.21936758893280633,0.31456006390749924,0.7322134387351779,7.12843257532693e-5,TRUE,1,0.6231608922638827,Guangdong,4,5,5,5,4,0.9051250825112186,0.6972701266437956,4,27,Manuscript-worthy,1,,,,NA
sample_year_ge_2012,sediment,macrolides,S. aureus | Erythromycin,milk_output_2024,23,3,343,75,2,2012,2025,0.2519762845849803,0.24609751665416496,0.37549407114624506,0.07745523146339534,0.007092046804500494,0.3948781291172594,0.21739130434782608,0.31904882862370243,0.7322134387351779,7.12843257532693e-5,TRUE,1,0.7098039215686276,Guangdong,4,5,5,5,4,0.9897658389202042,0.8129156205499035,4,27,Manuscript-worthy,1,,,,NA
all_years,sediment,fluoroquinolones,P. aeruginosa | Levofloxacin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.2450592885375494,0.25973639878298577,-0.05237154150197629,0.8124077904361993,0.025862178954528397,0.2654973649538867,-0.2611923837609197,0.22866112411256875,0.5372252438718916,0.008206369090742618,TRUE,1,0.6612903225806456,Qinghai,4,5,5,5,4,0.9094639281547535,0.9839482303587244,4,27,Manuscript-worthy,1,,,,NA
all_years,sediment,fluoroquinolones,P. aeruginosa | Ciprofloxacin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.22035573122529645,0.3123301820262031,-0.044466403162055336,0.8403387863596052,0.025862178954528397,0.2654973649538867,-0.2611923837609197,0.22866112411256875,0.49468254500174186,0.016409991582894634,TRUE,1,0.7245355541319672,Qinghai,4,5,5,5,4,0.9244591515353001,0.9839482303587244,4,27,Manuscript-worthy,1,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,K. pneumoniae | Ciprofloxacin,sewage_disposal_capacity_2024,15,3,107,22,2,2012,2017,0.5549774770204643,0.03176006340336768,0.3285714285714285,0.23180969720615957,0.10733147527766454,0.20530555555555607,0.5549774770204643,0.03176006340336768,0.8071428571428572,2.7524427069542046e-4,TRUE,1,0.3325253491143882,Shanghai,3,5,4,5,5,0.9657949031671055,0.9199376959992481,5,27,Manuscript-worthy,1,,,,NA
all_years,sediment,tetracyclines,K. pneumoniae | Tigecycline,milk_output_2024,23,3,693,129,2,2004,2025,0.2500617817876724,0.2498250138060217,0.22134387351778656,0.31010997516676875,0.06310630550908343,0.17629345855989417,-0.30343465220875665,0.15927575726801604,-0.1492094861660079,0.49682281859974564,TRUE,1,0.42855125136510774,Qinghai,4,5,4,5,4,0.9093446062785512,0.9152354706110217,4,26,Manuscript-worthy,1,,,,NA
all_years,sediment,fluoroquinolones,K. pneumoniae | Levofloxacin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.13932806324110672,0.5260576523058191,-0.05138339920948617,0.8158878128403202,0.025862178954528397,0.2654973649538867,-0.2611923837609197,0.22866112411256875,0.5342571486018812,0.008637517589837685,TRUE,1,1.095238095238096,Qinghai,4,5,5,4,4,0.9640431604344515,0.9839482303587244,4,26,Manuscript-worthy,1,,,,NA
all_years,sediment,fluoroquinolones,A. baumannii | Ciprofloxacin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.07806324110671936,0.7233078775886131,0.043478260869565216,0.8438440075057314,0.025862178954528397,0.2654973649538867,-0.2611923837609197,0.22866112411256875,0.5055655609917802,0.013855622017852755,TRUE,0.9565217391304348,1.8426763110307425,Qinghai,4,5,5,4,4,0.986382660126367,0.9839482303587244,4,26,Manuscript-worthy,1,,,,NA
all_years,sediment,fluoroquinolones,A. baumannii | Levofloxacin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.1907114624505929,0.3833965923148738,-0.11857707509881422,0.5899765469581981,0.025862178954528397,0.2654973649538867,-0.2611923837609197,0.22866112411256875,0.5045761959017767,0.014073488226501653,TRUE,1,0.7971872686898598,Qinghai,4,5,5,4,4,0.9595630073590773,0.9595063759323308,3,25,Manuscript-worthy,1,,,,NA
all_years,sediment,fluoroquinolones,E. coli | Ciprofloxacin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.16798418972332016,0.44357751168209614,-0.13636363636363635,0.5349839119305697,0.025862178954528397,0.2654973649538867,-0.2611923837609197,0.22866112411256875,0.08607476283030308,0.6961626012181278,TRUE,1,0.5932773109243696,Guangdong,4,5,5,5,3,0.9640431604344515,0.9595063759323308,3,25,Manuscript-worthy,1,,,,NA
all_years,sediment,fluoroquinolones,S. aureus | Ciprofloxacin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.15810276679841898,0.47121646253366734,-0.07114624505928854,0.747008309304177,0.025862178954528397,0.2654973649538867,-0.2611923837609197,0.22866112411256875,0.37892682947133427,0.07456934820214835,TRUE,1,0.8035714285714289,Qinghai,4,5,5,4,4,0.9640431604344515,0.9758047564714102,3,25,Manuscript-worthy,1,,,,NA
