scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,env_amr_q_fdr,partial_env_amr_q_fdr
all_years,wastewater influent,macrolides,S. aureus | Ciprofloxacin,LivestockAquacultureIndex,5,3,19,5,1,2018,2023,0.9999999999999998,3.971862410081713e-24,NA,NA,NA,NA,-0.5642880936468347,0.3217233358243004,-0.5642880936468347,0.3217233358243004,TRUE,NA,NA,,5.35605645999519e-21,NA
all_years,wastewater influent,macrolides,S. aureus | Levofloxacin,LivestockAquacultureIndex,5,3,19,5,1,2018,2023,0.9999999999999998,3.971862410081713e-24,NA,NA,NA,NA,-0.5642880936468347,0.3217233358243004,-0.5642880936468347,0.3217233358243004,TRUE,NA,NA,,5.35605645999519e-21,NA
all_years,surface water,diaminopyrimidines,K. pneumoniae | Trimethoprim/Sulfamethoxazole,LivestockAquacultureIndex,7,2,9,8,1,2018,2024,-0.9642857142857141,4.54149169194186e-4,NA,NA,NA,NA,-0.5714285714285714,0.18020198891152778,0.75,0.052181400457058,TRUE,1,0.03703703703703726,Hainan,0.30621007732917993,NA
all_years,sediment,other,E. coli | Nitrofurantoin,WastewaterHealthIndex,7,2,19,10,1,2008,2018,-0.9369749612033811,0.0018510301964419175,NA,NA,0.3724558699813696,0,-0.4,0.37393392381774704,0.21622499104693416,0.6414455093539178,TRUE,1,0.06726437888550857,Shandong,0.6682678492503734,NA
all_years,soil,diaminopyrimidines,E. coli | Imipenem,milk_output_2024,8,3,9,8,1,2008,2015,-0.9036800488347748,0.00207575159377333,-0.8095238095238095,0.014902667686230074,0.24103244438393973,0.07490909090909051,-0.5542570966186618,0.1539883457589951,0.6190476190476191,0.10173303745426454,TRUE,1,0.086646216576489965,Guangdong,0.6682678492503734,0.46496104652806064
all_years,sediment,other,A. baumannii | Levofloxacin,WastewaterHealthIndex,7,2,19,10,1,2008,2018,-0.9009374626955589,0.005620586715345035,NA,NA,0.3724558699813696,0,-0.4,0.37393392381774704,0.37839373433213475,0.40260220192175533,TRUE,1,0.06689638681378123,Jiangsu,0.8667757141803278,NA
all_years,wastewater influent,sulfonamides,E. coli | Ampicillin,freshwater_aquatic_products_2024,9,3,30,9,1,2016,2024,0.9,9.430623223403283e-4,0.8833333333333333,0.0015905004234978701,0.8007374029168087,0,-0.6333333333333333,0.06708578689234561,-0.6333333333333333,0.06708578689234561,TRUE,1,0.058201058201058364,Hebei,0.5086878166703731,0.3448468139795708
all_years,wastewater influent,macrolides,K. pneumoniae | Trimethoprim/Sulfamethoxazole,LivestockAquacultureIndex,5,3,19,5,1,2018,2023,-0.8999999999999998,0.03738607346849869,NA,NA,NA,NA,-0.5642880936468347,0.3217233358243004,0.5642880936468347,0.32172333582430024,TRUE,NA,NA,,0.8667757141803278,NA
all_years,wastewater influent,macrolides,E. coli | Cefazolin,LivestockAquacultureIndex,5,3,19,5,1,2018,2023,0.8999999999999998,0.03738607346849875,NA,NA,NA,NA,-0.5642880936468347,0.3217233358243004,-0.6668859288553503,0.21889398131323168,TRUE,NA,NA,,0.8667757141803278,NA
all_years,surface water,diaminopyrimidines,S. aureus | Nitrofurantoin,LivestockAquacultureIndex,7,2,9,8,1,2018,2024,-0.8928571428571427,0.006807187408935407,NA,NA,NA,NA,-0.5714285714285714,0.18020198891152778,0.4642857142857143,0.2939341076002518,TRUE,1,0.12000000000000022,Hubei,0.8667757141803278,NA
all_years,wastewater effluent,sulfonamides,E. coli | Ertapenem,EconomicScaleIndex,6,2,13,7,1,2018,2022,0.8857142857142858,0.01884548104956266,NA,NA,NA,NA,-0.20291986247835694,0.699797968157019,-0.23190841426097938,0.6583735712609271,TRUE,1,0.09677419354838737,Hunan,0.8667757141803278,NA
all_years,sediment,other,P. aeruginosa | Polymyxin B,WastewaterHealthIndex,7,2,19,10,1,2008,2018,0.8829187134416476,0.008450342381896656,NA,NA,0.3724558699813696,0,-0.4,0.37393392381774704,-0.19820624179302296,0.6700850339168265,TRUE,1,0.11630974132059964,Hainan,0.8667757141803278,NA
all_years,surface water,diaminopyrimidines,K. pneumoniae | Ampicillin,LivestockAquacultureIndex,7,2,9,8,1,2018,2024,-0.8571428571428569,0.013697326615325696,NA,NA,NA,NA,-0.5714285714285714,0.18020198891152778,0.35714285714285715,0.4316113520383284,TRUE,1,0.10000000000000032,Guangxi,0.8667757141803278,NA
all_years,sediment,other,E. coli | Polymyxin B,WastewaterHealthIndex,7,2,19,10,1,2008,2018,0.8468812149338253,0.016197127467871695,NA,NA,0.3724558699813696,0,-0.4,0.37393392381774704,-0.10811249552346708,0.8175332656241181,TRUE,1,0.11002590084953438,Guangdong,0.8667757141803278,NA
all_years,sediment,other,A. baumannii | Ceftriaxone,WastewaterHealthIndex,7,2,19,10,1,2008,2018,-0.8468812149338253,0.016197127467871716,NA,NA,0.3724558699813696,0,-0.4,0.37393392381774704,0.16216874328520062,0.7282995630820224,TRUE,1,0.18080314259673277,Shandong,0.8667757141803278,NA
all_years,soil,diaminopyrimidines,E. coli | Meropenem,milk_output_2024,8,3,9,8,1,2008,2015,-0.8313856449279929,0.010520130546871238,-0.8095238095238095,0.014902667686230074,0.24103244438393973,0.07490909090909051,-0.5542570966186618,0.1539883457589951,0.3333333333333333,0.41975308641975306,TRUE,1,0.1811371919309672,Hebei,0.8667757141803278,0.46496104652806064
all_years,sediment,other,P. aeruginosa | Ciprofloxacin,WastewaterHealthIndex,7,2,19,10,1,2008,2018,-0.8288624656799142,0.021173515581004228,NA,NA,0.3724558699813696,0,-0.4,0.37393392381774704,0.4865062298556018,0.268248562317831,TRUE,1,0.12565253636973503,Tianjin,0.8667757141803278,NA
all_years,wastewater effluent,sulfonamides,K. pneumoniae | Cefepime,LivestockAquacultureIndex,6,2,13,7,1,2018,2022,-0.8285714285714285,0.04156268221574345,NA,NA,NA,NA,0.3188740696088466,0.5379005604702051,-0.3768511731740915,0.4614828403508043,TRUE,1,0.20689655172413773,Heilongjiang,0.8667757141803278,NA
all_years,sediment,beta-lactams,A. baumannii | Minocycline,EconomicScaleIndex,7,3,34,15,1,2012,2018,-0.8214285714285713,0.0234488083456916,NA,NA,0.8983973213480706,0,-0.14285714285714285,0.7599453002180931,0.5357142857142857,0.21521745567801304,TRUE,1,0.07826086956521766,Guizhou,0.8667757141803278,NA
all_years,surface water,diaminopyrimidines,A. baumannii | Levofloxacin,LivestockAquacultureIndex,7,2,9,8,1,2018,2024,-0.8214285714285713,0.0234488083456916,NA,NA,NA,NA,-0.5714285714285714,0.18020198891152778,0.7857142857142857,0.03623846267982733,TRUE,1,0.07826086956521766,Hainan,0.8667757141803278,NA
all_years,surface water,diaminopyrimidines,E. coli | Nitrofurantoin,LivestockAquacultureIndex,7,2,9,8,1,2018,2024,-0.8214285714285713,0.0234488083456916,NA,NA,NA,NA,-0.5714285714285714,0.18020198891152778,0.8571428571428571,0.013697326615325727,TRUE,1,0.1478260869565219,Hainan,0.8667757141803278,NA
