scenario,matrix,env_class,endpoint,driver_metric,pathway_class,pathway_total_score,n_provinces_model,ridge_alpha,ridge_env_coef,ridge_driver_coef,elastic_net_env_coef,elastic_net_env_selected,elastic_net_driver_selected,loo_r2,bootstrap_env_coef_low,bootstrap_env_coef_high,bootstrap_sign_stability,adjusted_env_direction_matches_screen,rf_driver_support,elastic_net_driver_support,driver_consensus_feature_score,multivariable_env_support,support_rank
sample_year_ge_2012,sediment,fluoroquinolones,E. coli | Ceftazidime,WastewaterHealthIndex,Strong lead,21,23,100,-0.12264052549712026,0.09385685545561073,-2.1301016892331193,TRUE,FALSE,-0.042338089370010046,-1.952302032852209,0.08122954718901398,0.9333333333333333,TRUE,not yearbook metric,not yearbook metric,NA,reinforced,1
sample_year_ge_2012,sediment,fluoroquinolones,K. pneumoniae | Polymyxin B,milk_output_2024,Strong lead,21,23,100,0.04492137475519371,-0.04696273653578618,1.0477506371063512,TRUE,FALSE,-0.06456162744210103,-0.0030936192288787082,0.7163619132063627,0.9333333333333333,TRUE,not yearbook metric,not yearbook metric,NA,reinforced,1
sample_year_ge_2012,sediment,fluoroquinolones,P. aeruginosa | Piperacillin,EconomicScaleIndex,Strong lead,21,23,100,-0.13260729954704845,0.09705058995706888,-1.7887362214018832,TRUE,FALSE,-0.026007947793904362,-1.7023234471515258,0.3330180882839835,0.8666666666666667,TRUE,not yearbook metric,not yearbook metric,NA,reinforced,1
sample_year_ge_2012,sediment,fluoroquinolones,K. pneumoniae | Cefazolin,urban_share_2024,Strong lead,21,23,14.38449888287663,1.038234733503623,0.5190836118918409,4.923627932096512,TRUE,FALSE,0.23167879249394352,-0.33697577687069075,2.831063037749723,0.8333333333333334,TRUE,not yearbook metric,not yearbook metric,NA,reinforced,1
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Amikacin,large_animals_year_end_2024,Strong lead,21,23,37.92690190732246,0.9038613345603093,-0.019975249340828068,NA,FALSE,FALSE,0.00772415686037764,0.029489992549725424,7.313011497123625,0.9666666666666667,TRUE,not yearbook metric,not yearbook metric,NA,partly reinforced,2
sample_year_ge_2012,sediment,fluoroquinolones,P. aeruginosa | Polymyxin B,EconomicScaleIndex,Strong lead,21,23,100,0.015629091677719243,-0.021147110866879166,NA,FALSE,FALSE,-0.12925771546888432,-0.35935697946506967,0.43860087332420783,0.7333333333333333,TRUE,not yearbook metric,not yearbook metric,NA,partly reinforced,2
sample_year_ge_2012,sediment,fluoroquinolones,S. aureus | Amikacin,WastewaterHealthIndex,Strong lead,21,23,23.357214690901213,-0.22151980982356287,0.46265976059027547,NA,FALSE,TRUE,-0.09588107183208394,-1.3337822998297801,0.5120786869174154,0.7,TRUE,not yearbook metric,not yearbook metric,NA,partly reinforced,2
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Polymyxin B,EconomicScaleIndex,Strong lead,21,23,100,0.006494209890427313,-0.04481491636768754,NA,FALSE,TRUE,-0.1516555943353024,-0.138802940841668,0.3830289832818318,0.6666666666666666,TRUE,not yearbook metric,not yearbook metric,NA,partly reinforced,2
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Gentamicin,EconomicScaleIndex,Strong lead,21,23,37.92690190732246,0.307565005188907,1.0667199205134863,NA,FALSE,FALSE,0.10854437162984643,-1.797037620542432,6.30707166818636,0.7333333333333333,FALSE,not yearbook metric,not yearbook metric,NA,screen-only,3
sample_year_ge_2012,sediment,macrolides,S. aureus | Penicillin G,LivestockAquacultureIndex,Strong lead,21,23,5.455594781168514,-0.059444175971165435,0.9403886022788059,NA,FALSE,TRUE,0.33178655315115535,-1.528626467252638,0.6745544559949661,0.6,TRUE,not yearbook metric,not yearbook metric,NA,screen-only,3
sample_year_ge_2012,sediment,fluoroquinolones,P. aeruginosa | Levofloxacin,WastewaterHealthIndex,Strong lead,21,23,23.357214690901213,-0.15290684953460926,0.589405478544365,NA,FALSE,TRUE,0.2017470221514136,-1.6179620216747506,0.9737061455920915,0.6,TRUE,not yearbook metric,not yearbook metric,NA,screen-only,3
sample_year_ge_2012,sediment,fluoroquinolones,P. aeruginosa | Ceftazidime,EconomicScaleIndex,Strong lead,21,23,100,-0.04530965120447109,0.17062118548287594,NA,FALSE,TRUE,-0.07125109783090511,-1.0370975431293643,0.722440332700358,0.6,TRUE,not yearbook metric,not yearbook metric,NA,screen-only,3
