scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
all_years,soil,tetracyclines,S. aureus | Penicillin G,population_2024,24,3,312,68,2,2007,2022,-0.34695652173913044,0.09670236783045816,-0.05999999999999999,0.7806300955564116,0.48567178524771265,0,-0.31217391304347825,0.1375180295921436,0.408695652173913,0.04738133753954175,TRUE,1,0.26737297789929354,Zhejiang,5,2,0,5,5,0.8807301427903083,0.9693306305527936,4,21,Strong lead,2,NA,NA,NA,NA
all_years,sediment,sulfonamides,P. aeruginosa | Piperacillin,LivestockAquacultureIndex,24,3,1061,135,2,2008,2025,0.03609480407136364,0.8670222090058429,0.09565217391304348,0.6566056616723346,0.00155212317481562,0.520774428109915,-0.06131767920556956,0.7759309627196647,-0.01043478260869565,0.9614038727773804,TRUE,0.8333333333333334,3.1221878020920024,Hainan,5,2,5,3,2,0.986382660126367,0.9457097301022044,4,21,Strong lead,2,NA,NA,NA,NA
all_years,sediment,sulfonamides,S. aureus | Cefoxitin,EconomicScaleIndex,24,3,1061,135,2,2008,2025,-0.03609480407136364,0.8670222090058433,0.1026086956521739,0.6332868165639749,0.00155212317481562,0.520774428109915,-0.21057211722932576,0.32332371811400673,0.5215311498154231,0.00895819800196745,TRUE,0.7916666666666666,3.4223655488755913,Tibet,5,2,5,3,3,0.986382660126367,0.9415805542634526,3,21,Strong lead,2,NA,NA,NA,NA
all_years,sediment,sulfonamides,P. aeruginosa | Aztreonam,WastewaterHealthIndex,24,3,1061,135,2,2008,2025,-0.02261361218928806,0.9164689439623468,-0.02434782608695652,0.9100874200789536,0.00155212317481562,0.520774428109915,-0.078294910830796,0.7161208416958132,0.3157208163350603,0.13286831580404498,TRUE,0.7083333333333334,5.599846085265277,Hainan,5,2,5,2,3,0.9932209615047936,0.984188950923026,4,21,Strong lead,2,NA,NA,NA,NA
all_years,sediment,tetracyclines,K. pneumoniae | Levofloxacin,EconomicScaleIndex,23,3,693,129,2,2004,2025,-0.22535211955568896,0.3012033779817403,-0.12747035573122528,0.5621792565433881,0.06310630550908343,0.17629345855989417,-0.2787938704893722,0.1976734820506664,0.5940202800568819,0.00280223013683367,TRUE,1,0.7770050999216604,Qinghai,4,2,4,4,4,0.917355056832535,0.923879146237564,3,21,Strong lead,2,NA,NA,NA,NA
all_years,sediment,tetracyclines,K. pneumoniae | Tobramycin,EconomicScaleIndex,23,3,693,129,2,2004,2025,-0.21892760737537328,0.3155560555811322,-0.01383399209486166,0.9500465072482804,0.06310630550908343,0.17629345855989417,-0.2787938704893722,0.1976734820506664,0.540153216391158,0.00779866411383291,TRUE,1,0.7956132237015124,Qinghai,4,2,4,4,4,0.9244591515353,0.9880483675382116,3,21,Strong lead,2,NA,NA,NA,NA
all_years,sediment,tetracyclines,K. pneumoniae | Imipenem,EconomicScaleIndex,23,3,693,129,2,2004,2025,-0.21744502764145424,0.31892629514917803,-0.07213438735177866,0.7436083699952885,0.06310630550908343,0.17629345855989417,-0.2787938704893722,0.1976734820506664,0.5100074284681383,0.01291117198821255,TRUE,1,0.8000635581999105,Qinghai,4,2,4,4,4,0.929374190470544,0.9677115890599172,3,21,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,E. coli | Ceftazidime,WastewaterHealthIndex,23,3,753,104,2,2012,2025,-0.21343873517786563,0.3281421718767421,-0.2341897233201581,0.2821297301046476,0.04675136966847581,0.20629117259552032,-0.13639733552054858,0.5348820435137727,0.2663701588607815,0.219231904942668,TRUE,1,0.5264550264550264,Xinjiang,4,2,4,5,3,0.9897658389202042,0.8772589450120879,3,21,Strong lead,2,not yearbook metric,not yearbook metric,reinforced,0.9333333333333333
sample_year_ge_2012,sediment,fluoroquinolones,P. aeruginosa | Piperacillin,EconomicScaleIndex,23,3,753,104,2,2012,2025,-0.21245059288537552,0.330439591552701,-0.18478260869565216,0.3986298380742026,0.04675136966847581,0.20629117259552032,-0.2120089019504179,0.33146962859496576,0.2673585453500608,0.2174618135183949,TRUE,1,0.4498338870431892,Xinjiang,4,2,4,5,3,0.9897658389202042,0.8984368110433405,3,21,Strong lead,2,not yearbook metric,not yearbook metric,reinforced,0.8666666666666667
all_years,sediment,tetracyclines,P. aeruginosa | Amikacin,EconomicScaleIndex,23,3,693,129,2,2004,2025,-0.2100321289718592,0.33610304672548397,-0.12747035573122528,0.5621792565433881,0.06310630550908343,0.17629345855989417,-0.2787938704893722,0.1976734820506664,0.37657525241542766,0.0765373548421542,TRUE,1,0.8232576544680327,Qinghai,4,2,4,4,4,0.9336475018941122,0.923879146237564,3,21,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,K. pneumoniae | Polymyxin B,milk_output_2024,23,3,753,104,2,2012,2025,0.19861660079051385,0.3636086341243845,0.29051383399209485,0.17869743023409967,0.04675136966847581,0.20629117259552032,-0.10474308300395258,0.6343387370358157,-0.3577075098814229,0.0937749113069188,TRUE,1,0.5764036958066808,Shandong,4,2,4,5,3,0.9897658389202042,0.8231886068161636,3,21,Strong lead,2,not yearbook metric,not yearbook metric,reinforced,0.9333333333333333
