cluster_id,cluster_name,matrix,env_class,n_provinces,env_records_total,median_env_burden_log,dominant_endpoint_from_pathway_screen,top_pathway_score,top_pathway_class,sparse_or_too_little_data
1,Eastern production-infrastructure belt,sediment,other,4,5,0.39748945455838625,E. coli | Ceftazidime,15,Too sparse,TRUE
1,Eastern production-infrastructure belt,sediment,beta-lactams,3,16,0.7070184678324583,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,sediment,diaminopyrimidines,10,39,0.08920067076687763,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,sediment,fluoroquinolones,11,369,0.5985713324862814,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,sediment,lincosamides,8,15,0.17777580691348216,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,sediment,macrolides,11,156,0.27462427842702797,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,sediment,phenicols,8,24,0.2406427263387521,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,sediment,sulfonamides,11,325,0.06971913707908395,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,sediment,tetracyclines,11,263,0.5212680683610718,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,sludge,diaminopyrimidines,4,4,1.2787536009528289,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,sludge,fluoroquinolones,4,21,2.013358873952374,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,sludge,macrolides,3,13,1.1583624920952498,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,sludge,sulfonamides,4,17,0.7434276776384717,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,sludge,tetracyclines,4,14,1.996408818497224,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,soil,diaminopyrimidines,1,1,1.212986184736668,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,soil,fluoroquinolones,5,112,0.84323277809800945,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,soil,macrolides,5,41,0.17026171539495738,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,soil,phenicols,3,4,0.02530586526477026,,NA,Too sparse,TRUE
1,Eastern production-infrastructure belt,soil,sulfonamides,5,81,0.31368292829636635,,NA,Too sparse,FALSE
1,Eastern production-infrastructure belt,soil,tetracyclines,6,79,0.8110196496291154,,NA,Too sparse,FALSE
