matrix,min_abs_env_amr_rho,min_loo_sign_stability,n_surviving,n_pool
sediment,0,0.95,13,13
sediment,0.05,0.95,13,13
sediment,0.1,0.95,11,13
sediment,0.15,0.95,9,13
sediment,0.2,0.95,4,13
sediment,0.25,0.95,2,13
sediment,0.3,0.95,0,13
sediment,0.35,0.95,0,13
sediment,0.4,0.95,0,13
sediment,0.45,0.95,0,13
sediment,0.5,0.95,0,13
sediment,0.55,0.95,0,13
sediment,0.6,0.95,0,13
sediment,0.65,0.95,0,13
sediment,0.7,0.95,0,13
sediment,0.75,0.95,0,13
sediment,0.8,0.95,0,13
surface water,0,0.95,12,12
surface water,0.05,0.95,12,12
surface water,0.1,0.95,12,12
surface water,0.15,0.95,11,12
surface water,0.2,0.95,8,12
surface water,0.25,0.95,8,12
surface water,0.3,0.95,6,12
surface water,0.35,0.95,5,12
surface water,0.4,0.95,3,12
surface water,0.45,0.95,2,12
surface water,0.5,0.95,2,12
surface water,0.55,0.95,0,12
surface water,0.6,0.95,0,12
surface water,0.65,0.95,0,12
surface water,0.7,0.95,0,12
surface water,0.75,0.95,0,12
surface water,0.8,0.95,0,12
soil,0,0.95,10,10
soil,0.05,0.95,10,10
soil,0.1,0.95,9,10
soil,0.15,0.95,9,10
soil,0.2,0.95,8,10
soil,0.25,0.95,5,10
soil,0.3,0.95,2,10
soil,0.35,0.95,1,10
soil,0.4,0.95,1,10
soil,0.45,0.95,0,10
soil,0.5,0.95,0,10
soil,0.55,0.95,0,10
soil,0.6,0.95,0,10
soil,0.65,0.95,0,10
soil,0.7,0.95,0,10
soil,0.75,0.95,0,10
soil,0.8,0.95,0,10
sludge,0,0.95,8,8
sludge,0.05,0.95,8,8
sludge,0.1,0.95,8,8
sludge,0.15,0.95,8,8
sludge,0.2,0.95,6,8
sludge,0.25,0.95,4,8
sludge,0.3,0.95,3,8
sludge,0.35,0.95,3,8
sludge,0.4,0.95,2,8
sludge,0.45,0.95,0,8
sludge,0.5,0.95,0,8
sludge,0.55,0.95,0,8
sludge,0.6,0.95,0,8
sludge,0.65,0.95,0,8
sludge,0.7,0.95,0,8
sludge,0.75,0.95,0,8
sludge,0.8,0.95,0,8
wastewater effluent,0,0.95,5,5
wastewater effluent,0.05,0.95,5,5
wastewater effluent,0.1,0.95,5,5
wastewater effluent,0.15,0.95,5,5
wastewater effluent,0.2,0.95,3,5
wastewater effluent,0.25,0.95,2,5
wastewater effluent,0.3,0.95,1,5
wastewater effluent,0.35,0.95,1,5
wastewater effluent,0.4,0.95,0,5
wastewater effluent,0.45,0.95,0,5
wastewater effluent,0.5,0.95,0,5
wastewater effluent,0.55,0.95,0,5
wastewater effluent,0.6,0.95,0,5
wastewater effluent,0.65,0.95,0,5
wastewater effluent,0.7,0.95,0,5
wastewater effluent,0.75,0.95,0,5
wastewater effluent,0.8,0.95,0,5
