matrix,max_env_amr_p,n_surviving,n_pool
sediment,0.25,6,20
sediment,0.2,4,20
sediment,0.15,3,20
sediment,0.1,2,20
sediment,0.05,0,20
sediment,0.01,0,20
sediment,0.001,0,20
soil,0.25,9,16
soil,0.2,5,16
soil,0.15,5,16
soil,0.1,1,16
soil,0.05,1,16
soil,0.01,0,16
soil,0.001,0,16
surface water,0.25,6,15
surface water,0.2,5,15
surface water,0.15,3,15
surface water,0.1,3,15
surface water,0.05,2,15
surface water,0.01,0,15
surface water,0.001,0,15
sludge,0.25,3,11
sludge,0.2,3,11
sludge,0.15,2,11
sludge,0.1,1,11
sludge,0.05,0,11
sludge,0.01,0,11
sludge,0.001,0,11
