sample_type,province,antibiotic,median_concentration,concentration_unit,sample_year,reference_number
MSW incineration leachate,Henan,Sulfamethoxazole,1401.5,ng/L,2023,N63
MSW incineration leachate,Shanxi,Sulfamethoxazole,3085,ng/L,2023,N63
agricultural soil,Inner Mongolia,Chlortetracycline,20.625,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Doxycycline,3.535,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Oxytetracycline,0.26,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Tetracycline,3.09,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Jiangsu,Tetracycline,3.94,ng/g dw,2021,N73
aquaculture pond water,Zhejiang,Enrofloxacin,8,ng/L,2022,N83
aquaculture pond water,Zhejiang,Sulfadimidine,2.5,ng/L,2022,N83
aquaculture wastewater,Jiangsu,Florfenicol,102.41,ng/L,2021,N80
aquaculture wastewater,Jiangsu,Ofloxacin,39.52,ng/L,2021,N80
aquaculture wastewater,Jiangsu,Sulfamethoxazole,53.82,ng/L,2021,N80
coastal water,Guangxi,Sulfamethoxazole,0.09,ng/L,2018,N42
coastal water,Shandong,Norfloxacin,4.98,ng/L,2019,N42
groundwater,Hebei,Ciprofloxacin,1.37,ng/L,2022,N81
groundwater,Hebei,Difloxacin,34.81,ng/L,2022,N81
groundwater,Hebei,Enrofloxacin,159.4,ng/L,2022,N81
groundwater,Hebei,Norfloxacin,44.65,ng/L,2022,N81
groundwater,Jiangxi,Azithromycin,4.07,ng/L,2020,N55
groundwater,Jiangxi,Enoxacin,10.95,ng/L,2020,N55
groundwater,Jiangxi,Roxithromycin,13.48,ng/L,2020,N55
groundwater,Jiangxi,Sulfamethoxazole,9.18,ng/L,2020,N55
groundwater,Jiangxi,Tetracycline,9.11,ng/L,2020,N55
hospital wastewater,Heilongjiang,Azithromycin,92,ng/L,2019,N53
hospital wastewater,Heilongjiang,Cefadroxil,15.2,ng/L,2019,N53
hospital wastewater,Heilongjiang,Ofloxacin,6.86,ng/L,2019,N53
hospital wastewater,Heilongjiang,Roxithromycin,19.6,ng/L,2019,N53
lake sediment,Hubei,Enrofloxacin,40.7,ng/g dw,2021,N78
lake sediment,Hubei,Erythromycin,1447.4,ng/g dw,2021,N78
lake sediment,Hubei,Oxytetracycline,62.6,ng/g dw,2021,N78
lake sediment,Hubei,Sulfamethoxazole,443.7,ng/g dw,2021,N78
lake sediment,Hubei,Tetracycline,2.1,ng/g dw,2021,N78
livestock wastewater,Heilongjiang,Azithromycin,368,ng/L,2019,N53
livestock wastewater,Heilongjiang,Enrofloxacin,921,ng/L,2019,N53
livestock wastewater,Heilongjiang,Ofloxacin,88.8,ng/L,2019,N53
livestock wastewater,Heilongjiang,Roxithromycin,104,ng/L,2019,N53
livestock wastewater,Heilongjiang,Sulfadiazine,128,ng/L,2019,N53
livestock wastewater,Heilongjiang,Sulfadimidine,14.3,ng/L,2019,N53
livestock wastewater,Heilongjiang,Sulfamethoxazole,5.09,ng/L,2019,N53
livestock wastewater,Heilongjiang,Tylosin,77.8,ng/L,2019,N53
livestock wastewater,Jiangxi,Ciprofloxacin,80.87,ng/L,2021,N55
livestock wastewater,Jiangxi,Doxycycline,459.67,ng/L,2021,N55
livestock wastewater,Jiangxi,Enrofloxacin,331.67,ng/L,2021,N55
livestock wastewater,Jiangxi,Norfloxacin,40.98,ng/L,2021,N55
livestock wastewater,Jiangxi,Ofloxacin,84.09,ng/L,2021,N55
livestock wastewater,Jiangxi,Oxytetracycline,459.57,ng/L,2021,N55
livestock wastewater,Jiangxi,Roxithromycin,32.88,ng/L,2021,N55
livestock wastewater,Jiangxi,Sulfadiazine,42.34,ng/L,2021,N55
livestock wastewater,Jiangxi,Sulfamethoxazole,33.65,ng/L,2021,N55
municipal sludge,Beijing,Azithromycin,749,ng/g,2015,121
municipal sludge,Beijing,Chloramphenicol,0.6,ng/g,2010,21
municipal sludge,Beijing,Chlortetracycline,12.015,ng/g,2015,121
municipal sludge,Beijing,Ciprofloxacin,345.46500000000003,ng/g,2015,121
municipal sludge,Beijing,Clarithromycin,5.3,ng/g,2015,121
municipal sludge,Beijing,Dehydroerythromycin,3.3,ng/g,NA,218
municipal sludge,Beijing,Difloxacin,0.7,ng/g,2008,160
municipal sludge,Beijing,Doxycycline,13.6,ng/g,2015,121
municipal sludge,Beijing,Enrofloxacin,21,ng/g,2015,121
municipal sludge,Beijing,Erythromycin A dihydrate,39,ng/g,2008,160
municipal sludge,Beijing,Erythromycin-H2O,6.2,ng/g,2015,121
municipal sludge,Beijing,Fleroxacin,100,ng/g,2008,160
municipal sludge,Beijing,Gatifloxacin,352.5,ng/g,2008,181
municipal sludge,Beijing,Lomefloxacin,790,ng/g,2015,121
municipal sludge,Beijing,Moxifloxacin,441.25,ng/g,2008,181
municipal sludge,Beijing,Nalidixic Acid,1.55,ng/g,NA,21
municipal sludge,Beijing,Norfloxacin,2601.85,ng/g,2015,121
