province,Penicillin G__S. aureus resistance,Erythromycin__S. aureus resistance,Clindamycin__S. aureus resistance,Ciprofloxacin__S. aureus resistance,Tetracycline__S. aureus resistance,Levofloxacin__S. aureus resistance,Gentamicin__S. aureus resistance,Chloramphenicol__S. aureus resistance,Rifampicin__S. aureus resistance,Amoxicillin__E. coli resistance,Ampicillin__E. coli resistance,Cefazolin__E. coli resistance,Cefotaxime__E. coli resistance,Ceftriaxone__E. coli resistance,Chloramphenicol__E. coli resistance,Ciprofloxacin__E. coli resistance,Gentamicin__E. coli resistance,Levofloxacin__E. coli resistance,Ampicillin__K. pneumoniae resistance,Cefazolin__K. pneumoniae resistance,Cefotaxime__K. pneumoniae resistance,Chloramphenicol__K. pneumoniae resistance,Ceftriaxone__K. pneumoniae resistance,Amoxicillin__K. pneumoniae resistance,Ciprofloxacin__K. pneumoniae resistance,Gentamicin__K. pneumoniae resistance,Levofloxacin__K. pneumoniae resistance,Ampicillin__A. baumannii resistance,Cefotaxime__A. baumannii resistance,Ceftriaxone__A. baumannii resistance,Ciprofloxacin__A. baumannii resistance,Gentamicin__A. baumannii resistance,Levofloxacin__A. baumannii resistance,Minocycline__A. baumannii resistance,Ciprofloxacin__P. aeruginosa resistance,Gentamicin__P. aeruginosa resistance,Levofloxacin__P. aeruginosa resistance,Ciprofloxacin__municipal sludge concentration,Erythromycin__municipal sludge concentration,Tetracycline__municipal sludge concentration,Ciprofloxacin__sediments concentration,Erythromycin__sediments concentration,Tetracycline__sediments concentration,Chloramphenicol__sediments concentration,Ciprofloxacin__soil concentration,Erythromycin__soil concentration,Tetracycline__soil concentration
Anhui,1.2336455173804455,0.7901965699939042,0.035053993390388914,-0.2525199809940544,-0.1514861166306634,-0.3023480707255788,-1.104478465670441,-1.3889321916216684,-2.5150721055948413,-0.5309338998304802,1.1412971172696604,0.8782909227414559,0.7318012372126232,0.7447811096565129,0.14506993968465423,0.7701455446834387,0.4385373702470593,0.746389370417165,1.1943879116516312,0.29924833068763224,0.26547017536868966,0.12488723421508788,0.21206778245136026,-0.17073000492294355,0.027427673037502275,-0.04040136005611999,-0.08306286455217472,0.7591441493753714,0.8851124774595812,0.8303502651715176,0.8574822008158192,0.7543841176432592,0.6829649964471667,-0.6522409300171773,-0.4941522932979196,-0.8931918708467199,-0.40553395164885675,0,0,0,-2.775479480213956,-3.4077330529504626,-5.794517784978437,0,0,0,0
Beijing,1.1600251926200218,0.8518436788208448,0.1997175546592095,0.1076839139134827,0.05752007660142706,0.05009895151329106,-0.4520695009998593,-1.1196614586424192,-2.2366581867584157,-0.5461168928024586,1.1118690653278278,0.9453648703507876,0.7285242036189734,0.7399374866499896,0.07216558991769871,0.831800659759995,0.3806163619906908,0.8186546654996393,1.217438145893543,0.7334348999365109,0.6255050477241393,0.04636327970149603,0.6583157299184054,0.352650723604962,0.4124924478595962,0.22725077542333813,0.36292973654627525,0.6180336660292969,0.7591441493753714,0.6864271349744838,0.8097731859468079,0.6199078455414564,0.6724908072103695,-0.23130215432508172,-0.4120237880614581,-0.5694268821558631,-0.3023480707255788,2.321282650633957,-1.0053489747618454,1.7230997594452437,0.24216018601528505,-1.6143416256517586,-0.7913412744495949,0,-0.20959391626983134,-4.658388414859769,1.0270953957078206
Tianjin,1.1402995886366525,0.8447410609543428,0.11460822127377424,-0.31384061520604106,-0.6878356610401972,-0.2910129633194373,-0.6522409300171773,-0.7345966838203254,-2.937754717339887,-0.669846911253072,1.0866975456035357,0.8067913812754429,0.6511360761895183,0.6759969561040752,-0.16587691241348868,0.7511954820947623,0.37308262344499027,0.7511954820947623,1.151206815364019,0.20591571023892138,0.1903323890076875,-0.10975711179649751,0.1903323890076875,-0.367628855601039,-0.24716429950802693,-0.3432903392030042,-0.3313843798246757,0.05752007660142706,0.3806163619906908,0.22725077542333813,0.33961974719287064,0.15168957419645138,0.21512675044857943,-1.200059592668171,-0.8702056732802158,-1.4784735115045968,-0.6265150268282104,2.4652135546152993,-0.9921094939009085,1.6768470145005132,1.0516760393355962,-0.9726391861515127,0.04907332189191924,0,-0.35537011433680155,-2.495828217302561,0.02703323336194315
Hebei,1.2309662385121551,0.978789231002516,0.46829672896814395,-0.4728433929509209,-0.40553395164885675,-0.4798855622729344,-0.5461168928024586,-1.1508896892904807,-2.126167649168739,-0.07435278516961566,1.153174592512257,0.9339164954009022,0.7607247609369301,0.7685828437451839,0.11804876635908648,0.8461664702661255,0.49048170128778606,0.7977809484910471,1.202760157454095,0.32638026633193384,0.21206778245136026,-0.08745252949372388,0.2302542266369566,-0.048759510928791786,-0.10076300258162436,-0.20046194239497053,-0.22089384223499875,0.6636598813317526,0.7591441493753714,0.7152847227580367,0.8082836267671099,0.6864271349744838,0.6347503941964057,-0.6969788468973738,-0.5086693305793291,-0.8048467201650423,-0.4728433929509209,1.7061730094719827,-0.2434358417634321,2.318175067981963,-1.6383683321576967,-1.1258135308548576,-1.2197108494799636,0,-1.036628537641126,0,-0.480593086814432
Shanxi,1.2354268956806675,0.8532569155450291,0.3210245848459064,-0.6015648983830624,-0.6181144480667526,-0.6350017668747844,-0.7345966838203254,-1.1196614586424192,-2.6022526538311133,-0.057202950527889,1.169714412241738,0.9641003854927401,0.7035238155145115,0.6511360761895183,0.07216558991769871,0.8157047518552458,0.5035126776998771,0.7856123482913211,1.1821431250703105,0.0971875799201341,-0.18052242572976032,-0.22608163290156713,-0.09186560609232221,-0.4728433929509209,-0.4520695009998593,-0.5160244892385337,-0.5160244892385337,0.6292155916141341,0.8390147412086505,0.7383166244257903,0.7591441493753714,0.6066985586231554,0.6273623995721632,-0.2106148292936851,-0.7540669915697209,-0.9921094939009085,-0.6435764539800441,1.1442825080037269,-1.0053489747618454,0.8361366516952741,0,0,0,0,-2.350532982239011,-0.35318269960784904,-2.044018783702927
Inner Mongolia,1.1971880831932122,0.9824210579049051,0.29924833068763224,-0.16105211798036456,-0.3493081831888745,-0.19043212382411875,-0.6969788468973738,-1.0053489747618454,-1.7244342551304415,-0.6609970953336844,1.1393008559856903,1.0305216941888353,0.7318012372126232,0.7169512890834855,0.12488723421508788,0.9491460645965207,0.4970228412872761,0.9105333095415569,1.1849849706829614,0.15497963777901308,0.04261066600948015,-0.057202950527889,0.027427673037502275,-0.7540669915697209,-0.17561172941222328,-0.38007194573556524,-0.2687982089384652,0.6310646424413878,0.6742457387290002,0.652936838382002,0.7638769548476483,0.5142172241557718,0.4816789597476382,-0.2525199809940544,-0.8931918708467199,-1.289118575084299,-0.7639766896640795,0,0,0,0,0,0,0,0,0,0
Liaoning,1.1792914855993188,1.0350681336535241,0.4431859774222557,0.18401594687811001,-0.4798855622729344,0.1615207777785027,-0.6787924027117774,-0.7944384080749596,-2.126167649168739,-0.4941522932979196,1.1551377011456752,0.9836281331019947,0.8404500406160038,0.8288973237958,0.30474635690149515,0.9908338381527615,0.5056646942597639,0.9364743023862361,1.153174592512257,0.45697712834887444,0.2568056993315567,0.1111533106140931,0.3705560568991623,-0.08745252949372388,0.12828539053468987,-0.03212679209226598,-0.007788275694230786,0.7810025876174285,0.8574822008158192,0.8127442839356223,0.9516572953582143,0.8985891581113018,0.8082836267671099,-0.38007194573556524,-0.2365558221383643,-0.593412616667989,-0.18546243981089705,1.1442825080037269,-1.0053489747618454,0.8361366516952741,-0.8873851810460018,-0.4977577451935055,-2.056759923564403,-2.498686423601729,0.031277656597385066,-2.495828217302561,0.08760471968196058
Jilin,1.1887589790538027,1.055223525587599,0.4727815632583364,0.29648555716648034,-0.2910129633194373,0.31020809224888607,-0.2687982089384652,-0.6265150268282104,-1.9415275397548808,-0.6609970953336844,1.1687505799826534,0.976359126756978,0.7763670018190547,0.8112600684688566,0.3448567893639248,1.0074070654551237,0.5142172241557718,0.9554099090502298,1.2486663765416048,0.3578061913784674,-0.08306286455217472,0.15497963777901308,0.038840956068517944,-0.6350017668747844,-0.10975711179649751,-0.3023480707255788,-0.2910129633194373,0.2332468154354826,0.16801061419110405,0.4816789597476382,0.6654336224201105,0.3578061913784674,0.5557020971761475,-0.8931918708467199,-0.593412616667989,-0.966249579876623,-0.5160244892385337,0,0,0,-0.9921094939009085,-0.5309338998304802,0,0,0,0,0
Heilongjiang,1.1668195408311746,1.033933863563822,0.6047941851683597,0.16801061419110405,-0.3313843798246757,0.12147506484010148,-0.31384061520604106,-0.9921094939009085,-1.8626631409242596,-0.5461168928024586,1.1422934447842163,0.9184013552038855,0.7447811096565129,0.7575605127180703,0.271196495114382,0.9039189665605651,0.45697712834887444,0.8546677426572623,1.260834976741331,0.21512675044857943,0.035053993390388914,-0.13267962752967902,0.086556385700524,-0.31384061520604106,-0.22089384223499875,-0.367628855601039,-0.2910129633194373,0.5677525514296996,0.4431859774222557,0.208997463897541,0.6565266483546793,0.4052446651625552,0.46604516322276845,-0.6350017668747844,-0.7250306824706242,-1.0053489747618454,-0.6969788468973738,0,0,0,0,0,0,0,0,0,0.6044127839627753
Shanghai,1.1878170894804245,0.7035238155145115,0.17123654381655248,0.3831124420158416,0.2625920858553137,0.2909321812819812,-0.367628855601039,-1.4104256052709958,-2.6997122150086996,-0.3373159457331132,1.1159908666322857,0.914476684284731,0.7399374866499896,0.7334348999365109,0.2937135281053611,0.8461664702661255,0.32638026633193384,0.8052964397651629,1.239863635001457,0.6273623995721632,0.5815931353057144,0.27688345839970535,0.5697440082294012,0.37308262344499027,0.42680029542914305,0.26547017536868966,0.3781127295182536,0.7318012372126232,0.5990546252709624,0.8504280242396661,0.865868589167301,0.6707321457600949,0.7318012372126232,-0.31384061520604106,-0.21573837446149338,-0.6969788468973738,-0.12804404173130576,1.1442825080037269,-1.0053489747618454,0.8361366516952741,-0.7560394594903299,-1.1849994214124442,-1.5855935764060791,-4.0848438490198085,-0.13267962752967902,-4.9938904783685425,-1.9130620826279707
