province,bacteria,antibiotic,resistant_pc
Beijing,S. aureus,Rifampicin,1.4193548820912838
Beijing,S. aureus,Nitrofurantoin,0.2358490601181984
Beijing,S. aureus,Chloramphenicol,5.361930280923843
Beijing,S. aureus,Gentamicin,12.115486711263657
Beijing,S. aureus,Tetracycline,22.401289641857147
Beijing,S. aureus,Levofloxacin,22.15881645679474
Beijing,S. aureus,Cefoxitin,23.76725822687149
Beijing,S. aureus,Clindamycin,26.561781764030457
Beijing,S. aureus,Ciprofloxacin,23.367199301719666
Beijing,S. aureus,Oxacillin,31.075358390808105
Beijing,S. aureus,Erythromycin,58.48120450973511
Beijing,S. aureus,Penicillin G,84.86447334289551
Beijing,E. coli,Tigecycline,0.2979474840685725
Beijing,E. coli,Polymixin B,2.332361601293087
Beijing,E. coli,Meropenem,2.356868796050549
Beijing,E. coli,Imipenem,2.706189639866352
Beijing,E. coli,Ertapenem,3.1802553683519363
Beijing,E. coli,Cefotetan,3.0852463096380234
Beijing,E. coli,Nitrofurantoin,1.7188189551234243
Beijing,E. coli,Amikacin,5.570342019200325
Beijing,E. coli,Cefoxitin,12.905064225196838
Beijing,E. coli,Chloramphenicol,22.76300936937332
Beijing,E. coli,Ceftazidime,23.126472532749176
Beijing,E. coli,Aztreonam,31.78874254226685
Beijing,E. coli,Tobramycin,33.5096538066864
Beijing,E. coli,Gentamicin,33.0805629491806
Beijing,E. coli,Cefepime,28.379955887794495
Beijing,E. coli,Ceftriaxone,51.085007190704346
Beijing,E. coli,Cefotaxime,50.426310300827026
Beijing,E. coli,Cefuroxime,51.779764890670776
Beijing,E. coli,Levofloxacin,56.236428022384636
Beijing,E. coli,Ciprofloxacin,57.126110792160034
Beijing,E. coli,Cefazolin,65.5482828617096
Beijing,E. coli,Ampicillin,80.10963201522827
Beijing,K. pneumoniae,Polymixin B,1.2698412872850895
Beijing,K. pneumoniae,Tigecycline,6.363580375909805
Beijing,K. pneumoniae,Cefotetan,20.32361328601837
Beijing,K. pneumoniae,Amikacin,21.723006665706635
Beijing,K. pneumoniae,Imipenem,25.265175104141235
Beijing,K. pneumoniae,Meropenem,26.49291753768921
Beijing,K. pneumoniae,Ertapenem,27.22894847393036
Beijing,K. pneumoniae,Chloramphenicol,22.133804857730865
Beijing,K. pneumoniae,Gentamicin,27.46862471103668
Beijing,K. pneumoniae,Cefoxitin,31.383255124092106
Beijing,K. pneumoniae,Levofloxacin,32.38585889339447
Beijing,K. pneumoniae,Tobramycin,34.49932336807251
Beijing,K. pneumoniae,Ciprofloxacin,34.387439489364624
Beijing,K. pneumoniae,Aztreonam,38.86782228946686
Beijing,K. pneumoniae,Cefepime,38.302209973335266
Beijing,K. pneumoniae,Ceftazidime,38.82356882095337
Beijing,K. pneumoniae,Cefotaxime,44.45893168449402
Beijing,K. pneumoniae,Ceftriaxone,46.28273248672485
Beijing,K. pneumoniae,Cefuroxime,49.92254674434662
Beijing,K. pneumoniae,Cefazolin,50.70911645889282
Beijing,K. pneumoniae,Nitrofurantoin,34.15493071079254
Beijing,K. pneumoniae,Ampicillin,91.00629091262816
Beijing,P. aeruginosa,Amikacin,2.9426751658320427
Beijing,P. aeruginosa,Polymixin B,6.311208009719849
Beijing,P. aeruginosa,Tobramycin,9.744884818792343
Beijing,P. aeruginosa,Gentamicin,10.529715567827225
Beijing,P. aeruginosa,Ciprofloxacin,12.657201290130615
Beijing,P. aeruginosa,Ceftazidime,13.866280019283296
Beijing,P. aeruginosa,Cefepime,8.238156884908676
