reference_number,source_dataset,full_reference_name,article_link,place_in_article_data_extracted_from,province,location,sample_type,matrix,sample_year,season,antibiotic,group_of_antibiotic,unit_raw,mean_raw,max_raw,conversion_factor,unit_converted,mean_converted,max_converted,flag_codes,flag_reasons,suggested_unit_note
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,Shijiazhuang,municipal sludge,sludge,2004,NA,Oxytetracycline,tetracyclines,g/kg dw,4063000,4363000,1000000,ng/g dw,4063000000000,4363000000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if µg/kg not g/kg, mean would be 4063000 ng/g dw; if ng/g not g/kg, mean would be 4063000 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2005,spring,Oxytetracycline,tetracyclines,g/kg dw,234333.33,262000,1000000,ng/g dw,234333330000,262000000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 234300000 ng/g dw; if µg/kg not g/kg, mean would be 234300 ng/g dw; if ng/g not g/kg, mean would be 234300 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2004,winter,Oxytetracycline,tetracyclines,g/kg dw,215000,236000,1000000,ng/g dw,215000000000,236000000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 2.15e+08 ng/g dw; if µg/kg not g/kg, mean would be 215000 ng/g dw; if ng/g not g/kg, mean would be 215000 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,Shijiazhuang,municipal sludge,sludge,2004,NA,Epioxytetracycline,tetracyclines,g/kg dw,195000,214000,1000000,ng/g dw,195000000000,214000000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 1.95e+08 ng/g dw; if µg/kg not g/kg, mean would be 195000 ng/g dw; if ng/g not g/kg, mean would be 195000 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2005,summer,Oxytetracycline,tetracyclines,g/kg dw,158666.67,171000,1000000,ng/g dw,158666670000,171000000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 158700000 ng/g dw; if µg/kg not g/kg, mean would be 158700 ng/g dw; if ng/g not g/kg, mean would be 158700 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,Shijiazhuang,municipal sludge,sludge,2004,NA,_-apo-oxytetracycline,tetracyclines,g/kg dw,73600,102000,1000000,ng/g dw,73600000000,102000000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 73600000 ng/g dw; if µg/kg not g/kg, mean would be 73600 ng/g dw; if ng/g not g/kg, mean would be 73600 ng/g dw"
76,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, G. et al. Occurrence of antibiotics and antibiotic resistance genes and their correlations in lower Yangtze River, China. Environmental Pollution 257 (2020).",https://scholar.google.com/scholar?q=Occurrence+of+antibiotics+and+antibiotic+resistance+genes+and+their+correlations+in+lower+Yangtze+River%2C+China,Zhang 2022 supplementary dataset (Sheet7 record),Jiangsu,Yangtze River (Jiangsu section),sediment,sediment,2018,autumn,Ofloxacin,fluoroquinolones,g/kg dw,44270,84170,1000000,ng/g dw,44270000000,84170000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 44270000 ng/g dw; if µg/kg not g/kg, mean would be 44270 ng/g dw; if ng/g not g/kg, mean would be 44270 ng/g dw"
206,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Jiang, Y. et al. Distribution and ecological risk of antibiotics in a typical effluentreceiving river (Wangyang River) in north China. Chemosphere 112 (2014).",https://scholar.google.com/scholar?q=Distribution+and+ecological+risk+of+antibiotics+in+a+typical+effluent%EF%BF%BDreceiving+river+%28Wangyang+River%29+in+north+China,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, Wangyang River",sediment,sediment,2013,summer,Oxytetracycline,tetracyclines,g/kg dw,36148.3,162673,1000000,ng/g dw,36148300000,162673000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 36150000 ng/g dw; if µg/kg not g/kg, mean would be 36150 ng/g dw; if ng/g not g/kg, mean would be 36150 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,summer,Oxytetracycline,tetracyclines,g/kg dw,29300,NA,1000000,ng/g dw,29300000000,NA,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 29300000 ng/g dw; if µg/kg not g/kg, mean would be 29300 ng/g dw; if ng/g not g/kg, mean would be 29300 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,autumn,Oxytetracycline,tetracyclines,g/kg dw,27650,NA,1000000,ng/g dw,27650000000,NA,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 27650000 ng/g dw; if µg/kg not g/kg, mean would be 27650 ng/g dw; if ng/g not g/kg, mean would be 27650 ng/g dw"
