province,qu_category,qu_subcategory,NBS_region,RR_ranking
Beijing,First,1,Eastern,4
Shanghai,First,1,Eastern,2
Zhejiang,First,1,Eastern,5
Tianjin,First,1,Eastern,7
Jiangsu,Second,2,Eastern,1
Shandong,Second,2,Eastern,6
Fujian,Second,2,Eastern,3
Anhui,Second,3,Central,8
Chongqing,Second,3,Western,10
Hubei,Second,3,Central,9
Qinghai,Third,4,Western,23
Tibet,Third,4,Western,17
Guangdong,Fourth,5,Eastern,11
Hunan,Fourth,5,Central,13
Henan,Fourth,5,Central,15
Hebei,Fourth,5,Eastern,14
Gansu,Fourth,6,Western,24
Yunnan,Fourth,6,Western,20
Guizhou,Fourth,6,Western,22
Ningxia,Fourth,6,Western,16
Sichuan,Fourth,6,Western,19
Xinjiang,Fourth,6,Western,18
Jiangxi,Fourth,6,Central,12
Guangxi,Fourth,6,Western,26
Jilin,Fourth,6,Northeastern,21
Inner Mongolia,Fourth,7,Western,25
Shaanxi,Fourth,7,Western,27
Shanxi,Fourth,7,Central,30
Hainan,Fourth,7,Eastern,31
Heilongjiang,Fourth,7,Northeastern,29
Liaoning,Fourth,7,Northeastern,28
