province,metric,value,unit
Beijing,E01_01_Divisions_at_Prefecture_Level,NA,counts
Beijing,E01_01_Cities_at_Prefecture_Level,NA,counts
Beijing,E01_01_Divisions_at_County_Level,16,counts
Beijing,E01_01_Districts_under_Jurisdiction_of_Cities,16,counts
Beijing,E01_01_Cities_at_County_Level,NA,counts
Beijing,E01_01_Counties,NA,counts
Beijing,E01_01_Autonomous_Counties,NA,counts
Beijing,E01_01_Divisions_at_Township_Level,343,counts
Beijing,E01_01_Towns,143,counts
Beijing,E01_01_Townships,35,counts
Beijing,E01_01_Subdistricts,165,counts
Beijing,E01_05_Total,1316531,counts
Beijing,E01_05_Agriculture_Forestry_Animal_Husbandry_and_Fishery,6597,counts
Beijing,E01_05_Mining,16,counts
Beijing,E01_05_Manufacturing,21191,counts
Beijing,E01_05_Production_and_Supply_of_Electricity_Heating_Gas_and_Water,2189,counts
Beijing,E01_05_Construction,65582,counts
Beijing,E01_05_Wholesale_and_Retail_Trades,313079,counts
Beijing,E01_05_Transport_Storage_and_Post,20757,counts
Beijing,E01_05_Hotels_and_Catering_Services,53709,counts
Beijing,E01_05_Information_Transmission_Software_and_Information_Technology,122415,counts
Beijing,E01_05_Financial_Intermediation,7704,counts
Beijing,E01_05_Real_Estate,36826,counts
Beijing,E01_05_Leasing_and_Business_Services,239931,counts
Beijing,E01_05_Scientific_Research_and_Technical_Services,226230,counts
Beijing,E01_05_Management_of_Water_Conservancy_Environment_and_Public_Facilities,8448,counts
Beijing,E01_05_Services_to_Households_Repair_and_Other_Services,53827,counts
Beijing,E01_05_Education,21436,counts
Beijing,E01_05_Health_and_Social_Service,9494,counts
Beijing,E01_05_Culture_Sports_and_Entertainment,89656,counts
Beijing,E01_05_Public_Management_Social_Security_and_Social_Organization,17444,counts
Beijing,E02_05_Population_at_year_end_2015,2188,10000_persons
Beijing,E02_05_Population_at_year_end_2016,2195,10000_persons
Beijing,E02_05_Population_at_year_end_2017,2194,10000_persons
Beijing,E02_05_Population_at_year_end_2018,2192,10000_persons
Beijing,E02_05_Population_at_year_end_2019,2190,10000_persons
Beijing,E02_05_Population_at_year_end_2020,2189,10000_persons
Beijing,E02_05_Population_at_year_end_2021,2189,10000_persons
Beijing,E02_05_Population_at_year_end_2022,2184,10000_persons
Beijing,E02_05_Population_at_year_end_2023,2186,10000_persons
Beijing,E02_05_Population_at_year_end_2024,2183,10000_persons
Beijing,E02_06_Urban_Population_Proportion_2015,86.71,percent
Beijing,E02_06_Urban_Population_Proportion_2016,86.76,percent
Beijing,E02_06_Urban_Population_Proportion_2017,86.93,percent
Beijing,E02_06_Urban_Population_Proportion_2018,87.09,percent
Beijing,E02_06_Urban_Population_Proportion_2019,87.35,percent
Beijing,E02_06_Urban_Population_Proportion_2020,87.55,percent
Beijing,E02_06_Urban_Population_Proportion_2021,87.5,percent
Beijing,E02_06_Urban_Population_Proportion_2022,87.57,percent
Beijing,E02_06_Urban_Population_Proportion_2023,87.83,percent
Beijing,E02_06_Urban_Population_Proportion_2024,88.22,percent
Beijing,E02_07_Total_Population_year_end,2183,10000_persons
Beijing,E02_07_Urban_Population,1926,10000_persons
Beijing,E02_07_Urban_Population_Proportion,88.22,percent
