sample_type,province,antibiotic,median_concentration,sam_Y,pub_id,pub_full,lod_est
municipal sludge,Beijing,Azithromycin,749,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2037).",749
municipal sludge,Beijing,Chloramphenicol,0.6,2010,21,"Chen, W., Huang, J., Sui, Q., Yu, G. & Zhu, W. Determination of Nine Pharmaceutical and Personal Care Products in Sludge by PSE Coupled to UPLC-MS/MS. Research of Environmental Sciences 24, 925-932 (2011).",0.6
municipal sludge,Beijing,Chlortetracycline,12.015,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2027).",8.5
municipal sludge,Beijing,Ciprofloxacin,345.46500000000003,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2031).",83.29999999999998
municipal sludge,Beijing,Clarithromycin,5.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2035).",5.3
municipal sludge,Beijing,Difloxacin,0.7,2008,160,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2014).",0.7
municipal sludge,Beijing,Doxycycline,13.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2028).",13.6
municipal sludge,Beijing,Enrofloxacin,21,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2032).",6.6
municipal sludge,Beijing,Erythromycin,6.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2036).",3.3
municipal sludge,Beijing,Fleroxacin,100,2008,160,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2016).",70
