sample_type,matrix,province,location,season,lon,lat,sample_year,antibiotic,antibiotic_class,mean_concentration,max_concentration,concentration_unit,reference_number
MSW incineration leachate,wastewater influent,Henan,Luoyang MSW incineration plant,NA,NA,NA,2023,Sulfamethoxazole,Sulfonamides,1401.5,NA,ng/L,N63
MSW incineration leachate,wastewater influent,Shanxi,Taiyuan MSW incineration plant,NA,NA,NA,2023,Sulfamethoxazole,Sulfonamides,3085,NA,ng/L,N63
agricultural soil,soil,Inner Mongolia,Dailiji town,pre-sowing,NA,NA,2022,Chlortetracycline,Tetracyclines,77.52,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,2022,Chlortetracycline,Tetracyclines,8.65,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,2022,Doxycycline,Tetracyclines,0.56,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,2022,Oxytetracycline,Tetracyclines,0.26,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,2022,Tetracycline,Tetracyclines,0.44,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Shebotu town,pre-sowing,NA,NA,2022,Chlortetracycline,Tetracyclines,28.18,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,2022,Chlortetracycline,Tetracyclines,13.07,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,2022,Doxycycline,Tetracyclines,6.51,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,2022,Tetracycline,Tetracyclines,5.74,NA,ng/g,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,soil,Jiangsu,Zhangjiagang city (ZJG) farmland,NA,NA,NA,2021,Tetracycline,Tetracyclines,3.94,NA,ng/g dw,N73
aquaculture pond water,surface water,Zhejiang,"26 freshwater aquaculture ponds, Zhoushan, NE Zhejiang",NA,NA,NA,2022,Enrofloxacin,Fluoroquinolones,8,NA,ng/L,N83
aquaculture pond water,surface water,Zhejiang,"26 freshwater aquaculture ponds, Zhoushan, NE Zhejiang",NA,NA,NA,2022,Sulfadimidine,Sulfonamides,2.5,NA,ng/L,N83
aquaculture wastewater,wastewater effluent,Jiangsu,"Freshwater crustacean ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,2021,Ofloxacin,Fluoroquinolones,39.52,NA,ng/L,N80
aquaculture wastewater,wastewater effluent,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,2021,Florfenicol,Phenicols,102.41,NA,ng/L,N80
aquaculture wastewater,wastewater effluent,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,2021,Sulfamethoxazole,Sulfonamides,53.82,NA,ng/L,N80
coastal water,surface water,Guangxi,NA,NA,NA,NA,2018,Sulfamethoxazole,Sulfonamides,0.09,7.43,ng/L,N42
coastal water,surface water,Shandong,NA,NA,NA,NA,2019,Norfloxacin,Fluoroquinolones,4.98,48.31,ng/L,N42
groundwater,surface water,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,2022,Ciprofloxacin,Fluoroquinolones,1.37,14.79,ng/L,N81
groundwater,surface water,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,2022,Difloxacin,Fluoroquinolones,34.81,97.4,ng/L,N81
groundwater,surface water,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,2022,Enrofloxacin,Fluoroquinolones,159.4,1010,ng/L,N81
groundwater,surface water,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,2022,Norfloxacin,Fluoroquinolones,44.65,106.4,ng/L,N81
groundwater,surface water,Jiangxi,Jinjiang river basin,NA,NA,NA,2020,Azithromycin,Macrolides,4.07,12.2,ng/L,N55
groundwater,surface water,Jiangxi,Jinjiang river basin,NA,NA,NA,2020,Enoxacin,Fluoroquinolones,10.95,24.08,ng/L,N55
groundwater,surface water,Jiangxi,Jinjiang river basin,NA,NA,NA,2020,Roxithromycin,Macrolides,13.48,16.75,ng/L,N55
groundwater,surface water,Jiangxi,Jinjiang river basin,NA,NA,NA,2020,Sulfamethoxazole,Sulfonamides,9.18,14.21,ng/L,N55
groundwater,surface water,Jiangxi,Jinjiang river basin,NA,NA,NA,2020,Tetracycline,Tetracyclines,9.11,26.04,ng/L,N55
hospital wastewater,wastewater effluent,Heilongjiang,Harbin,NA,NA,NA,2019,Azithromycin,Macrolides,92,98.5,ng/L,N53
hospital wastewater,wastewater effluent,Heilongjiang,Harbin,NA,NA,NA,2019,Cefadroxil,Beta-lactams,15.2,18.3,ng/L,N53
hospital wastewater,wastewater effluent,Heilongjiang,Harbin,NA,NA,NA,2019,Ofloxacin,Fluoroquinolones,6.86,8.63,ng/L,N53
hospital wastewater,wastewater effluent,Heilongjiang,Harbin,NA,NA,NA,2019,Roxithromycin,Macrolides,19.6,32.7,ng/L,N53
lake sediment,sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,2021,Enrofloxacin,Fluoroquinolones,40.7,NA,ng/g dw,N78
lake sediment,sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,2021,Erythromycin,Macrolides,1447.4,NA,ng/g dw,N78
