province,antibiotic,metric,value,unit,china_mean,fold_change,log2_fc,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Beijing,Nitrofurantoin,S. aureus_resistance_2019,0.8513226173818111,% resistant strains,0.5581072275526822,1.5253746508800607,0.6091636299435208,First,1,Eastern,4,1,2,4
Beijing,Chloramphenicol,S. aureus_resistance_2019,4.76190485060215,% resistant strains,9.061887003481388,0.5254871141929628,-0.9282727075178739,First,1,Eastern,4,1,2,4
Beijing,Rifampicin,S. aureus_resistance_2019,6.423962116241455,% resistant strains,3.5077634357636973,1.8313555728260944,0.8729119295020975,First,1,Eastern,4,1,2,4
Beijing,Trimethoprim/Sulfamethoxazole,S. aureus_resistance_2019,16.071076691150665,% resistant strains,15.366577020575923,1.0458462330050091,0.06467075293436544,First,1,Eastern,4,1,2,4
Beijing,Amikacin,S. aureus_resistance_2019,13.927575945854189,% resistant strains,4.076460734941065,3.41658533013088,1.7725551589563682,First,1,Eastern,4,1,2,4
Beijing,Gentamicin,S. aureus_resistance_2019,20.24616003036499,% resistant strains,12.872817102939852,1.5727839421987313,0.6533204972460396,First,1,Eastern,4,1,2,4
Beijing,Cefoxitin,S. aureus_resistance_2019,23.587223887443542,% resistant strains,28.241958517220713,0.835183716917546,-0.25983451007643443,First,1,Eastern,4,1,2,4
Beijing,Levofloxacin,S. aureus_resistance_2019,23.402902483940125,% resistant strains,14.43122840456424,1.621684712338027,0.6974933582969851,First,1,Eastern,4,1,2,4
Beijing,Tetracycline,S. aureus_resistance_2019,25.66005289554596,% resistant strains,23.47471627496904,1.093093206962724,0.12841642341577114,First,1,Eastern,4,1,2,4
Beijing,Ciprofloxacin,S. aureus_resistance_2019,24.101601541042328,% resistant strains,15.051637409675505,1.601261104359936,0.6792085753441045,First,1,Eastern,4,1,2,4
Beijing,Oxacillin,S. aureus_resistance_2019,33.25868844985962,% resistant strains,28.357762819336305,1.1728248332474775,0.22998755635353557,First,1,Eastern,4,1,2,4
Beijing,Clindamycin,S. aureus_resistance_2019,34.99300181865692,% resistant strains,36.13554830512693,0.9683816479876713,-0.04635235612058198,First,1,Eastern,4,1,2,4
Beijing,Erythromycin,S. aureus_resistance_2019,61.491745710372925,% resistant strains,61.67297382508555,0.997061466255436,-0.004245649111947439,First,1,Eastern,4,1,2,4
Beijing,Penicillin G,S. aureus_resistance_2019,87.09872961044312,% resistant strains,92.46987931189999,0.9419146024475706,-0.0863318293276838,First,1,Eastern,4,1,2,4
Beijing,Tigecycline,E. coli_resistance_2019,0.20787320099771023,% resistant strains,0.16906316042877734,1.229559417146249,0.2981414533162809,First,1,Eastern,4,1,2,4
Beijing,Ertapenem,E. coli_resistance_2019,1.897760294377804,% resistant strains,1.194961431901902,1.5881351847124694,0.6673337223129837,First,1,Eastern,4,1,2,4
Beijing,Meropenem,E. coli_resistance_2019,2.3904627189040184,% resistant strains,1.258716238812814,1.899127575535719,0.9253368230285565,First,1,Eastern,4,1,2,4
Beijing,Amikacin,E. coli_resistance_2019,2.339763566851616,% resistant strains,2.2217619383046703,1.053111733760723,0.07465851251819673,First,1,Eastern,4,1,2,4
Beijing,Imipenem,E. coli_resistance_2019,2.8926802799105644,% resistant strains,1.3916345212298133,2.078620669279064,1.0556265025532112,First,1,Eastern,4,1,2,4
Beijing,Cefotetan,E. coli_resistance_2019,4.134697467088699,% resistant strains,2.5449253618717194,1.6246831946567377,0.700158427029484,First,1,Eastern,4,1,2,4
Beijing,Nitrofurantoin,E. coli_resistance_2019,4.181184619665146,% resistant strains,3.3415165202071266,1.2512835397880875,0.3234087400202629,First,1,Eastern,4,1,2,4
Beijing,Cefoxitin,E. coli_resistance_2019,15.728311240673063,% resistant strains,12.139011414781693,1.2956830423209482,0.3737128407552298,First,1,Eastern,4,1,2,4
Beijing,Chloramphenicol,E. coli_resistance_2019,20.58020532131195,% resistant strains,23.719583800242795,0.8676461397733838,-0.20482132005571335,First,1,Eastern,4,1,2,4
Beijing,Ceftazidime,E. coli_resistance_2019,24.658289551734924,% resistant strains,23.65775781293069,1.0422919089254252,0.05975938182087763,First,1,Eastern,4,1,2,4
Beijing,Cefepime,E. coli_resistance_2019,25.559118390083313,% resistant strains,24.37011561086101,1.0487893778678834,0.06872497914014342,First,1,Eastern,4,1,2,4
Beijing,Tobramycin,E. coli_resistance_2019,12.064982205629349,% resistant strains,14.509618811068997,0.8315161385511589,-0.2661838304346165,First,1,Eastern,4,1,2,4
