sample_type,province,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
MSW incineration leachate,Henan,Sulfamethoxazole,Sulfonamides,1401.5,ng/L,2023,N63
MSW incineration leachate,Shanxi,Sulfamethoxazole,Sulfonamides,3085,ng/L,2023,N63
agricultural soil,Inner Mongolia,Chlortetracycline,Tetracyclines,20.625,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Doxycycline,Tetracyclines,3.535,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Oxytetracycline,Tetracyclines,0.26,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Tetracycline,Tetracyclines,3.09,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Jiangsu,Tetracycline,Tetracyclines,3.94,ng/g dw,2021,N73
aquaculture pond water,Zhejiang,Enrofloxacin,Fluoroquinolones,8,ng/L,2022,N83
aquaculture pond water,Zhejiang,Sulfadimidine,Sulfonamides,2.5,ng/L,2022,N83
aquaculture wastewater,Jiangsu,Florfenicol,Phenicols,102.41,ng/L,2021,N80
aquaculture wastewater,Jiangsu,Ofloxacin,Fluoroquinolones,39.52,ng/L,2021,N80
aquaculture wastewater,Jiangsu,Sulfamethoxazole,Sulfonamides,53.82,ng/L,2021,N80
coastal water,Guangxi,Sulfamethoxazole,Sulfonamides,0.09,ng/L,2018,N42
coastal water,Shandong,Norfloxacin,Fluoroquinolones,4.98,ng/L,2019,N42
groundwater,Hebei,Ciprofloxacin,Fluoroquinolones,1.37,ng/L,2022,N81
groundwater,Hebei,Difloxacin,Fluoroquinolones,34.81,ng/L,2022,N81
groundwater,Hebei,Enrofloxacin,Fluoroquinolones,159.4,ng/L,2022,N81
groundwater,Hebei,Norfloxacin,Fluoroquinolones,44.65,ng/L,2022,N81
groundwater,Jiangxi,Azithromycin,Macrolides,4.07,ng/L,2020,N55
groundwater,Jiangxi,Enoxacin,Fluoroquinolones,10.95,ng/L,2020,N55
groundwater,Jiangxi,Roxithromycin,Macrolides,13.48,ng/L,2020,N55
groundwater,Jiangxi,Sulfamethoxazole,Sulfonamides,9.18,ng/L,2020,N55
groundwater,Jiangxi,Tetracycline,Tetracyclines,9.11,ng/L,2020,N55
hospital wastewater,Heilongjiang,Azithromycin,Macrolides,92,ng/L,2019,N53
hospital wastewater,Heilongjiang,Cefadroxil,Beta-lactams,15.2,ng/L,2019,N53
hospital wastewater,Heilongjiang,Ofloxacin,Fluoroquinolones,6.86,ng/L,2019,N53
hospital wastewater,Heilongjiang,Roxithromycin,Macrolides,19.6,ng/L,2019,N53
lake sediment,Hubei,Enrofloxacin,Fluoroquinolones,40.7,ng/g dw,2021,N78
lake sediment,Hubei,Erythromycin,Macrolides,1447.4,ng/g dw,2021,N78
lake sediment,Hubei,Oxytetracycline,Tetracyclines,62.6,ng/g dw,2021,N78
lake sediment,Hubei,Sulfamethoxazole,Sulfonamides,443.7,ng/g dw,2021,N78
lake sediment,Hubei,Tetracycline,Tetracyclines,2.1,ng/g dw,2021,N78
livestock wastewater,Heilongjiang,Azithromycin,Macrolides,368,ng/L,2019,N53
livestock wastewater,Heilongjiang,Enrofloxacin,Fluoroquinolones,921,ng/L,2019,N53
livestock wastewater,Heilongjiang,Ofloxacin,Fluoroquinolones,88.8,ng/L,2019,N53
livestock wastewater,Heilongjiang,Roxithromycin,Macrolides,104,ng/L,2019,N53
livestock wastewater,Heilongjiang,Sulfadiazine,Sulfonamides,128,ng/L,2019,N53
livestock wastewater,Heilongjiang,Sulfadimidine,Sulfonamides,14.3,ng/L,2019,N53
livestock wastewater,Heilongjiang,Sulfamethoxazole,Sulfonamides,5.09,ng/L,2019,N53
livestock wastewater,Heilongjiang,Tylosin,Macrolides,77.8,ng/L,2019,N53
