sample_type,province,location,season,lon,lat,antibiotic,median_concentration,concentration_unit,sample_year,reference_number
MSW incineration leachate,Henan,Luoyang MSW incineration plant,NA,NA,NA,Sulfamethoxazole,1401.5,ng/L,2023,N63
MSW incineration leachate,Shanxi,Taiyuan MSW incineration plant,NA,NA,NA,Sulfamethoxazole,3085,ng/L,2023,N63
agricultural soil,Inner Mongolia,Dailiji town,pre-sowing,NA,NA,Chlortetracycline,77.52,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Chlortetracycline,8.65,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Doxycycline,0.56,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Oxytetracycline,0.26,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Tetracycline,0.44,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Shebotu town,pre-sowing,NA,NA,Chlortetracycline,28.18,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,Chlortetracycline,13.07,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,Doxycycline,6.51,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,Tetracycline,5.74,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Jiangsu,Zhangjiagang city (ZJG) farmland,NA,NA,NA,Tetracycline,3.94,ng/g dw,2021,N73
aquaculture pond water,Zhejiang,"26 freshwater aquaculture ponds, Zhoushan, NE Zhejiang",NA,NA,NA,Enrofloxacin,8,ng/L,2022,N83
aquaculture pond water,Zhejiang,"26 freshwater aquaculture ponds, Zhoushan, NE Zhejiang",NA,NA,NA,Sulfadimidine,2.5,ng/L,2022,N83
aquaculture wastewater,Jiangsu,"Freshwater crustacean ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,Ofloxacin,39.52,ng/L,2021,N80
aquaculture wastewater,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,Florfenicol,102.41,ng/L,2021,N80
