antibiotic,antibiotic_class
4-Epichlortetracycline,Tetracyclines
Acetylspiramycin,Macrolides
Acetylsulfamethazine,Sulfonamides
Acetylsulfamethoxazole,Sulfonamides
Amikacin,Other
Amoxicillin,Beta-lactams
Ampicillin,Beta-lactams
Anhydrochlortetracycline,Tetracyclines
Apo-Oxytetracycline,Tetracyclines
Azithromycin,Macrolides
Aztreonam,Beta-lactams
Bacitracin,Other
Carbadox,Other
Cefadroxil,Beta-lactams
Cefazolin,Beta-lactams
Cefepime,Beta-lactams
Cefotaxime,Beta-lactams
Cefotetan,Beta-lactams
Cefoxitin,Beta-lactams
Ceftazidime,Beta-lactams
Ceftriaxone,Beta-lactams
Cefuroxime,Beta-lactams
Cephalexin,Beta-lactams
Chloramphenicol,Phenicols
Chlortetracycline,Tetracyclines
Cinoxacin,Quinolones
Ciprofloxacin,Fluoroquinolones
Clarithromycin,Macrolides
Clindamycin,Lincosamides
Cloxacillin,Beta-lactams
Danofloxacin,Fluoroquinolones
Deacetoxycephalosporin,Beta-lactams
Dehydroerythromycin,Macrolides
Demeclocycline,Tetracyclines
Difloxacin,Fluoroquinolones
Doxycycline,Tetracyclines
Enoxacin,Fluoroquinolones
Enrofloxacin,Fluoroquinolones
Epianhydrotetracycline,Tetracyclines
Epioxytetracycline,Tetracyclines
Epitetracycline,Tetracyclines
Ertapenem,Beta-lactams
Erythromycin,Macrolides
Erythromycin A dihydrate,Macrolides
Erythromycin-H2O,Macrolides
Fleroxacin,Fluoroquinolones
Florfenicol,Phenicols
Flumequine,Fluoroquinolones
Furazolidone,Other
Gatifloxacin,Fluoroquinolones
Gentamicin,Other
Imipenem,Beta-lactams
Isochlortetracycline,Tetracyclines
Josamycin,Macrolides
Kanamycin,Other
Kitasamycin,Macrolides
Leucomycin,Macrolides
Levofloxacin,Fluoroquinolones
Lincomycin,Lincosamides
Linezolid,Other
Lomefloxacin,Fluoroquinolones
Marbofloxacin,Fluoroquinolones
Mecillinam,Beta-lactams
Meropenem,Beta-lactams
Methacycline,Tetracyclines
Metronidazole,Other
Minocycline,Tetracyclines
Moxifloxacin,Fluoroquinolones
Nadifloxacin,Fluoroquinolones
Nalidixic Acid,Quinolones
Neomycin,Other
Nitrofurantoin,Other
Norfloxacin,Fluoroquinolones
Ofloxacin,Fluoroquinolones
Olaquindox,Other
Oleandomycin,Macrolides
Ormetoprim,Diaminopyrimidines
Oxacillin,Beta-lactams
Oxolinic Acid,Quinolones
Oxytetracycline,Tetracyclines
Paromomycin,Other
Pefloxacin,Fluoroquinolones
Penicillin G,Beta-lactams
Penicillin V,Beta-lactams
Pipemidic Acid,Quinolones
Piperacillin,Beta-lactams
Polymyxin B,Other
Rifampicin,Other
Roxithromycin,Macrolides
Roxithromycin-H2O,Macrolides
Sarafloxacin,Fluoroquinolones
Sparfloxacin,Fluoroquinolones
Spectinomycin,Other
Spiramycin,Macrolides
Streptomycin,Other
Sulfabenzamide,Sulfonamides
Sulfacetamide,Sulfonamides
Sulfachinoxaline,Sulfonamides
Sulfachloropyridazine,Sulfonamides
Sulfadiazine,Sulfonamides
Sulfadimethoxine,Sulfonamides
Sulfadimethoxypyrimidine,Sulfonamides
Sulfadimidine,Sulfonamides
Sulfadimoxine,Sulfonamides
Sulfadoxine,Sulfonamides
Sulfafurazole,Sulfonamides
Sulfaguanidine,Sulfonamides
Sulfamerazine,Sulfonamides
Sulfameter,Sulfonamides
Sulfamethizole,Sulfonamides
Sulfamethoxazole,Sulfonamides
Sulfamethoxydiazine,Sulfonamides
Sulfamethoxypyridazine,Sulfonamides
Sulfamonomethoxine,Sulfonamides
Sulfamoxole,Sulfonamides
Sulfanilamide,Sulfonamides
Sulfanitran,Sulfonamides
Sulfaphenazole,Sulfonamides
Sulfapyridine,Sulfonamides
Sulfaquinoxaline,Sulfonamides
Sulfathiazole,Sulfonamides
Sulfisomidine,Sulfonamides
Teicoplanin,Other
Tetracycline,Tetracyclines
Thiamphenicol,Phenicols
Tigecycline,Tetracyclines
Tilmicosin,Macrolides
Tobramycin,Other
Tosufloxacin,Fluoroquinolones
Trimethoprim,Diaminopyrimidines
Trimethoprim/Sulfamethoxazole,Other
Tylosin,Macrolides
Vancomycin,Other
