year,province,metric,value,unit
2015,Anhui,E02_07_Total_Population_year_end,6011,10000_persons
2015,Beijing,E02_07_Total_Population_year_end,2188,10000_persons
2015,Chongqing,E02_07_Total_Population_year_end,3070,10000_persons
2015,Fujian,E02_07_Total_Population_year_end,3984,10000_persons
2015,Gansu,E02_07_Total_Population_year_end,2523,10000_persons
2015,Guangdong,E02_07_Total_Population_year_end,11678,10000_persons
2015,Guangxi,E02_07_Total_Population_year_end,4811,10000_persons
2015,Guizhou,E02_07_Total_Population_year_end,3708,10000_persons
2015,Hainan,E02_07_Total_Population_year_end,945,10000_persons
2015,Hebei,E02_07_Total_Population_year_end,7345,10000_persons
2015,Heilongjiang,E02_07_Total_Population_year_end,3529,10000_persons
2015,Henan,E02_07_Total_Population_year_end,9701,10000_persons
2015,Hubei,E02_07_Total_Population_year_end,5850,10000_persons
2015,Hunan,E02_07_Total_Population_year_end,6615,10000_persons
2015,Inner Mongolia,E02_07_Total_Population_year_end,2440,10000_persons
2015,Jiangsu,E02_07_Total_Population_year_end,8315,10000_persons
2015,Jiangxi,E02_07_Total_Population_year_end,4485,10000_persons
2015,Jilin,E02_07_Total_Population_year_end,2613,10000_persons
2015,Liaoning,E02_07_Total_Population_year_end,4338,10000_persons
2015,Ningxia,E02_07_Total_Population_year_end,684,10000_persons
2015,Qinghai,E02_07_Total_Population_year_end,577,10000_persons
2015,Shaanxi,E02_07_Total_Population_year_end,3846,10000_persons
2015,Shandong,E02_07_Total_Population_year_end,9866,10000_persons
2015,Shanghai,E02_07_Total_Population_year_end,2458,10000_persons
2015,Shanxi,E02_07_Total_Population_year_end,3519,10000_persons
2015,Sichuan,E02_07_Total_Population_year_end,8196,10000_persons
2015,Tianjin,E02_07_Total_Population_year_end,1439,10000_persons
2015,Tibet,E02_07_Total_Population_year_end,330,10000_persons
2015,Xinjiang,E02_07_Total_Population_year_end,2385,10000_persons
2015,Yunnan,E02_07_Total_Population_year_end,4663,10000_persons
2015,Zhejiang,E02_07_Total_Population_year_end,5985,10000_persons
2016,Anhui,E02_07_Total_Population_year_end,6033,10000_persons
2016,Beijing,E02_07_Total_Population_year_end,2195,10000_persons
2016,Chongqing,E02_07_Total_Population_year_end,3110,10000_persons
2016,Fujian,E02_07_Total_Population_year_end,4016,10000_persons
2016,Gansu,E02_07_Total_Population_year_end,2520,10000_persons
2016,Guangdong,E02_07_Total_Population_year_end,11908,10000_persons
2016,Guangxi,E02_07_Total_Population_year_end,4857,10000_persons
2016,Guizhou,E02_07_Total_Population_year_end,3758,10000_persons
2016,Hainan,E02_07_Total_Population_year_end,957,10000_persons
2016,Hebei,E02_07_Total_Population_year_end,7375,10000_persons
2016,Heilongjiang,E02_07_Total_Population_year_end,3463,10000_persons
2016,Henan,E02_07_Total_Population_year_end,9778,10000_persons
2016,Hubei,E02_07_Total_Population_year_end,5885,10000_persons
2016,Hunan,E02_07_Total_Population_year_end,6625,10000_persons
2016,Inner Mongolia,E02_07_Total_Population_year_end,2436,10000_persons
2016,Jiangsu,E02_07_Total_Population_year_end,8381,10000_persons
2016,Jiangxi,E02_07_Total_Population_year_end,4496,10000_persons
2016,Jilin,E02_07_Total_Population_year_end,2567,10000_persons
2016,Liaoning,E02_07_Total_Population_year_end,4327,10000_persons
2016,Ningxia,E02_07_Total_Population_year_end,695,10000_persons
2016,Qinghai,E02_07_Total_Population_year_end,582,10000_persons
2016,Shaanxi,E02_07_Total_Population_year_end,3874,10000_persons
2016,Shandong,E02_07_Total_Population_year_end,9973,10000_persons
2016,Shanghai,E02_07_Total_Population_year_end,2467,10000_persons
2016,Shanxi,E02_07_Total_Population_year_end,3514,10000_persons
2016,Sichuan,E02_07_Total_Population_year_end,8251,10000_persons
