sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
MSW incineration leachate,Henan,Luoyang MSW incineration plant,NA,NA,NA,Sulfamethoxazole,Sulfonamides,1401.5,ng/L,2023,N63
MSW incineration leachate,Shanxi,Taiyuan MSW incineration plant,NA,NA,NA,Sulfamethoxazole,Sulfonamides,3085,ng/L,2023,N63
agricultural soil,Inner Mongolia,Dailiji town,pre-sowing,NA,NA,Chlortetracycline,Tetracyclines,77.52,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Chlortetracycline,Tetracyclines,8.65,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Doxycycline,Tetracyclines,0.56,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Oxytetracycline,Tetracyclines,0.26,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Horqin Left Middle Banner,pre-sowing,NA,NA,Tetracycline,Tetracyclines,0.44,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Shebotu town,pre-sowing,NA,NA,Chlortetracycline,Tetracyclines,28.18,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,Chlortetracycline,Tetracyclines,13.07,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,Doxycycline,Tetracyclines,6.51,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Inner Mongolia,Zhurihe town,pre-sowing,NA,NA,Tetracycline,Tetracyclines,5.74,ng/g,2022,NEW_INNERMONGOLIA_BAO_2023
agricultural soil,Jiangsu,Zhangjiagang city (ZJG) farmland,NA,NA,NA,Tetracycline,Tetracyclines,3.94,ng/g dw,2021,N73
aquaculture pond water,Zhejiang,"26 freshwater aquaculture ponds, Zhoushan, NE Zhejiang",NA,NA,NA,Enrofloxacin,Fluoroquinolones,8,ng/L,2022,N83
aquaculture pond water,Zhejiang,"26 freshwater aquaculture ponds, Zhoushan, NE Zhejiang",NA,NA,NA,Sulfadimidine,Sulfonamides,2.5,ng/L,2022,N83
aquaculture wastewater,Jiangsu,"Freshwater crustacean ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,Ofloxacin,Fluoroquinolones,39.52,ng/L,2021,N80
aquaculture wastewater,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,Florfenicol,Phenicols,102.41,ng/L,2021,N80
aquaculture wastewater,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze river basin)",NA,NA,NA,Sulfamethoxazole,Sulfonamides,53.82,ng/L,2021,N80
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Ciprofloxacin,Fluoroquinolones,1.37,ng/L,2022,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Difloxacin,Fluoroquinolones,34.81,ng/L,2022,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Enrofloxacin,Fluoroquinolones,159.4,ng/L,2022,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",NA,NA,NA,Norfloxacin,Fluoroquinolones,44.65,ng/L,2022,N81
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Azithromycin,Macrolides,4.07,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Enoxacin,Fluoroquinolones,10.95,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Roxithromycin,Macrolides,13.48,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Sulfamethoxazole,Sulfonamides,9.18,ng/L,2020,N55
groundwater,Jiangxi,Jinjiang river basin,NA,NA,NA,Tetracycline,Tetracyclines,9.11,ng/L,2020,N55
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Azithromycin,Macrolides,92,ng/L,2019,N53
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Cefadroxil,Beta-lactams,15.2,ng/L,2019,N53
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Ofloxacin,Fluoroquinolones,6.86,ng/L,2019,N53
hospital wastewater,Heilongjiang,Harbin,NA,NA,NA,Roxithromycin,Macrolides,19.6,ng/L,2019,N53
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Enrofloxacin,Fluoroquinolones,40.7,ng/g dw,2021,N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Erythromycin,Macrolides,1447.4,ng/g dw,2021,N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Oxytetracycline,Tetracyclines,62.6,ng/g dw,2021,N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Sulfamethoxazole,Sulfonamides,443.7,ng/g dw,2021,N78
