province,metric,value,unit
Anhui,E02_07_Total_Population_year_end,6123,10000_persons
Beijing,E02_07_Total_Population_year_end,2183,10000_persons
Chongqing,E02_07_Total_Population_year_end,3190,10000_persons
Fujian,E02_07_Total_Population_year_end,4193,10000_persons
Gansu,E02_07_Total_Population_year_end,2458,10000_persons
Guangdong,E02_07_Total_Population_year_end,12780,10000_persons
Guangxi,E02_07_Total_Population_year_end,5013,10000_persons
Guizhou,E02_07_Total_Population_year_end,3860,10000_persons
Hainan,E02_07_Total_Population_year_end,1048,10000_persons
Hebei,E02_07_Total_Population_year_end,7378,10000_persons
Heilongjiang,E02_07_Total_Population_year_end,3029,10000_persons
Henan,E02_07_Total_Population_year_end,9785,10000_persons
Hubei,E02_07_Total_Population_year_end,5834,10000_persons
Hunan,E02_07_Total_Population_year_end,6539,10000_persons
Inner Mongolia,E02_07_Total_Population_year_end,2388,10000_persons
Jiangsu,E02_07_Total_Population_year_end,8526,10000_persons
Jiangxi,E02_07_Total_Population_year_end,4502,10000_persons
Jilin,E02_07_Total_Population_year_end,2317,10000_persons
Liaoning,E02_07_Total_Population_year_end,4155,10000_persons
Ningxia,E02_07_Total_Population_year_end,729,10000_persons
Qinghai,E02_07_Total_Population_year_end,593,10000_persons
Shaanxi,E02_07_Total_Population_year_end,3953,10000_persons
Shandong,E02_07_Total_Population_year_end,10080,10000_persons
Shanghai,E02_07_Total_Population_year_end,2480,10000_persons
Shanxi,E02_07_Total_Population_year_end,3446,10000_persons
Sichuan,E02_07_Total_Population_year_end,8364,10000_persons
Tianjin,E02_07_Total_Population_year_end,1364,10000_persons
Tibet,E02_07_Total_Population_year_end,370,10000_persons
Xinjiang,E02_07_Total_Population_year_end,2623,10000_persons
Yunnan,E02_07_Total_Population_year_end,4655,10000_persons
Zhejiang,E02_07_Total_Population_year_end,6670,10000_persons
Anhui,E02_07_Urban_Population_Proportion,62.57,percent
Beijing,E02_07_Urban_Population_Proportion,88.22,percent
Chongqing,E02_07_Urban_Population_Proportion,72.14,percent
