sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
municipal sludge,sludge,Gansu,Lanzhou,Chloramphenicol,other,480.0,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfadimethoxine,sulfonamides,100.0,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamerazine,sulfonamides,937.5,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamethazine,sulfonamides,302.5,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamethoxazole,sulfonamides,357.5,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamonomethoxine,sulfonamides,255.0,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfapyridine,sulfonamides,175.0,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
municipal sludge,sludge,Gansu,Lanzhou,Trimethoprim,other,932.5,,ng/g dw,2014,,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),135,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.13671/j.hjkxxb.2016.0074,True
soil,soil,Henan,Henan,Azithromycin,macrolides,11.34,,ng/g dw,2016,,"Wei, R. et al. Occurrence of seventeen veterinary antibiotics and resistant bacterias in manure-fertilized vegetable farm soil in four provinces of China. Chemosphere 215, 234-240, doi:10.1016/j.chemosphere.2018.09.152 (2019).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),131,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.1016/j.chemosphere.2018.09.152,True
soil,soil,Henan,Henan,Azithromycin,macrolides,11.34,,ng/g dw,2016,,"Wei, R. et al. Occurrence of seventeen veterinary antibiotics and resistant bacterias in manure-fertilized vegetable farm soil in four provinces of China. Chemosphere (2018).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),147,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://scholar.google.com/scholar?q=Occurrence+of+seventeen+veterinary+antibiotics+and+resistant+bacterias+in+manure-fertilized+vegetable+farm+soil+in+four+provinces+of+China,True
