sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
surface water,Chongqing,Chongqing,2021,,Enrofloxacin,1.99,1.99,ng/g,N154
surface water,Chongqing,Chongqing,2021,,Enrofloxacin,1.39,1.39,ng/g,N154
surface water,Chongqing,Chongqing,2021,,Erythromycin,1.99,1.99,ng/g,N154
surface water,Chongqing,Chongqing,2021,,Erythromycin,1.39,1.39,ng/g,N154
surface water,Chongqing,Chongqing,2021,,Oxytetracycline,1.02,1.02,ng/L,N154
surface water,Chongqing,Chongqing,2021,,Tetracycline,1.02,1.02,ng/L,N154
sediment,Jiangsu,Jiangsu,2021,,Ciprofloxacin,5.14,10,ng/g,N154
surface water,Jiangsu,Jiangsu,2021,,Norfloxacin,5.14,10,ng/g,N154
surface water,Jiangsu,Jiangsu,2021,,Ofloxacin,5.14,10,ng/g,N154
surface water,Jiangsu,Jiangsu,2021,,Sulfamethoxazole,4.19,7.95,ng/L,N154
sediment,Shanghai,Shanghai,2021,,Ciprofloxacin,5.14,10,ng/g,N154
surface water,Shanghai,Shanghai,2021,,Norfloxacin,5.14,10,ng/g,N154
surface water,Shanghai,Shanghai,2021,,Ofloxacin,5.14,10,ng/g,N154
municipal wastewater effluent,Heilongjiang,,2024,,Ciprofloxacin (CIP),177.65,,ng/L,N18
municipal wastewater effluent,Heilongjiang,,2024,,Ciprofloxacin (CIP),194.83,,ng/L,N18
municipal wastewater effluent,Heilongjiang,,2024,,Enoxacin (ENX),140.11,,ng/L,N18
municipal wastewater effluent,Heilongjiang,,2024,,Enoxacin (ENX),75.33,,ng/L,N18
municipal wastewater effluent,Heilongjiang,Heilongjiang,2024,,Norfloxacin,1003.68,,ng/L,N18
municipal wastewater effluent,Heilongjiang,Heilongjiang,2024,,Norfloxacin,702.02,,ng/L,N18
municipal wastewater effluent,Heilongjiang,Heilongjiang,2024,,Ofloxacin,141.84,,ng/L,N18
municipal wastewater effluent,Heilongjiang,Heilongjiang,2024,,Ofloxacin,102.16,,ng/L,N18
municipal wastewater influent,Heilongjiang,Heilongjiang,2024,,Ciprofloxacin,,3962.18,ng/L,N18
urban wastewater (effluent),Heilongjiang,,2024,,NOR (summer),1003.68,,ng/L,N18
urban wastewater (effluent),Heilongjiang,,2024,,NOR (winter),702.02,,ng/L,N18
urban wastewater (effluent),Heilongjiang,,2024,,OFX (summer),141.84,,ng/L,N18
urban wastewater (effluent),Heilongjiang,,2024,,OFX (winter),102.16,,ng/L,N18
urban wastewater (influent),Heilongjiang,,2024,,Ciprofloxacin (CIP),,3962.18,ng/L,N18
urban wastewater (influent),Heilongjiang,,2024,,Norfloxacin (NOR),,32381.56,ng/L,N18
urban wastewater (influent),Heilongjiang,,2024,,Ofloxacin (OFX),,11173.27,ng/L,N18
municipal sludge,Beijing,,2015–2016,,Ofloxacin (OFL),2982.61,11138.52,µg/kg (dw),N19
wastewater influent,Liaoning,,2016,,Sulfamethoxazole (SMX),,850,ng/L,N28
wastewater influent,Liaoning,,2016,,Trimethoprim (TMP),,234,ng/L,N28
surface water,Shaanxi,,2022-2023,,Chlortetracycline (CTC),,6.85,ng/L,N34
surface water,Shaanxi,,2022-2023,,Ciprofloxacin,,71.27,ng/L,N34
surface water,Shaanxi,,2022-2023,,Norfloxacin,,20.17,ng/L,N34
surface water,Shaanxi,,2022-2023,,Ofloxacin,,6.12,ng/L,N34
surface water,Shaanxi,,2022-2023,,Oxytetracycline,,2.2,ng/L,N34
surface water,Shaanxi,,2022-2023,,Roxithromycin,,54.75,ng/L,N34
surface water,Shaanxi,,2022-2023,,Sulfamethoxazole,,3.47,ng/L,N34
surface water,Shaanxi,,2022-2023,,Tetracycline,,2.02,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Chlortetracycline (CTC),,6.85,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Ciprofloxacin (CIP),,71.27,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Norfloxacin (NOR),,20.17,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Ofloxacin (OFX),,6.12,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Oxytetracycline (OTC),,2.2,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Roxithromycin (ROX),,54.75,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Sulfamethoxazole (SMX),,3.47,ng/L,N34
surface water,Shaanxi (Xi’an),,2022-2023,,Tetracycline (TC),,2.02,ng/L,N34
surface water,Shanxi,,2022,,Azithromycin,,584,ng/L,N36
surface water,Shanxi,,2022,,Azithromycin,97.33,238.91,ng/L,N36
surface water,Shanxi,,2022,,Total Chloramphenicols (CAs),246.3,,ng/L,N36
surface water,Shanxi,,2022,,Total Macrolides (MLs),837,,ng/L,N36
surface water,Shanxi,,2022,,Total Quinolones (QNs),414,,ng/L,N36
surface water,Shanxi,,2022,,Total Sulfonamides (SAs),667.6,,ng/L,N36
surface water,Shanxi,,2022,,Total Tetracyclines (TCs),413.6,,ng/L,N36
surface water,Sichuan,Sichuan,2021,,Amoxicillin,8.82,47.09,ng/L,N37
surface water,Sichuan,,2021,,Amoxicillin (AMX),8.82,47.09,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Ampicillin,1.23,22.61,ng/L,N37
surface water,Sichuan,,2021,,Ampicillin (AMP),1.23,22.61,ng/L,N37
surface water,Sichuan,,2021,,Cefotaxime (CTX),0.31,12.93,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Cephalexin,5.56,88.65,ng/L,N37
surface water,Sichuan,,2021,,Cephalexin (CEX),5.56,88.65,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Chloramphenicol,25.48,577.46,ng/L,N37
surface water,Sichuan,,2021,,Chloramphenicol (CAP),25.48,577.46,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Chlortetracycline,2.07,58.94,ng/L,N37
surface water,Sichuan,,2021,,Chlortetracycline (CTC),2.07,58.94,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Clindamycin,4.52,129.74,ng/L,N37
surface water,Sichuan,,2021,,Clindamycin (CLI),4.52,129.74,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Enrofloxacin,24.42,170.56,ng/L,N37
surface water,Sichuan,,2021,,Enrofloxacin (ENR),24.42,170.56,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Levofloxacin,15.51,86.97,ng/L,N37
surface water,Sichuan,,2021,,Levofloxacin (LEV),15.51,86.97,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Moxifloxacin,14.62,74,ng/L,N37
surface water,Sichuan,,2021,,Moxifloxacin (MOX),14.62,74,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Norfloxacin,24.87,127.42,ng/L,N37
surface water,Sichuan,,2021,,Norfloxacin (NOR),24.87,127.42,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Oxytetracycline,60.04,938.4,ng/L,N37
surface water,Sichuan,,2021,,Oxytetracycline (OTC),60.04,938.4,ng/L,N37
