pub_id,pub_full,place_in_article_data_extracted_from,article_link
1,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2007).",compiled in Zhang_2022.xls,
2,"Li, Y. W., Mo, C. H., Zhao, N., Zhang, R. J. & Yi, R. H. Determination of sulfonamides antibiotics in water and soil using high performance liquid chromatography. Fenxi Huaxue Chin. J. Anal. Chem. 36, 954-958 (2008).",compiled in Zhang_2022.xls,
3,"Zhang, H. M., Zhang, M. K. & Gu, G. P. Residues of tetracyclines in livestock and poultry manures and agricultural soils from north Zhejiang Province. J. Ecol. Rural Environ. 24, 69-73 (2008).",compiled in Zhang_2022.xls,
4,"Liu, H., Zhang, G., Liu, C.-Q., Li, L. & Xiang, M. The occurrence of chloramphenicol and tetracyclines in municipal sewage and the Nanming River, Guiyang City, China. Journal of environmental monitoring : JEM 11 (2009).",compiled in Zhang_2022.xls,
5,"Lu, X. W., Dang, Z. & Yang, C. Preliminary investigation of chloramphenicol in fish, water and sediment from freshwater aquaculture pond. Int. J. Environ. Sci. Technol. 6, 597-604, doi:10.1007/BF03326100 (2009).",compiled in Zhang_2022.xls,https://doi.org/10.1007/BF03326100
6,"Hu, X., Zhou, Q. & Luo, Y. Occurrence and source analysis of typical veterinary antibiotics in manure, soil, vegetables and groundwater from organic vegetable bases, northern China. Environmental Pollution 158 (2010).",compiled in Zhang_2022.xls,
7,"Tai, Y. et al. Concentration and distribution of quinolone antibiotics in long-term manure-amended soils. China Environmental Science 30, 816-821 (2010).",compiled in Zhang_2022.xls,
8,"Yang, J.-F. et al. Simultaneous determination of four classes of antibiotics in sediments of the Pearl Rivers using RRLC–MS/MS. Science of the Total Environment 408 (2010).",compiled in Zhang_2022.xls,
9,"Luo, Y. et al. Trends in antibiotic resistance genes occurrence in the Haihe River, China. Environmental science & technology 44 (2010).",compiled in Zhang_2022.xls,
11,"Guo, B. et al. Environmental Residues of Veterinary Antibiotics in Guangzhou City,China. Journal of Agro-Environment Science 30, 938-945 (2011).",compiled in Zhang_2022.xls,
