sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,2982.61,11138.52,µg/kg (dw),2015–2016,NA,"Meng, F., Sun, S., Geng, J., Ma, L., Jiang, J., Li, B., Yabo, S. D., Lu, L., Fu, D., Shen, J., & Qi, H. (2023). Occurrence, distribution, and risk assessment of quinolone antibiotics in municipal sewage sludges throughout China. Journal of Hazardous Materials, 453, 131322. https://doi.org/10.1016/j.jhazmat.2023.131322",Advanced PDF QA 2026-04-28: confirmed from Meng 2023 quinolone sludge concentration table.,N5,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://doi.org/10.1016/j.jhazmat.2023.131322
municipal sludge,Hebei,Hebei,Tetracyclines (total),tetracyclines,NA,4063,µg/g (dw),Pre-2020,NA,A dataset of distribution of antibiotic occurrence in solid environmental matrices in China,Advanced PDF QA 2026-04-28: unit fixed; max confirmed from Zhang 2022 Scientific Data summary; mean not reported.,N4,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=A+dataset+of+distribution+of+antibiotic+occurrence+in+solid+environmental+matrices+in+China
municipal wastewater effluent,Heilongjiang,Heilongjiang,Norfloxacin,fluoroquinolones,1003.68,NA,ng/L,2024,summer,2025 Guo et al Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China- Terminal treatment is not a reliable guard  Author links open overlay panel Xin-Ming Guo.pdf,Advanced PDF QA 2026-04-28: confirmed from Guo 2025 Northeastern China WWTP text; NA marks unavailable statistic.,N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=2025+Guo+et+al+Comprehensive+assessment+of+45+antibiotics+in+ten+urban+wastewater+treatment+plants+in+Northeastern+China
municipal wastewater effluent,Heilongjiang,Heilongjiang,Norfloxacin,fluoroquinolones,702.02,NA,ng/L,2024,winter,2025 Guo et al Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China- Terminal treatment is not a reliable guard  Author links open overlay panel Xin-Ming Guo.pdf,Advanced PDF QA 2026-04-28: confirmed from Guo 2025 Northeastern China WWTP text; NA marks unavailable statistic.,N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=2025+Guo+et+al+Comprehensive+assessment+of+45+antibiotics+in+ten+urban+wastewater+treatment+plants+in+Northeastern+China
municipal wastewater effluent,Heilongjiang,Heilongjiang,Ofloxacin,fluoroquinolones,141.84,NA,ng/L,2024,summer,2025 Guo et al Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China- Terminal treatment is not a reliable guard  Author links open overlay panel Xin-Ming Guo.pdf,Advanced PDF QA 2026-04-28: confirmed from Guo 2025 Northeastern China WWTP text; NA marks unavailable statistic.,N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=2025+Guo+et+al+Comprehensive+assessment+of+45+antibiotics+in+ten+urban+wastewater+treatment+plants+in+Northeastern+China
municipal wastewater effluent,Heilongjiang,Heilongjiang,Ofloxacin,fluoroquinolones,102.16,NA,ng/L,2024,winter,2025 Guo et al Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China- Terminal treatment is not a reliable guard  Author links open overlay panel Xin-Ming Guo.pdf,Advanced PDF QA 2026-04-28: confirmed from Guo 2025 Northeastern China WWTP text; NA marks unavailable statistic.,N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=2025+Guo+et+al+Comprehensive+assessment+of+45+antibiotics+in+ten+urban+wastewater+treatment+plants+in+Northeastern+China
municipal wastewater effluent,Hainan,Hainan,Ciprofloxacin (CIP),fluoroquinolones,1510,4060,ng/L,2013–2023,NA,"Li, G., Dong, M., Liu, H., Lu, L., Hou, P., & Pan, X. (2025). Occurrence, Distribution, and Ecological Risk Assessment of Antibiotics in Aqueous, Sediment, and Solid Waste of a Typical Island Province in China. Water, 17(19), 2846. https://doi.org/10.3390/w17192846",Advanced PDF QA 2026-04-28: corrected from Ge Li 2025 Tables 1-2; previous row value did not match source table.,N39,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://doi.org/10.3390/w17192846
municipal wastewater effluent,Hainan,Hainan,Ofloxacin (OFL),fluoroquinolones,7283,19570,ng/L,2013–2023,NA,"Li, G., Dong, M., Liu, H., Lu, L., Hou, P., & Pan, X. (2025). Occurrence, Distribution, and Ecological Risk Assessment of Antibiotics in Aqueous, Sediment, and Solid Waste of a Typical Island Province in China. Water, 17(19), 2846. https://doi.org/10.3390/w17192846",Advanced PDF QA 2026-04-28: corrected from Ge Li 2025 Tables 1-2; previous row value did not match source table.,N39,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://doi.org/10.3390/w17192846
municipal wastewater influent,Heilongjiang,Heilongjiang,Ciprofloxacin,fluoroquinolones,NA,3962.18,ng/L,2024,NA,2025 Guo et al Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China- Terminal treatment is not a reliable guard  Author links open overlay panel Xin-Ming Guo.pdf,Advanced PDF QA 2026-04-28: confirmed from Guo 2025 Northeastern China WWTP text; NA marks unavailable statistic.,N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=2025+Guo+et+al+Comprehensive+assessment+of+45+antibiotics+in+ten+urban+wastewater+treatment+plants+in+Northeastern+China
municipal wastewater influent,Heilongjiang,Heilongjiang,Norfloxacin,fluoroquinolones,NA,32381.56,ng/L,2024,NA,2025 Guo et al Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China- Terminal treatment is not a reliable guard  Author links open overlay panel Xin-Ming Guo.pdf,Advanced PDF QA 2026-04-28: confirmed from Guo 2025 Northeastern China WWTP text; NA marks unavailable statistic.,N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv,https://scholar.google.com/scholar?q=2025+Guo+et+al+Comprehensive+assessment+of+45+antibiotics+in+ten+urban+wastewater+treatment+plants+in+Northeastern+China
