province,sample_type,burden_sum,log10_burden
Hebei,municipal sludge,4732638.98,6.675103468202136
Beijing,municipal sludge,69895.52,4.844455553679591
Jiangsu,municipal sludge,51545.9,4.712202552192255
Guangdong,municipal sludge,42345.0,4.626812393179787
Liaoning,municipal sludge,28560.9,4.455787094283034
Chongqing,municipal sludge,27290.9,4.436033771316364
Qinghai,municipal sludge,27290.9,4.436033771316364
Shandong,municipal sludge,27290.9,4.436033771316364
Shanghai,municipal sludge,27290.9,4.436033771316364
Shanxi,municipal sludge,27290.9,4.436033771316364
Fujian,municipal sludge,11063.72,4.0439404282954925
Hunan,municipal sludge,10957.7,4.039759038061435
Guizhou,municipal sludge,1855.65,3.2687300419223684
Heilongjiang,municipal sludge,1578.5,3.198519630241168
Gansu,municipal sludge,0.0,0.0
Tianjin,municipal sludge,0.0,0.0
Zhejiang,municipal sludge,0.0,0.0
Shanghai,soil,25245.54,4.402201867133047
Jiangsu,soil,14823.07,4.170967457075949
Guangdong,soil,8693.7,3.93925460179678
Fujian,soil,6932.400000000001,3.8409462561315024
Zhejiang,soil,5170.14425,3.7135866526638184
Shandong,soil,4385.87,3.642154764763008
Tianjin,soil,4381.0,3.6416723732246865
Beijing,soil,4196.35,3.622975184777616
Henan,soil,2822.32,3.4507601046287193
Hebei,soil,2379.98,3.3767557473888705
Sichuan,soil,2379.98,3.3767557473888705
Chongqing,soil,1723.76,3.2367286716254324
Hubei,soil,1243.16,3.094876234574143
Yunnan,soil,1174.25,3.07013025986029
Jiangxi,soil,251.04,2.401469470943089
Shanxi,soil,115.57000000000001,2.0665867964706943
Liaoning,soil,25.15,1.417471693203293
Guangxi,soil,0.0,0.0
Guizhou,soil,0.0,0.0
Hainan,soil,0.0,0.0
Heilongjiang,soil,0.0,0.0
Jilin,soil,0.0,0.0
