antibiotic,group_of_antibiotic
4-Epichlortetracycline,Tetracyclines
Acetylspiramycin,Macrolides
Acetylsulfamethazine,Sulfonamides
Acetylsulfamethoxazole,Sulfonamides
Amoxicillin,Beta-lactams
Ampicillin,Beta-lactams
Anhydrochlortetracycline,Tetracyclines
Apo-Oxytetracycline,Tetracyclines
Azithromycin,Macrolides
Bacitracin,Other
Carbadox,Other
Cefadroxil,Beta-lactams
Cefazolin,Beta-lactams
Cefotaxime,Beta-lactams
Ceftriaxone,Beta-lactams
Cephalexin,Beta-lactams
Chloramphenicol,Phenicols
Chlortetracycline,Tetracyclines
Cinoxacin,Quinolones
Ciprofloxacin,Fluoroquinolones
Clarithromycin,Macrolides
Clindamycin,Lincosamides
Cloxacillin,Beta-lactams
Danofloxacin,Fluoroquinolones
Deacetoxycephalosporin,Beta-lactams
Dehydroerythromycin,Macrolides
Demeclocycline,Tetracyclines
Difloxacin,Fluoroquinolones
Doxycycline,Tetracyclines
Enoxacin,Fluoroquinolones
Enrofloxacin,Fluoroquinolones
Epianhydrotetracycline,Tetracyclines
Epioxytetracycline,Tetracyclines
Epitetracycline,Tetracyclines
Erythromycin,Macrolides
Erythromycin A dihydrate,Macrolides
Erythromycin-H2O,Macrolides
Fleroxacin,Fluoroquinolones
Florfenicol,Phenicols
Flumequine,Fluoroquinolones
Furazolidone,Other
Gatifloxacin,Fluoroquinolones
Gentamicin,Other
Isochlortetracycline,Tetracyclines
Josamycin,Macrolides
Kanamycin,Other
Kitasamycin,Macrolides
Leucomycin,Macrolides
Levofloxacin,Fluoroquinolones
Lincomycin,Lincosamides
Lomefloxacin,Fluoroquinolones
Marbofloxacin,Fluoroquinolones
Mecillinam,Beta-lactams
Methacycline,Tetracyclines
Metronidazole,Other
Minocycline,Tetracyclines
Moxifloxacin,Fluoroquinolones
Nadifloxacin,Fluoroquinolones
Nalidixic Acid,Quinolones
Neomycin,Other
Norfloxacin,Fluoroquinolones
Ofloxacin,Fluoroquinolones
Olaquindox,Other
Oleandomycin,Macrolides
Ormetoprim,Diaminopyrimidines
Oxolinic Acid,Quinolones
Oxytetracycline,Tetracyclines
Paromomycin,Other
Pefloxacin,Fluoroquinolones
Penicillin G,Beta-lactams
Penicillin V,Beta-lactams
Pipemidic Acid,Quinolones
Rifampicin,Other
Roxithromycin,Macrolides
Roxithromycin-H2O,Macrolides
Sarafloxacin,Fluoroquinolones
Sparfloxacin,Fluoroquinolones
Spectinomycin,Other
Spiramycin,Macrolides
Streptomycin,Other
Sulfabenzamide,Sulfonamides
Sulfacetamide,Sulfonamides
Sulfachinoxaline,Sulfonamides
Sulfachloropyridazine,Sulfonamides
Sulfadiazine,Sulfonamides
Sulfadimethoxine,Sulfonamides
Sulfadimethoxypyrimidine,Sulfonamides
Sulfadimidine,Sulfonamides
Sulfadimoxine,Sulfonamides
Sulfadoxine,Sulfonamides
Sulfafurazole,Sulfonamides
Sulfaguanidine,Sulfonamides
Sulfamerazine,Sulfonamides
Sulfameter,Sulfonamides
Sulfamethizole,Sulfonamides
Sulfamethoxazole,Sulfonamides
Sulfamethoxydiazine,Sulfonamides
Sulfamethoxypyridazine,Sulfonamides
Sulfamonomethoxine,Sulfonamides
Sulfamoxole,Sulfonamides
Sulfanilamide,Sulfonamides
Sulfanitran,Sulfonamides
Sulfaphenazole,Sulfonamides
Sulfapyridine,Sulfonamides
Sulfaquinoxaline,Sulfonamides
Sulfathiazole,Sulfonamides
Sulfisomidine,Sulfonamides
Tetracycline,Tetracyclines
Thiamphenicol,Phenicols
Tilmicosin,Macrolides
Tosufloxacin,Fluoroquinolones
Trimethoprim,Diaminopyrimidines
Tylosin,Macrolides
Vancomycin,Other
Amikacin,Other
Aztreonam,Beta-lactams
Cefepime,Beta-lactams
Cefotetan,Beta-lactams
Cefoxitin,Beta-lactams
Ceftazidime,Beta-lactams
Cefuroxime,Beta-lactams
Ertapenem,Beta-lactams
Imipenem,Beta-lactams
Linezolid,Other
Meropenem,Beta-lactams
Nitrofurantoin,Other
Oxacillin,Beta-lactams
Piperacillin,Beta-lactams
Polymyxin B,Other
Teicoplanin,Other
Tigecycline,Tetracyclines
Tobramycin,Other
