"province","sewage_disposal_capacity_2024","sewage_pipe_length_2024","urban_env_infra_investment_2024","hospitals_count_2024","hospital_beds_2024","hogs_year_end_2024","large_animals_year_end_2024","pork_output_2024","milk_output_2024","total_aquatic_products_2024","freshwater_aquatic_products_2024","chemical_fertilizers_2024","grp_2024","grp_per_capita_2024","population_2024","urban_share_2024","log1p__sewage_disposal_capacity_2024","rankpct__sewage_disposal_capacity_2024","log1p__sewage_pipe_length_2024","rankpct__sewage_pipe_length_2024","log1p__urban_env_infra_investment_2024","rankpct__urban_env_infra_investment_2024","log1p__hospitals_count_2024","rankpct__hospitals_count_2024","log1p__hospital_beds_2024","rankpct__hospital_beds_2024","log1p__hogs_year_end_2024","rankpct__hogs_year_end_2024","log1p__large_animals_year_end_2024","rankpct__large_animals_year_end_2024","log1p__pork_output_2024","rankpct__pork_output_2024","log1p__milk_output_2024","rankpct__milk_output_2024","log1p__total_aquatic_products_2024","rankpct__total_aquatic_products_2024","log1p__freshwater_aquatic_products_2024","rankpct__freshwater_aquatic_products_2024","log1p__chemical_fertilizers_2024","rankpct__chemical_fertilizers_2024","log1p__grp_2024","rankpct__grp_2024","log1p__grp_per_capita_2024","rankpct__grp_per_capita_2024","log1p__population_2024","rankpct__population_2024","log1p__urban_share_2024","rankpct__urban_share_2024","WastewaterHealthIndex","LivestockAquacultureIndex","EconomicScaleIndex"
"Anhui",882.3,39090,2968658,1354,34.57,1545.5,111.1,251.1,63.2,261.2,261.2,275.5,50625.2,82694,6123,62.57,6.78366489375109,0.645161290322581,10.5736475404501,0.774193548387097,14.9036208936637,0.838709677419355,7.2115567333138,0.612903225806452,3.57150258596036,0.741935483870968,7.34374959212512,0.645161290322581,4.71939133007811,0.32258064516129,5.52982583419387,0.67741935483871,4.16200321069592,0.516129032258065,5.5691075713296,0.67741935483871,5.5691075713296,0.838709677419355,5.62221082096239,0.935483870967742,10.8322245078316,0.67741935483871,11.3229144196919,0.612903225806452,8.71997075677757,0.741935483870968,4.15214166094832,0.32258064516129,0.72258064516129,0.658986175115207,0.588709677419355
"Beijing",751,20930,1860629,682,13.33,28.7,9,1.8,27.1,7.1,1.4,6.7,49843.1,228167,2183,88.22,6.62273632394984,0.580645161290323,9.94898659260735,0.419354838709677,14.4364256980176,0.645161290322581,6.52649485957079,0.225806451612903,2.66235524184008,0.193548387096774,3.39114704580865,0.032258064516129,2.30258509299405,0.0645161290322581,1.02961941718116,0.0645161290322581,3.3357695763397,0.32258064516129,2.09186406167839,0.161290322580645,0.8754687373539,0.0645161290322581,2.04122032885964,0.129032258064516,10.8166554133203,0.645161290322581,12.337837478707,1,7.6889133368648,0.193548387096774,4.49110522970012,0.967741935483871,0.412903225806452,0.119815668202765,0.701612903225806
"Chongqing",523.8,26804,1580317,851,18.51,1030.3,91.7,152.2,3.2,61.2,61.2,88.2,32193.2,100903,3190,72.14,6.26301723762988,0.451612903225806,10.1963437162616,0.645161290322581,14.2731366505747,0.580645161290323,6.74758652682932,0.32258064516129,2.97092715463502,0.387096774193548,6.93857542132202,0.483870967741935,4.52936847257181,0.290322580645161,5.03174425730649,0.483870967741935,1.43508452528932,0.0967741935483871,4.13035499974513,0.451612903225806,4.13035499974513,0.516129032258065,4.49088103958596,0.387096774193548,10.3795415910846,0.483870967741935,11.521924848767,0.709677419354839,8.06808962627824,0.419354838709677,4.29237541272123,0.774193548387097,0.47741935483871,0.387096774193548,0.596774193548387
"Fujian",662.8,26729,1410718,736,19.76,960,31,134,27.7,924.7,106,86.4,57761,137920,4193,71.8,6.49798089928587,0.548387096774194,10.193541809133,0.612903225806452,14.1596100614627,0.516129032258065,6.60258789218934,0.258064516129032,3.03302805829769,0.451612903225806,6.86797440897029,0.451612903225806,3.46573590279973,0.161290322580645,4.90527477843843,0.451612903225806,3.35689712276558,0.354838709677419,6.83055020807317,0.935483870967742,4.67282883446191,0.67741935483871,4.47049528266149,0.354838709677419,10.964086399006,0.774193548387097,11.8344363364513,0.903225806451613,8.34141021146186,0.580645161290323,4.28771595520264,0.741935483870968,0.47741935483871,0.483870967741935,0.75
"Gansu",209.8,9510,1718766,765,15.8,704.1,587.3,73.9,117.3,1.7,1.7,77.3,13002.9,52825,2458,56.83,5.35090981666721,0.161290322580645,9.16020430248239,0.161290322580645,14.3571177312572,0.612903225806452,6.64118216974059,0.290322580645161,2.82137888640921,0.258064516129032,6.558339636725,0.354838709677419,6.37723702187041,0.806451612903226,4.31615389052317,0.290322580645161,4.77322377098434,0.67741935483871,0.993251773010283,0.0645161290322581,0.993251773010283,0.0967741935483871,4.36054760299676,0.32258064516129,9.47300459145267,0.161290322580645,10.8747587727357,0.032258064516129,7.80751004221619,0.290322580645161,4.05750767217013,0.129032258064516,0.296774193548387,0.373271889400922,0.153225806451613
"Guangdong",3276.1,158695,2577356,1895,53.27,2247.5,88.6,305.2,26,966.4,458,204.9,141633.8,111146,12780,75.91,8.09471416394881,1,11.9747457014079,1,14.7622750132178,0.806451612903226,7.54750168281497,0.838709677419355,3.99397158807531,0.903225806451613,7.71801860621076,0.774193548387097,4.49535531998088,0.258064516129032,5.72423848322358,0.806451612903226,3.29583686600433,0.290322580645161,6.87461206038888,1,6.12905021006055,0.967741935483871,5.32739061403374,0.612903225806452,11.8610071927589,1,11.6186089284748,0.806451612903226,9.45571497213171,1,4.34263590706896,0.903225806451613,0.909677419354839,0.672811059907834,0.92741935483871
"Guangxi",892.4,23696,1044628,929,26.14,2434.1,336.4,287.4,13.7,388.7,160.2,247.9,28649.4,57071,5013,57.39,6.79503440891802,0.67741935483871,10.0731037368325,0.483870967741935,13.8591723564217,0.419354838709677,6.8351845861473,0.419354838709677,3.30100865440672,0.580645161290323,7.79774310243524,0.806451612903226,5.82126917011187,0.612903225806452,5.66434840541079,0.774193548387097,2.68784749378469,0.225806451612903,5.96537721234466,0.774193548387097,5.08264583007253,0.741935483870968,5.51705120937355,0.774193548387097,10.262922683651,0.419354838709677,10.9520689075987,0.0967741935483871,8.51998927871824,0.67741935483871,4.06714464229545,0.161290322580645,0.516129032258065,0.672811059907834,0.338709677419355
"Guizhou",430.8,17236,604915,1572,26.18,1570.1,479.3,186.3,3,29.5,29.5,73.6,22667.1,58685,3860,56.65,6.06796251808071,0.32258064516129,9.75481351515439,0.387096774193548,13.3128448843982,0.225806451612903,7.36073990305828,0.709677419354839,3.302481408723,0.612903225806452,7.35953128995355,0.67741935483871,6.17441090867078,0.741935483870968,5.23271160945004,0.548387096774194,1.38629436111989,0.0645161290322581,3.41772668361337,0.387096774193548,3.41772668361337,0.419354838709677,4.31214050720972,0.290322580645161,10.028713928785,0.32258064516129,10.9799564765185,0.129032258064516,8.25868149626424,0.483870967741935,4.05439024671507,0.0967741935483871,0.451612903225806,0.447004608294931,0.258064516129032
"Hainan",162.6,8607,291842,247,4.73,315.8,44.3,40.4,0.3,181.4,49.5,36.4,7935.7,75903,1048,63.08,5.09742442416865,0.129032258064516,9.06044728240157,0.129032258064516,12.5839712654205,0.129032258064516,5.51342874616498,0.0967741935483871,1.74571553072665,0.129032258064516,5.75827065994027,0.225806451612903,3.81330703248899,0.225806451612903,3.72328088083127,0.225806451612903,0.262364264467491,0.032258064516129,5.20620207764023,0.612903225806452,3.92197333628131,0.483870967741935,3.62167070442049,0.193548387096774,8.97925285071998,0.129032258064516,11.2372246629173,0.451612903225806,6.9555926083963,0.129032258064516,4.1601323027601,0.354838709677419,0.12258064516129,0.285714285714286,0.266129032258065
"Hebei",807.9,26870,3233889,2528,42.89,1784.8,446.6,268,562.6,118,32.6,263.4,47526.9,64352,7378,63.42,6.69567530002391,0.612903225806452,10.1988029171433,0.67741935483871,14.9891963049353,0.903225806451613,7.83557924666997,0.967741935483871,3.78168650370014,0.838709677419355,7.48762177308312,0.741935483870968,6.10389997643777,0.709677419354839,5.59471137960184,0.741935483870968,6.33434478002453,0.967741935483871,4.77912349311153,0.580645161290323,3.51452606696916,0.451612903225806,5.57746310797753,0.870967741935484,10.7690721860105,0.612903225806452,11.0721388319842,0.193548387096774,8.90639340705837,0.838709677419355,4.16542414390305,0.387096774193548,0.8,0.723502304147465,0.508064516129032
