province,bacteria,CARSS_abx,resistant_pc,n_strains
Anhui,S. aureus,Penicillin G,92.8,15010
Anhui,S. aureus,Erythromycin,54.3,15781
Anhui,S. aureus,Oxacillin,37,15933
Anhui,S. aureus,Cefoxitin,32.8,2372
Anhui,S. aureus,Clindamycin,21.8,16165
Anhui,S. aureus,Ciprofloxacin,15.4,8774
Anhui,S. aureus,Tetracycline,17.4,8746
Anhui,S. aureus,Levofloxacin,14.5,15808
Anhui,S. aureus,Trimethroprim/Sulfamethoxazole,7.9,15012
Anhui,S. aureus,Gentamicin,5.5,15895
Anhui,S. aureus,Chloramphenicol,3.9,669
Anhui,S. aureus,Rifampin,1,16376
Anhui,S. aureus,Nitrofurantoin,0.2,4531
Anhui,S. aureus,Teicoplanin,0,5076
Anhui,S. aureus,Vancomycin,0,16217
Anhui,S. aureus,Linezolid,0,16380
Beijing,S. aureus,Penicillin G,84.9,
Beijing,S. aureus,Erythromycin,58.5,
Beijing,S. aureus,Oxacillin,31.1,
Beijing,S. aureus,Cefoxitin,23.4,
Beijing,S. aureus,Clindamycin,26.6,
Beijing,S. aureus,Ciprofloxacin,23.8,
Beijing,S. aureus,Levofloxacin,22.2,
Beijing,S. aureus,Tetracycline,22.4,
Beijing,S. aureus,Gentamicin,12.1,
Beijing,S. aureus,Trimethroprim/Sulfamethoxazole,14.2,
Beijing,S. aureus,Chloramphenicol,5.4,
Beijing,S. aureus,Nitrofurantoin,0.2,
Beijing,S. aureus,Rifampin,1.4,
Beijing,S. aureus,Teicoplanin,0,
Beijing,S. aureus,Vancomycin,0,
Beijing,S. aureus,Linezolid,0,
Tianjin,S. aureus,Penicillin G,82.9,
Tianjin,S. aureus,Erythromycin,58,
Tianjin,S. aureus,Clindamycin,24,
Tianjin,S. aureus,Cefoxitin,21.4,
Tianjin,S. aureus,Ciprofloxacin,14.3,
Tianjin,S. aureus,Oxacillin,19,
Tianjin,S. aureus,Trimethroprim/Sulfamethoxazole,18.2,
Tianjin,S. aureus,Levofloxacin,14.7,
Tianjin,S. aureus,Gentamicin,9.5,
Tianjin,S. aureus,Chloramphenicol,8.6,
Tianjin,S. aureus,Tetracycline,9.1,
Tianjin,S. aureus,Rifampin,0.6,
Tianjin,S. aureus,Nitrofurantoin,0.1,
Tianjin,S. aureus,Teicoplanin,0,
Tianjin,S. aureus,Vancomycin,0,
Tianjin,S. aureus,Linezolid,0,
Hebei,S. aureus,Penicillin G,92.5,
Hebei,S. aureus,Erythromycin,68.2,
Hebei,S. aureus,Clindamycin,36.8,
Hebei,S. aureus,Cefoxitin,31.4,
Hebei,S. aureus,Oxacillin,29.5,
Hebei,S. aureus,Ciprofloxacin,11.8,
Hebei,S. aureus,Trimethroprim/Sulfamethoxazole,15.4,
Hebei,S. aureus,Gentamicin,10.8,
Hebei,S. aureus,Tetracycline,12.8,
Hebei,S. aureus,Levofloxacin,11.7,
Hebei,S. aureus,Chloramphenicol,5.2,
Hebei,S. aureus,Rifampin,1.6,
