province,ABX,sample_type,mean_concentration,unit,bacteria,resistant_pc,n_strains,n
Anhui,Ciprofloxacin,sediments,1.6625,μg/kg,Staphylococcus aureus,15.4,8774,51
Anhui,Erythromycin,sediments,0.44975,μg/kg,Staphylococcus aureus,54.3,15781,44
Anhui,Tetracycline,sediments,0.29600000000000004,μg/kg,Staphylococcus aureus,17.4,8746,55
Beijing,Chloramphenicol,municipal sludge,0.6,μg/kg,Staphylococcus aureus,5.4,NA,17
Beijing,Chloramphenicol,soil,2.5900000000000003,μg/kg,Staphylococcus aureus,5.4,NA,17
Beijing,Erythromycin,municipal sludge,16.166666666666668,μg/kg,Staphylococcus aureus,58.5,NA,44
Beijing,Erythromycin,sediments,2.97,μg/kg,Staphylococcus aureus,58.5,NA,44
Beijing,Erythromycin,soil,0.07500000000000001,μg/kg,Staphylococcus aureus,58.5,NA,44
Beijing,Tetracycline,municipal sludge,167.66500000000002,μg/kg,Staphylococcus aureus,22.4,NA,55
Beijing,Tetracycline,sediments,8.83,μg/kg,Staphylococcus aureus,22.4,NA,55
Beijing,Tetracycline,soil,93.60125000000001,μg/kg,Staphylococcus aureus,22.4,NA,55
Chongqing,Ciprofloxacin,municipal sludge,83.3,μg/kg,Staphylococcus aureus,13,NA,51
Chongqing,Ciprofloxacin,sediments,5.32,μg/kg,Staphylococcus aureus,13,NA,51
Chongqing,Erythromycin,municipal sludge,9.0975,μg/kg,Staphylococcus aureus,52.5,NA,44
Chongqing,Erythromycin,sediments,68.515,μg/kg,Staphylococcus aureus,52.5,NA,44
Chongqing,Tetracycline,municipal sludge,57.4,μg/kg,Staphylococcus aureus,16.4,NA,55
Chongqing,Tetracycline,sediments,142.8133333333333,μg/kg,Staphylococcus aureus,16.4,NA,55
Chongqing,Tetracycline,soil,32.485,μg/kg,Staphylococcus aureus,16.4,NA,55
Fujian,Chloramphenicol,sediments,1.1,μg/kg,Staphylococcus aureus,5.5,NA,17
Fujian,Ciprofloxacin,municipal sludge,313,μg/kg,Staphylococcus aureus,15,NA,51
Fujian,Ciprofloxacin,sediments,14.9065625,μg/kg,Staphylococcus aureus,15,NA,51
Fujian,Ciprofloxacin,soil,92.95,μg/kg,Staphylococcus aureus,15,NA,51
Fujian,Erythromycin,sediments,2.162916666666667,μg/kg,Staphylococcus aureus,44.4,NA,44
Fujian,Tetracycline,municipal sludge,1030,μg/kg,Staphylococcus aureus,24.1,NA,55
Fujian,Tetracycline,sediments,74.01285714285714,μg/kg,Staphylococcus aureus,24.1,NA,55
Fujian,Tetracycline,soil,97.76666666666667,μg/kg,Staphylococcus aureus,24.1,NA,55
Gansu,Chloramphenicol,municipal sludge,480,μg/kg,Staphylococcus aureus,5.3,NA,17
Gansu,Ciprofloxacin,municipal sludge,22.5,μg/kg,Staphylococcus aureus,13.6,NA,51
Guangdong,Chloramphenicol,municipal sludge,66,μg/kg,Staphylococcus aureus,5.9,NA,17
Guangdong,Chloramphenicol,sediments,38.5199074074074,μg/kg,Staphylococcus aureus,5.9,NA,17
Guangdong,Chloramphenicol,soil,10,μg/kg,Staphylococcus aureus,5.9,NA,17
Guangdong,Ciprofloxacin,municipal sludge,1344.7857142857144,μg/kg,Staphylococcus aureus,16.3,NA,51
Guangdong,Ciprofloxacin,sediments,51.973964752567696,μg/kg,Staphylococcus aureus,16.3,NA,51
Guangdong,Ciprofloxacin,soil,15.216666666666667,μg/kg,Staphylococcus aureus,16.3,NA,51
Guangdong,Erythromycin,municipal sludge,100.3,μg/kg,Staphylococcus aureus,39.9,NA,44
Guangdong,Erythromycin,sediments,9.319674185463658,μg/kg,Staphylococcus aureus,39.9,NA,44
Guangdong,Erythromycin,soil,2.4111111111111114,μg/kg,Staphylococcus aureus,39.9,NA,44
Guangdong,Tetracycline,municipal sludge,4302.5,μg/kg,Staphylococcus aureus,28.3,NA,55
Guangdong,Tetracycline,sediments,19.264632352941177,μg/kg,Staphylococcus aureus,28.3,NA,55
Guangdong,Tetracycline,soil,26.444000000000003,μg/kg,Staphylococcus aureus,28.3,NA,55
Guangxi,Chloramphenicol,sediments,8.35,μg/kg,Staphylococcus aureus,7.1,NA,17
Guangxi,Ciprofloxacin,sediments,17.854285714285716,μg/kg,Staphylococcus aureus,11.1,NA,51
Guangxi,Ciprofloxacin,soil,6.456666666666667,μg/kg,Staphylococcus aureus,11.1,NA,51
Guangxi,Erythromycin,sediments,1.9035897435897438,μg/kg,Staphylococcus aureus,40.9,NA,44
Guangxi,Tetracycline,sediments,16.257142857142856,μg/kg,Staphylococcus aureus,31,NA,55
Guangxi,Tetracycline,soil,262.59749999999997,μg/kg,Staphylococcus aureus,31,NA,55
Guizhou,Chloramphenicol,sediments,159.93333333333334,μg/kg,Staphylococcus aureus,6.9,NA,17
Guizhou,Ciprofloxacin,municipal sludge,83.61500000000001,μg/kg,Staphylococcus aureus,7.1,NA,51
Guizhou,Ciprofloxacin,sediments,40.7,μg/kg,Staphylococcus aureus,7.1,NA,51
Guizhou,Erythromycin,municipal sludge,8.37,μg/kg,Staphylococcus aureus,51.2,NA,44
Guizhou,Erythromycin,sediments,0.85,μg/kg,Staphylococcus aureus,51.2,NA,44
Guizhou,Tetracycline,municipal sludge,120.25,μg/kg,Staphylococcus aureus,24.7,NA,55
Guizhou,Tetracycline,sediments,127.3,μg/kg,Staphylococcus aureus,24.7,NA,55
Hainan,Chloramphenicol,sediments,1.65,μg/kg,Staphylococcus aureus,6.1,NA,17
Hainan,Ciprofloxacin,sediments,22.163333333333334,μg/kg,Staphylococcus aureus,9.6,NA,51
Hainan,Ciprofloxacin,soil,20.7,μg/kg,Staphylococcus aureus,9.6,NA,51
Hainan,Erythromycin,sediments,1.35,μg/kg,Staphylococcus aureus,39.1,NA,44
Hainan,Erythromycin,soil,0.2,μg/kg,Staphylococcus aureus,39.1,NA,44
Hainan,Tetracycline,sediments,9.866666666666667,μg/kg,Staphylococcus aureus,35.9,NA,55
Hainan,Tetracycline,soil,83.8,μg/kg,Staphylococcus aureus,35.9,NA,55
Hebei,Ciprofloxacin,municipal sludge,164.27,μg/kg,Staphylococcus aureus,11.8,NA,51
Hebei,Ciprofloxacin,sediments,32.6825,μg/kg,Staphylococcus aureus,11.8,NA,51
Hebei,Ciprofloxacin,soil,5.97,μg/kg,Staphylococcus aureus,11.8,NA,51
Hebei,Erythromycin,municipal sludge,15.57,μg/kg,Staphylococcus aureus,68.2,NA,44
Hebei,Erythromycin,sediments,7.63522633744856,μg/kg,Staphylococcus aureus,68.2,NA,44
Hebei,Tetracycline,municipal sludge,344.17,μg/kg,Staphylococcus aureus,12.8,NA,55
Hebei,Tetracycline,sediments,276.38549382716053,μg/kg,Staphylococcus aureus,12.8,NA,55
Hebei,Tetracycline,soil,7.802,μg/kg,Staphylococcus aureus,12.8,NA,55
Heilongjiang,Tetracycline,soil,43.38,μg/kg,Staphylococcus aureus,14,NA,55
Henan,Ciprofloxacin,sediments,4.3,μg/kg,Staphylococcus aureus,11.9,NA,51
Henan,Ciprofloxacin,soil,5.74,μg/kg,Staphylococcus aureus,11.9,NA,51
Henan,Tetracycline,sediments,20.2,μg/kg,Staphylococcus aureus,17,NA,55
Henan,Tetracycline,soil,7.793333333333333,μg/kg,Staphylococcus aureus,17,NA,55
Hubei,Ciprofloxacin,sediments,3.643333333333333,μg/kg,Staphylococcus aureus,15.8,NA,51
Hubei,Ciprofloxacin,soil,22.8,μg/kg,Staphylococcus aureus,15.8,NA,51
Hubei,Erythromycin,sediments,2.8000000000000003,μg/kg,Staphylococcus aureus,53.2,NA,44
Hubei,Erythromycin,soil,6.6,μg/kg,Staphylococcus aureus,53.2,NA,44
Hubei,Tetracycline,sediments,58.8325,μg/kg,Staphylococcus aureus,14.3,NA,55
Hubei,Tetracycline,soil,25.87,μg/kg,Staphylococcus aureus,14.3,NA,55
Hunan,Ciprofloxacin,municipal sludge,120,μg/kg,Staphylococcus aureus,11.1,NA,51
