Location ID,Location Name,Date,Flow (m3/s)
TC1,Thame at Wheatley,03/11/2009,1.83
TC1,Thame at Wheatley,10/11/2009,1.01
TC1,Thame at Wheatley,16/11/2009,2.88
TC1,Thame at Wheatley,24/11/2009,5.56
TC1,Thame at Wheatley,15/03/2010,3.6
TC1,Thame at Wheatley,11/05/2011,0.882
TC2,Ray at Islip,03/11/2009,0.56
TC2,Ray at Islip,10/11/2009,0.3
TC2,Ray at Islip,16/11/2009,1.04
TC2,Ray at Islip,24/11/2009,4.04
TC2,Ray at Islip,15/03/2010,1.71
TC2,Ray at Islip,11/05/2011,0.31
TC3,Cherwell at Hampton Poyle,03/11/2009,2.187
TC3,Cherwell at Hampton Poyle,10/11/2009,1.44
TC3,Cherwell at Hampton Poyle,16/11/2009,5.21
TC3,Cherwell at Hampton Poyle,24/11/2009,6.506
TC3,Cherwell at Hampton Poyle,15/03/2010,4.262
TC3,Cherwell at Hampton Poyle,11/05/2011,1.611
TC4,Evenlode at Cassington Mill,03/11/2009,1.796
TC4,Evenlode at Cassington Mill,10/11/2009,1.177
TC4,Evenlode at Cassington Mill,16/11/2009,5.223
TC4,Evenlode at Cassington Mill,24/11/2009,9.829
TC4,Evenlode at Cassington Mill,15/03/2010,4.279
TC4,Evenlode at Cassington Mill,11/05/2011,1.466
TC5,Thames at Swinford,03/11/2009,4.09
TC5,Thames at Swinford,10/11/2009,2.02
TC5,Thames at Swinford,16/11/2009,14.8
TC5,Thames at Swinford,24/11/2009,31.2
TC5,Thames at Swinford,15/03/2010,14.5
TC5,Thames at Swinford,11/05/2011,4.14
TC6,Thames at Newbridge,03/11/2009,2.94
TC6,Thames at Newbridge,10/11/2009,1.485
TC6,Thames at Newbridge,16/11/2009,11.248
TC6,Thames at Newbridge,24/11/2009,23.959
TC6,Thames at Newbridge,15/03/2010,10.746
TC6,Thames at Newbridge,11/05/2011,10
TC7,Windrush at Newbridge,03/11/2009,1.71
TC7,Windrush at Newbridge,10/11/2009,1.44
TC7,Windrush at Newbridge,16/11/2009,3.5
TC7,Windrush at Newbridge,24/11/2009,5.86
TC7,Windrush at Newbridge,15/03/2010,4.8
TC7,Windrush at Newbridge,11/05/2011,1.83
TC8,Leach at Lechlade,03/11/2009,0.153
TC8,Leach at Lechlade,10/11/2009,0.146
TC8,Leach at Lechlade,16/11/2009,0.287
TC8,Leach at Lechlade,24/11/2009,0.762
TC8,Leach at Lechlade,15/03/2010,1.12
TC8,Leach at Lechlade,11/05/2011,0.287
TC9,Cole at Lyte Bridge,03/11/2009,0.334
TC9,Cole at Lyte Bridge,10/11/2009,0.231
TC9,Cole at Lyte Bridge,16/11/2009,0.927
TC9,Cole at Lyte Bridge,24/11/2009,3.04
TC9,Cole at Lyte Bridge,15/03/2010,1.12
TC9,Cole at Lyte Bridge,11/05/2011,0.302
TC10,Coln at Welford,03/11/2009,1.11
TC10,Coln at Welford,10/11/2009,1.26
TC10,Coln at Welford,16/11/2009,2.04
TC10,Coln at Welford,24/11/2009,3.15
TC10,Coln at Welford,15/03/2010,3.21
TC10,Coln at Welford,11/05/2011,1.49
TC11,Ock at Abingdon,03/11/2009,0.636
TC11,Ock at Abingdon,10/11/2009,0.505
TC11,Ock at Abingdon,16/11/2009,0.995
TC11,Ock at Abingdon,24/11/2009,1.97
TC11,Ock at Abingdon,15/03/2010,1.95
TC11,Ock at Abingdon,11/05/2011,0.62
TC12,Pang at Tidmarsh,03/11/2009,0.293
