Location ID,Location Name,DATE,Azithromycin (ng/L),Cefotaxime (ng/L),Ciprofloxacin (ng/L),Clarithromycin (ng/L),Doxycycline (ng/L),Erythromycin (ng/L),Norfloxacin (ng/L),Oxytetracyclin (ng/L),Ofloxacin (ng/L),Sulfamethoxazole (ng/L),Trimethoprim (ng/L),Naphazoline (ng/L),Oxymetazoline (ng/L),Xylometazoline (ng/L),Oseltamivir (ng/L)
TC1,Thame at Wheatley,15/03/2010,,,,20.66666667,,74.66666667,,10,,,6.666666667,,,,
TC1,Thame at Wheatley,11/05/2011,,,,19.84552085,5.683722368,85.07957757,,27.06911902,,10.6110161,21.12823489,,,,
TC1,Thame at Wheatley,10/11/2009,,,13.66666667,17.66666667,1.414213562,77.66666667,4.596194078,9.767766953,3.889087297,23,4,,,,136.6666667
TC1,Thame at Wheatley,16/11/2009,,,,11.33333333,,55,,15,,10,4,,,,35.33333333
TC1,Thame at Wheatley,24/11/2009,,24,23.33333333,,5.666666667,62.66666667,27.33333333,23.5,16.5,,4.333333333,,,,73.33333333
TC1,Thame at Wheatley,03/11/2009,,,23,12.33,,60.67,,,,13,4,,,,133.33
TC10,Coln at Welford,15/03/2010,,,,8,,,,,,,,,,,
TC10,Coln at Welford,11/05/2011,,,,6.046403515,,,,,,,5.861832832,,,,
TC10,Coln at Welford,10/11/2009,,,,3.535533906,1.414213562,,,,,,,,,,16.5
TC10,Coln at Welford,16/11/2009,,,,,,,,,,,,,,,
TC10,Coln at Welford,24/11/2009,,,,,,6,,,,,,,,,
TC10,Coln at Welford,03/11/2009,,,,14.67,,,,,,,,,,,
TC11,Ock at Abingdon,15/03/2010,,,,9.333333333,,24.33333333,,,,,,,,,
TC11,Ock at Abingdon,11/05/2011,,,,6.568512986,,37.23671149,,,,,11.70764425,,,,
TC11,Ock at Abingdon,10/11/2009,,,17.45465368,12,,55.5,,,,2.121320344,,,,,
TC11,Ock at Abingdon,16/11/2009,,,,,,28.33333333,,,,,,,,,30
TC11,Ock at Abingdon,24/11/2009,,,,,,22.5,4,,,,,,,,15.5
TC11,Ock at Abingdon,03/11/2009,,,,,,28,,,,,,,,,25
TC12,Pang at Tidmarsh,15/03/2010,,,,,,,,,,,,,,,
TC12,Pang at Tidmarsh,11/05/2011,,,,,,,,,,,1.648812978,,,,
TC12,Pang at Tidmarsh,10/11/2009,,,4.78798701,4.414213562,,16.7475469,,,,,0.707106781,,,,1.414213562
TC12,Pang at Tidmarsh,16/11/2009,,,,,,4,,,,,,,,,3
TC12,Pang at Tidmarsh,24/11/2009,,,,,5,28.5,45,,,,4,,,,16.33333333
TC12,Pang at Tidmarsh,03/11/2009,,,,,,,,,,,,,,,
TC13,Thames at Sonning,15/03/2010,,,,7,,27,,,,,3,,,,
TC13,Thames at Sonning,11/05/2011,,,,5.573355326,,31.66404632,,19.56191993,,,19.15596852,,,,
TC13,Thames at Sonning,10/11/2009,,,19.30330086,7.138071187,,32.47140452,1.414213562,,,8.767766953,0.707106781,,,,70.47140452
TC13,Thames at Sonning,16/11/2009,,,19,8,13,34.33333333,,,17,,,,,,50
TC13,Thames at Sonning,24/11/2009,,,,,,26,8.333333333,,,,4,,,,22.5
TC13,Thames at Sonning,03/11/2009,,,19,7.5,6.5,44.5,,,,,3,,,,43
TC14,Lodden at Charvil,15/03/2010,,,,53.66666667,,105,,,,8,13,,,,
TC14,Lodden at Charvil,11/05/2011,,,,51.4490631,,88.3213519,,16.76141784,,,58.95019595,,,,
TC14,Lodden at Charvil,10/11/2009,,,35.5661616,292.3333333,,71,,,,6.717514421,8.096194078,,,,81.66666667
TC14,Lodden at Charvil,16/11/2009,,50,,18,,25,,,,,5.5,,,,34
TC14,Lodden at Charvil,24/11/2009,,,,,,31.10909091,12.07272727,,,,4,,,,41.84848485
TC14,Lodden at Charvil,03/11/2009,,,,7,5,41,,,,,,,,,97.5
TC15,The Cut at Paley Street,15/03/2010,33.33333333,,46.66666667,153.3333333,5,400,13,27.66666667,10,11.33333333,34.66666667,,,,
TC15,The Cut at Paley Street,11/05/2011,,,8.286189477,96.16395952,31.71270728,310.5856968,,45.59308022,,12.78143523,112.8903125,,,,
