Grid Reference,Location ,Date,Time (h),Flow (m3/h)
SU 62066 90520,Benson WWTP,11/11/2009,15:00,47
SU 62066 90520,Benson WWTP,11/11/2009,16:00,50
SU 62066 90520,Benson WWTP,11/11/2009,17:00,53
SU 62066 90520,Benson WWTP,11/11/2009,18:00,64
SU 62066 90520,Benson WWTP,11/11/2009,19:00,67
SU 62066 90520,Benson WWTP,11/11/2009,20:00,58
SU 62066 90520,Benson WWTP,11/11/2009,21:00,53
SU 62066 90520,Benson WWTP,11/11/2009,22:00,44
SU 62066 90520,Benson WWTP,11/11/2009,23:00,38
SU 62066 90520,Benson WWTP,11/11/2009,00:00,31
SU 62066 90520,Benson WWTP,11/11/2009,01:00,30
SU 62066 90520,Benson WWTP,11/11/2009,02:00,30
SU 62066 90520,Benson WWTP,11/11/2009,03:00,29
SU 62066 90520,Benson WWTP,11/11/2009,04:00,29
SU 62066 90520,Benson WWTP,11/11/2009,05:00,30
SU 62066 90520,Benson WWTP,11/11/2009,06:00,36
SU 62066 90520,Benson WWTP,11/11/2009,07:00,76
SU 62066 90520,Benson WWTP,11/11/2009,08:00,79
SU 62066 90520,Benson WWTP,11/11/2009,09:00,76
SU 62066 90520,Benson WWTP,11/11/2009,10:00,66
SU 62066 90520,Benson WWTP,11/11/2009,11:00,61
SU 62066 90520,Benson WWTP,11/11/2009,12:00,58
SU 62066 90520,Benson WWTP,11/11/2009,13:00,55
SU 62066 90520,Benson WWTP,11/11/2009,14:00,50
SU 62066 90520,Benson WWTP,10/05/2011,15:00,60
SU 62066 90520,Benson WWTP,10/05/2011,16:00,64
SU 62066 90520,Benson WWTP,10/05/2011,17:00,68
SU 62066 90520,Benson WWTP,10/05/2011,18:00,83
SU 62066 90520,Benson WWTP,10/05/2011,19:00,86
SU 62066 90520,Benson WWTP,10/05/2011,20:00,75
SU 62066 90520,Benson WWTP,10/05/2011,21:00,68
SU 62066 90520,Benson WWTP,10/05/2011,22:00,56
SU 62066 90520,Benson WWTP,10/05/2011,23:00,49
SU 62066 90520,Benson WWTP,10/05/2011,00:00,40
SU 62066 90520,Benson WWTP,10/05/2011,01:00,39
SU 62066 90520,Benson WWTP,10/05/2011,02:00,38
SU 62066 90520,Benson WWTP,10/05/2011,03:00,38
SU 62066 90520,Benson WWTP,10/05/2011,04:00,38
SU 62066 90520,Benson WWTP,10/05/2011,05:00,38
SU 62066 90520,Benson WWTP,10/05/2011,06:00,47
SU 62066 90520,Benson WWTP,10/05/2011,07:00,98
SU 62066 90520,Benson WWTP,10/05/2011,08:00,101
SU 62066 90520,Benson WWTP,10/05/2011,09:00,98
SU 62066 90520,Benson WWTP,10/05/2011,10:00,84
SU 62066 90520,Benson WWTP,10/05/2011,11:00,79
SU 62066 90520,Benson WWTP,10/05/2011,12:00,75
SU 62066 90520,Benson WWTP,10/05/2011,13:00,71
SU 62066 90520,Benson WWTP,10/05/2011,14:00,64
