Location ID,Location River,Location Name,Eastings,Northings
TC1,River Thame,Thame at Wheatley,461199.9098,205008.2707
TC2,River Ray,Ray at Islip,452703.0902,213883.7293
TC3,River Cherwell,Cherwell at Hampton Poyle,449931.0902,215227.9098
TC4,River Evenlode,Evenlode at Cassington Mill,444792.9098,210128.2707
TC5,River Thames or Isis,Thames at Swinford,444195.1918,208502.9682
TC6,River Thames or Isis,Thames at Newbridge,440313.4026,201363.3247
TC7,River Windrush,Windrush at Newbridge,440380.7321,201417.3407
TC8,River Leach,Leach at Lechlade,422850.2707,199579.2707
TC9,River Cole,Cole at Lyte Bridge,421086.6316,198008.0902
TC10,River Colne,Coln at Whelford,417154.9098,199179.7293
TC11,River Ock,Ock at Abingdon,449653.3629,196708.2644
TC12,River Pang,Pang at Tidmarsh,463729.0902,175743.0902
TC13,Thames,Thames at Sonning,475290.0761,175882.3057
TC14,River Loddon,Lodden at Charvil,477847.7293,176591.0902
TC15,The Cut,The Cut at Paley Street,487029.0902,176249.0902
TC16,Thames,Thames at Runnymead,500583.6435,172390.0064
TC17,River Wye,Wye at Bourne End,489585.6316,186562.0902
TC18,Thames,Thames at Wallingford,461039.0606,189467.6143
TC19,River Thames or Isis,Thames at Hannington,417489.9495,196098.6042
TC20,Kennet,Kennet at Woolhampton,457207.0476,166551.1683
TC21,Emborne,Enborne at Brimpton,456887.8759,164983.8794
