"x","antibiotic_subtype","antibiotic_type","location","studied_system","treatment_system","scale_of_experiment","type_of_sample","antibiotic_detection_method","antibiotic_concentration_residue_system_mg_kg_water_system_mg_l","test_method_of_ar_gs","target_ar_gs_q_pcr_or_detected_ar_gs_metagenomics","absolute_abundance_residue_system_copies_mg_water_system_copies_m_l","relative_abundance_copies_16s","year","source_id","source"
1,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","1659","","","","",2022,"S001","Han, Z., Feng, H., Luan, X., Shen, Y., Ren, L., Deng, L., Larsson, D.G.J., Gillings, M., Zhang, Y., Yang, M., 2022. Three-Year Consecutive Field Application of Erythromycin Fermentation Residue Following Hydrothermal Treatment: Cumulative Effect on Soil Antibiotic Resistance Genes. Engineering-london. 15, 78–88. https://doi.org/10.1016/j.eng.2022.05.011"
2,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","38","","","","",2022,"S001","Han, Z., Feng, H., Luan, X., Shen, Y., Ren, L., Deng, L., Larsson, D.G.J., Gillings, M., Zhang, Y., Yang, M., 2022. Three-Year Consecutive Field Application of Erythromycin Fermentation Residue Following Hydrothermal Treatment: Cumulative Effect on Soil Antibiotic Resistance Genes. Engineering-london. 15, 78–88. https://doi.org/10.1016/j.eng.2022.05.011"
3,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Applied soil","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","0.83-76×10^-3","Metagenomic sequencing","11multidrug,7MLS,3chloramphenicol,2tetracycline,aadA,bacA,THIN-B,sul1","","",2022,"S001","Han, Z., Feng, H., Luan, X., Shen, Y., Ren, L., Deng, L., Larsson, D.G.J., Gillings, M., Zhang, Y., Yang, M., 2022. Three-Year Consecutive Field Application of Erythromycin Fermentation Residue Following Hydrothermal Treatment: Cumulative Effect on Soil Antibiotic Resistance Genes. Engineering-london. 15, 78–88. https://doi.org/10.1016/j.eng.2022.05.011"
4,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","2270.9","","","","",2021,"S002","Luan, X., Han, Z., Shen, Y., Yang, M., Zhang, Y., 2021. Assessing the effect of treated erythromycin fermentation residue on antibiotic resistome in soybean planting soil: In situ field study. Science of The Total Environment 779, 146329. https://doi.org/10.1016/j.scitotenv.2021.146329"
5,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","0.54200000000000004","","","","",2021,"S002","Luan, X., Han, Z., Shen, Y., Yang, M., Zhang, Y., 2021. Assessing the effect of treated erythromycin fermentation residue on antibiotic resistome in soybean planting soil: In situ field study. Science of The Total Environment 779, 146329. https://doi.org/10.1016/j.scitotenv.2021.146329"
6,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Applied soil","","","Metagenomic sequencing","69-106","","0.086-0.142",2021,"S002","Luan, X., Han, Z., Shen, Y., Yang, M., Zhang, Y., 2021. Assessing the effect of treated erythromycin fermentation residue on antibiotic resistome in soybean planting soil: In situ field study. Science of The Total Environment 779, 146329. https://doi.org/10.1016/j.scitotenv.2021.146329"
7,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","18.43","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
8,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","34.340000000000003","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
9,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","72.84","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
10,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","136.22999999999999","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
