dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_abbre,ABX_conc_mean,unit
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Fluoroquinolones,Ofloxacin,OFX,165,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Fluoroquinolones,Ofloxacin,OFX,835,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Fluoroquinolones,Norfloxacin,NFX,187,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Fluoroquinolones,Norfloxacin,NFX,372,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Fluoroquinolones,Ofloxacin,OFX,227,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Fluoroquinolones,Ofloxacin,OFX,886,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Fluoroquinolones,Norfloxacin,NFX,301,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Fluoroquinolones,Norfloxacin,NFX,40,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Macrolides,Roxithromycin,RTM,32,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Macrolides,Roxithromycin,RTM,44,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Macrolides,Erythromycin-H2O,ETM-H2O,38,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Macrolides,Erythromycin-H2O,ETM-H2O,62,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Macrolides,Roxithromycin,RTM,40,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Macrolides,Roxithromycin,RTM,64,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Macrolides,Erythromycin-H2O,ETM-H2O,76,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Macrolides,Erythromycin-H2O,ETM-H2O,195,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Other,Chloramphenicol,CAP,NA,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Other,Chloramphenicol,CAP,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Other,Chloramphenicol,CAP,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Other,Chloramphenicol,CAP,NA,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Sulfonamides,Sulfamethoxazole,SMX,NA,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Sulfonamides,Sulfamethoxazole,SMX,NA,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Sulfonamides,Sulfadiazine,SDZ,NA,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Sulfonamides,Sulfadiazine,SDZ,NA,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Sulfonamides,Sulfadimidine,SDMD,NA,μg/kg
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Sulfonamides,Sulfadimidine,SDMD,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Sulfonamides,Sulfamethoxazole,SMX,NA,μg/kg
