province,bacteria,abx,resistant_pc
Anhui,S. aureus,penicillin g,92.8
Anhui,S. aureus,erythromycin,54.3
Anhui,S. aureus,oxacillin,37
Anhui,S. aureus,clindamycin,21.8
Anhui,S. aureus,ciprofloxacin,15.4
Anhui,S. aureus,tetracycline,17.4
Anhui,S. aureus,levofloxacin,14.5
Anhui,S. aureus,gentamicin,5.5
Anhui,S. aureus,chloramphenicol,3.9
Anhui,S. aureus,rifampicin,1
Beijing,S. aureus,penicillin g,84.9
Beijing,S. aureus,erythromycin,58.5
Beijing,S. aureus,oxacillin,31.1
Beijing,S. aureus,clindamycin,26.6
Beijing,S. aureus,ciprofloxacin,23.8
Beijing,S. aureus,levofloxacin,22.2
Beijing,S. aureus,tetracycline,22.4
Beijing,S. aureus,gentamicin,12.1
Beijing,S. aureus,chloramphenicol,5.4
Beijing,S. aureus,rifampicin,1.4
Tianjin,S. aureus,penicillin g,82.9
Tianjin,S. aureus,erythromycin,58
Tianjin,S. aureus,clindamycin,24
Tianjin,S. aureus,ciprofloxacin,14.3
Tianjin,S. aureus,oxacillin,19
Tianjin,S. aureus,levofloxacin,14.7
Tianjin,S. aureus,gentamicin,9.5
Tianjin,S. aureus,chloramphenicol,8.6
Tianjin,S. aureus,tetracycline,9.1
Tianjin,S. aureus,rifampicin,0.6
Hebei,S. aureus,penicillin g,92.5
Hebei,S. aureus,erythromycin,68.2
Hebei,S. aureus,clindamycin,36.8
Hebei,S. aureus,oxacillin,29.5
Hebei,S. aureus,ciprofloxacin,11.8
Hebei,S. aureus,gentamicin,10.8
Hebei,S. aureus,tetracycline,12.8
Hebei,S. aureus,levofloxacin,11.7
Hebei,S. aureus,chloramphenicol,5.2
Hebei,S. aureus,rifampicin,1.6
Shanxi,S. aureus,penicillin g,93
Shanxi,S. aureus,erythromycin,58.6
Shanxi,S. aureus,clindamycin,30.8
Shanxi,S. aureus,oxacillin,16.2
Shanxi,S. aureus,ciprofloxacin,10.1
Shanxi,S. aureus,gentamicin,8.6
Shanxi,S. aureus,tetracycline,9.9
Shanxi,S. aureus,levofloxacin,9.7
Shanxi,S. aureus,chloramphenicol,5.4
Shanxi,S. aureus,rifampicin,0.9
Inner Mongolia,S. aureus,penicillin g,88.8
Inner Mongolia,S. aureus,erythromycin,68.5
Inner Mongolia,S. aureus,clindamycin,30
Inner Mongolia,S. aureus,chloramphenicol,6.2
Inner Mongolia,S. aureus,ciprofloxacin,17.2
Inner Mongolia,S. aureus,levofloxacin,16.6
Inner Mongolia,S. aureus,oxacillin,18.1
Inner Mongolia,S. aureus,tetracycline,13.7
Inner Mongolia,S. aureus,gentamicin,9
Inner Mongolia,S. aureus,rifampicin,2.6
Liaoning,S. aureus,chloramphenicol,8
Liaoning,S. aureus,clindamycin,35.7
Liaoning,S. aureus,ciprofloxacin,26.1
Liaoning,S. aureus,erythromycin,73
Liaoning,S. aureus,gentamicin,9.2
Liaoning,S. aureus,levofloxacin,25.4
Liaoning,S. aureus,oxacillin,14.9
Liaoning,S. aureus,penicillin g,86.9
Liaoning,S. aureus,rifampicin,1.6
Liaoning,S. aureus,tetracycline,11.7
Jilin,S. aureus,chloramphenicol,9.8
Jilin,S. aureus,clindamycin,37
Jilin,S. aureus,ciprofloxacin,29.9
Jilin,S. aureus,erythromycin,74.8
Jilin,S. aureus,gentamicin,15.1
Jilin,S. aureus,levofloxacin,30.4
Jilin,S. aureus,oxacillin,19.2
Jilin,S. aureus,penicillin g,87.9
Jilin,S. aureus,rifampicin,2
Jilin,S. aureus,tetracycline,14.7
Heilongjiang,S. aureus,chloramphenicol,6.3
Heilongjiang,S. aureus,clindamycin,43.4
Heilongjiang,S. aureus,ciprofloxacin,25.6
Heilongjiang,S. aureus,erythromycin,72.9
Heilongjiang,S. aureus,gentamicin,14.3
Heilongjiang,S. aureus,levofloxacin,24.2
Heilongjiang,S. aureus,oxacillin,19
Heilongjiang,S. aureus,penicillin g,85.6
Heilongjiang,S. aureus,rifampicin,2.2
Heilongjiang,S. aureus,tetracycline,14
Shanghai,S. aureus,chloramphenicol,3.8
Shanghai,S. aureus,clindamycin,25.7
Shanghai,S. aureus,ciprofloxacin,33.2
Shanghai,S. aureus,erythromycin,48.9
Shanghai,S. aureus,gentamicin,13.4
Shanghai,S. aureus,levofloxacin,29.7
Shanghai,S. aureus,oxacillin,42.7
Shanghai,S. aureus,penicillin g,87.8
Shanghai,S. aureus,rifampicin,0.8
Shanghai,S. aureus,tetracycline,28.7
Jiangsu,S. aureus,chloramphenicol,3.4
Jiangsu,S. aureus,clindamycin,23.5
Jiangsu,S. aureus,ciprofloxacin,28.8
Jiangsu,S. aureus,erythromycin,54.7
Jiangsu,S. aureus,gentamicin,10.2
Jiangsu,S. aureus,levofloxacin,25.4
Jiangsu,S. aureus,oxacillin,38.8
Jiangsu,S. aureus,penicillin g,91.3
Jiangsu,S. aureus,rifampicin,0.8
Jiangsu,S. aureus,tetracycline,20.7
Zhejiang,S. aureus,chloramphenicol,3.1
Zhejiang,S. aureus,clindamycin,18.2
Zhejiang,S. aureus,ciprofloxacin,17.1
Zhejiang,S. aureus,erythromycin,48.3
Zhejiang,S. aureus,gentamicin,4.8
Zhejiang,S. aureus,levofloxacin,16.6
Zhejiang,S. aureus,oxacillin,28.7
Zhejiang,S. aureus,penicillin g,88.5
Zhejiang,S. aureus,rifampicin,0.6
Zhejiang,S. aureus,tetracycline,14.6
Fujian,S. aureus,chloramphenicol,5.5
Fujian,S. aureus,clindamycin,22.6
Fujian,S. aureus,ciprofloxacin,15
Fujian,S. aureus,erythromycin,44.4
Fujian,S. aureus,gentamicin,9
Fujian,S. aureus,levofloxacin,14.6
Fujian,S. aureus,oxacillin,27.4
Fujian,S. aureus,penicillin g,88.2
Fujian,S. aureus,rifampicin,1.8
Fujian,S. aureus,tetracycline,24.1
Jiangxi,S. aureus,chloramphenicol,3.5
Jiangxi,S. aureus,clindamycin,22.1
Jiangxi,S. aureus,ciprofloxacin,13.6
Jiangxi,S. aureus,erythromycin,41.7
Jiangxi,S. aureus,gentamicin,6.2
Jiangxi,S. aureus,levofloxacin,12.4
Jiangxi,S. aureus,oxacillin,21.5
Jiangxi,S. aureus,penicillin g,91.8
Jiangxi,S. aureus,rifampicin,1.5
Jiangxi,S. aureus,tetracycline,17.1
Shandong,S. aureus,chloramphenicol,4.5
Shandong,S. aureus,clindamycin,30.1
Shandong,S. aureus,ciprofloxacin,14.3
Shandong,S. aureus,erythromycin,67.6
Shandong,S. aureus,gentamicin,7.8
Shandong,S. aureus,levofloxacin,13.9
Shandong,S. aureus,oxacillin,25
Shandong,S. aureus,penicillin g,92.9
Shandong,S. aureus,rifampicin,0.8
Shandong,S. aureus,tetracycline,11.4
Henan,S. aureus,chloramphenicol,5.9
Henan,S. aureus,clindamycin,44.1
Henan,S. aureus,ciprofloxacin,11.9
Henan,S. aureus,erythromycin,69.6
Henan,S. aureus,gentamicin,10.1
Henan,S. aureus,levofloxacin,13.5
Henan,S. aureus,oxacillin,35.1
Henan,S. aureus,penicillin g,94.7
Henan,S. aureus,rifampicin,1.6
Henan,S. aureus,tetracycline,17
Hubei,S. aureus,penicillin g,92.1
Hubei,S. aureus,erythromycin,53.2
Hubei,S. aureus,clindamycin,28.7
Hubei,S. aureus,oxacillin,24.5
Hubei,S. aureus,ciprofloxacin,15.8
Hubei,S. aureus,tetracycline,14.3
Hubei,S. aureus,levofloxacin,14.4
Hubei,S. aureus,gentamicin,8.2
Hubei,S. aureus,chloramphenicol,4.8
Hubei,S. aureus,rifampicin,1.5
Hunan,S. aureus,penicillin g,91.4
Hunan,S. aureus,erythromycin,44.4
Hunan,S. aureus,clindamycin,21.1
Hunan,S. aureus,oxacillin,22.8
Hunan,S. aureus,ciprofloxacin,11.1
Hunan,S. aureus,tetracycline,22.1
Hunan,S. aureus,levofloxacin,12.2
Hunan,S. aureus,gentamicin,6.1
Hunan,S. aureus,chloramphenicol,5.3
Hunan,S. aureus,rifampicin,1.4
Guangdong,S. aureus,penicillin g,86.2
Guangdong,S. aureus,erythromycin,39.9
Guangdong,S. aureus,clindamycin,23
Guangdong,S. aureus,oxacillin,28.4
Guangdong,S. aureus,ciprofloxacin,16.3
Guangdong,S. aureus,tetracycline,28.3
Guangdong,S. aureus,levofloxacin,16.6
Guangdong,S. aureus,gentamicin,9.8
Guangdong,S. aureus,chloramphenicol,5.9
Guangdong,S. aureus,rifampicin,2.3
Guangxi,S. aureus,penicillin g,90.5
Guangxi,S. aureus,erythromycin,40.9
Guangxi,S. aureus,clindamycin,26.8
Guangxi,S. aureus,oxacillin,27.6
Guangxi,S. aureus,ciprofloxacin,11.1
Guangxi,S. aureus,tetracycline,31
Guangxi,S. aureus,levofloxacin,9.6
Guangxi,S. aureus,gentamicin,5.7
Guangxi,S. aureus,chloramphenicol,7.1
Guangxi,S. aureus,rifampicin,3.2
Hainan,S. aureus,penicillin g,89.1
Hainan,S. aureus,erythromycin,39.1
Hainan,S. aureus,clindamycin,19.6
Hainan,S. aureus,oxacillin,21.6
Hainan,S. aureus,ciprofloxacin,9.6
Hainan,S. aureus,tetracycline,35.9
Hainan,S. aureus,levofloxacin,9.6
Hainan,S. aureus,gentamicin,4.3
Hainan,S. aureus,chloramphenicol,6.1
Hainan,S. aureus,rifampicin,2.9
Chongqing,S. aureus,penicillin g,92.5
Chongqing,S. aureus,erythromycin,52.5
Chongqing,S. aureus,clindamycin,27.1
Chongqing,S. aureus,oxacillin,26
Chongqing,S. aureus,ciprofloxacin,13
Chongqing,S. aureus,tetracycline,16.4
Chongqing,S. aureus,levofloxacin,13.2
Chongqing,S. aureus,gentamicin,7.7
Chongqing,S. aureus,chloramphenicol,4
Chongqing,S. aureus,rifampicin,1.3
Sichuan,S. aureus,penicillin g,93.4
Sichuan,S. aureus,erythromycin,56
Sichuan,S. aureus,clindamycin,31.5
Sichuan,S. aureus,oxacillin,29.3
Sichuan,S. aureus,ciprofloxacin,13.9
Sichuan,S. aureus,tetracycline,19
Sichuan,S. aureus,levofloxacin,13.9
Sichuan,S. aureus,gentamicin,8.6
Sichuan,S. aureus,chloramphenicol,4.4
Sichuan,S. aureus,rifampicin,1
Guizhou,S. aureus,penicillin g,94.3
Guizhou,S. aureus,erythromycin,51.2
Guizhou,S. aureus,clindamycin,31.8
Guizhou,S. aureus,oxacillin,28.7
Guizhou,S. aureus,ciprofloxacin,7.1
Guizhou,S. aureus,tetracycline,24.7
Guizhou,S. aureus,levofloxacin,7.4
Guizhou,S. aureus,gentamicin,4.5
Guizhou,S. aureus,chloramphenicol,6.9
Guizhou,S. aureus,rifampicin,1
Yunnan,S. aureus,penicillin g,93.7
Yunnan,S. aureus,erythromycin,55.7
Yunnan,S. aureus,clindamycin,31.8
Yunnan,S. aureus,oxacillin,22.1
Yunnan,S. aureus,ciprofloxacin,14.6
Yunnan,S. aureus,tetracycline,33.3
Yunnan,S. aureus,levofloxacin,13.2
Yunnan,S. aureus,gentamicin,8.5
Yunnan,S. aureus,chloramphenicol,11.6
Yunnan,S. aureus,rifampicin,1.4
Tibet,S. aureus,penicillin g,95.5
Tibet,S. aureus,erythromycin,51.4
Tibet,S. aureus,clindamycin,34.5
Tibet,S. aureus,oxacillin,46.3
Tibet,S. aureus,ciprofloxacin,12.4
Tibet,S. aureus,tetracycline,19.7
Tibet,S. aureus,levofloxacin,12.3
Tibet,S. aureus,gentamicin,6.5
Tibet,S. aureus,rifampicin,1.1
Shaanxi,S. aureus,penicillin g,93.9
Shaanxi,S. aureus,erythromycin,65.1
Shaanxi,S. aureus,clindamycin,35.2
Shaanxi,S. aureus,oxacillin,35.6
Shaanxi,S. aureus,ciprofloxacin,12.9
Shaanxi,S. aureus,tetracycline,14.5
Shaanxi,S. aureus,levofloxacin,12.9
Shaanxi,S. aureus,gentamicin,8
Shaanxi,S. aureus,chloramphenicol,5.8
Shaanxi,S. aureus,rifampicin,1.2
Gansu,S. aureus,penicillin g,93.7
Gansu,S. aureus,erythromycin,70.6
Gansu,S. aureus,clindamycin,46.3
Gansu,S. aureus,oxacillin,32.2
Gansu,S. aureus,ciprofloxacin,13.6
Gansu,S. aureus,tetracycline,20.4
Gansu,S. aureus,levofloxacin,12.4
Gansu,S. aureus,gentamicin,11.5
Gansu,S. aureus,chloramphenicol,5.3
Gansu,S. aureus,rifampicin,1.8
Qinghai,S. aureus,penicillin g,93.8
Qinghai,S. aureus,erythromycin,61.8
Qinghai,S. aureus,clindamycin,39.6
Qinghai,S. aureus,oxacillin,30.5
Qinghai,S. aureus,ciprofloxacin,6.8
Qinghai,S. aureus,tetracycline,20.7
Qinghai,S. aureus,levofloxacin,7.6
Qinghai,S. aureus,gentamicin,6.7
Qinghai,S. aureus,chloramphenicol,5
Qinghai,S. aureus,rifampicin,0.9
Ningxia,S. aureus,penicillin g,91.5
Ningxia,S. aureus,erythromycin,56.9
Ningxia,S. aureus,clindamycin,36.9
Ningxia,S. aureus,oxacillin,26.6
Ningxia,S. aureus,ciprofloxacin,10.7
Ningxia,S. aureus,tetracycline,13.3
Ningxia,S. aureus,levofloxacin,9.2
Ningxia,S. aureus,gentamicin,6.5
Ningxia,S. aureus,chloramphenicol,11
Ningxia,S. aureus,rifampicin,1.4
Xinjiang,S. aureus,penicillin g,92.9
Xinjiang,S. aureus,erythromycin,50.9
Xinjiang,S. aureus,clindamycin,28.3
Xinjiang,S. aureus,oxacillin,22.3
Xinjiang,S. aureus,ciprofloxacin,6.5
Xinjiang,S. aureus,tetracycline,13
Xinjiang,S. aureus,levofloxacin,6.5
Xinjiang,S. aureus,gentamicin,4
Xinjiang,S. aureus,chloramphenicol,3.5
Xinjiang,S. aureus,rifampicin,1.2
Anhui,E. coli,amoxicillin,11
Anhui,E. coli,ampicillin,83
Anhui,E. coli,cefazolin,60.4
Anhui,E. coli,cefotaxime,50.6
Anhui,E. coli,ceftriaxone,51.4
Anhui,E. coli,chloramphenicol,24.9
Anhui,E. coli,ciprofloxacin,53
Anhui,E. coli,gentamicin,35.5
Anhui,E. coli,levofloxacin,51.5
Beijing,E. coli,amoxicillin,10.8
Beijing,E. coli,ampicillin,80.1
Beijing,E. coli,cefazolin,65.5
Beijing,E. coli,cefotaxime,50.4
Beijing,E. coli,ceftriaxone,51.1
Beijing,E. coli,chloramphenicol,22.8
Beijing,E. coli,ciprofloxacin,57.1
Beijing,E. coli,gentamicin,33.1
Beijing,E. coli,levofloxacin,56.2
Chongqing,E. coli,amoxicillin,14.9
Chongqing,E. coli,ampicillin,84
Chongqing,E. coli,cefazolin,57.1
Chongqing,E. coli,cefotaxime,48.3
Chongqing,E. coli,ceftriaxone,48.6
Chongqing,E. coli,chloramphenicol,23.5
Chongqing,E. coli,ciprofloxacin,47.4
Chongqing,E. coli,gentamicin,31.3
Chongqing,E. coli,levofloxacin,45.4
Fujian,E. coli,amoxicillin,9.4
Fujian,E. coli,ampicillin,79.6
Fujian,E. coli,cefazolin,61.6
Fujian,E. coli,cefotaxime,45.8
Fujian,E. coli,ceftriaxone,46.1
Fujian,E. coli,chloramphenicol,27.5
Fujian,E. coli,ciprofloxacin,48.6
Fujian,E. coli,gentamicin,31.5
Fujian,E. coli,levofloxacin,46.2
Gansu,E. coli,amoxicillin,13.7
Gansu,E. coli,ampicillin,88.1
Gansu,E. coli,cefazolin,64.5
Gansu,E. coli,cefotaxime,44.3
Gansu,E. coli,ceftriaxone,51.1
Gansu,E. coli,chloramphenicol,21.9
Gansu,E. coli,ciprofloxacin,53.5
Gansu,E. coli,gentamicin,36.7
Gansu,E. coli,levofloxacin,50.9
Guangdong,E. coli,amoxicillin,10.3
Guangdong,E. coli,ampicillin,80.5
Guangdong,E. coli,cefazolin,61
Guangdong,E. coli,cefotaxime,47.1
Guangdong,E. coli,ceftriaxone,45.9
Guangdong,E. coli,chloramphenicol,35.7
Guangdong,E. coli,ciprofloxacin,43.2
Guangdong,E. coli,gentamicin,30.6
Guangdong,E. coli,levofloxacin,42
Guangxi,E. coli,amoxicillin,16.4
Guangxi,E. coli,ampicillin,81.4
Guangxi,E. coli,cefazolin,59.1
Guangxi,E. coli,cefotaxime,46
Guangxi,E. coli,ceftriaxone,45.2
Guangxi,E. coli,chloramphenicol,36.1
Guangxi,E. coli,ciprofloxacin,44
Guangxi,E. coli,gentamicin,33.1
Guangxi,E. coli,levofloxacin,42.8
Guizhou,E. coli,amoxicillin,12.1
Guizhou,E. coli,ampicillin,84.5
Guizhou,E. coli,cefazolin,59.7
Guizhou,E. coli,cefotaxime,46.2
Guizhou,E. coli,ceftriaxone,50.3
Guizhou,E. coli,chloramphenicol,22.6
Guizhou,E. coli,ciprofloxacin,45.6
Guizhou,E. coli,gentamicin,34.2
Guizhou,E. coli,levofloxacin,43.9
Hainan,E. coli,amoxicillin,14.3
Hainan,E. coli,ampicillin,79.2
Hainan,E. coli,cefazolin,53.9
Hainan,E. coli,cefotaxime,45.7
Hainan,E. coli,ceftriaxone,43
