province,municipal sludge_ofloxacin_ug_kg,municipal sludge_norfloxacin_ug_kg,sediments_tetracycline_ug_kg,sediments_oxytetracycline_ug_kg,soil_sulfamethazine_ug_kg,soil_enrofloxacin_ug_kg,soil_ciprofloxacin_ug_kg,soil_chlortetracycline_ug_kg,sediments_ofloxacin_ug_kg,sediments_enrofloxacin_ug_kg,sediments_ciprofloxacin_ug_kg,sediments_erythromycin_ug_kg,sediments_doxycycline_ug_kg,sediments_norfloxacin_ug_kg,sediments_trimethoprim_ug_kg,sediments_sulfamethazine_ug_kg,sediments_sulfamethoxazole_ug_kg,sediments_sulfadiazine_ug_kg,sediments_chlortetracycline_ug_kg,sediments_roxithromycin_ug_kg,sediments_sulfathiazole_ug_kg,soil_sulfadiazine_ug_kg,soil_doxycycline_ug_kg,soil_tetracycline_ug_kg,soil_oxytetracycline_ug_kg,sediments_sulfapyridine_ug_kg,S_aureus_penicillin_g_resistant_pc,S_aureus_erythromycin_resistant_pc,S_aureus_oxacillin_resistant_pc,S_aureus_clindamycin_resistant_pc,S_aureus_ciprofloxacin_resistant_pc,S_aureus_tetracycline_resistant_pc,S_aureus_levofloxacin_resistant_pc,S_aureus_gentamicin_resistant_pc,S_aureus_chloramphenicol_resistant_pc,S_aureus_rifampicin_resistant_pc,E_coli_amoxicillin_resistant_pc,E_coli_ampicillin_resistant_pc,E_coli_cefazolin_resistant_pc,E_coli_cefotaxime_resistant_pc,E_coli_ceftriaxone_resistant_pc,E_coli_chloramphenicol_resistant_pc,E_coli_ciprofloxacin_resistant_pc,E_coli_gentamicin_resistant_pc,E_coli_levofloxacin_resistant_pc,Total_Water_Resources_100_million_cu_m,Surface_Water_Resources_100_million_cu_m,Groundwater_Resources_100_million_cu_m,Overlapped_Measurement_100_million_cu_m,Per_Capita_Water_Resources_cu_m_person,Water_Supply_100_million_cu_m,Surface_Water_Supply_100_million_cu_m,Groundwater_Supply_100_million_cu_m,Nonconventional_Water_Supply_100_million_cu_m,Water_Use_100_million_cu_m,Agriculture_Use_100_million_cu_m,Industry_Use_100_million_cu_m,Households_Service_Use_100_million_cu_m,Artificial_Ecoenvironment_Use_100_million_cu_m,Per_Capita_Water_Use_cu_m_person,Cultivated_Land_1000_ha,Garden_Land_1000_ha,Forest_Land_1000_ha,Grassland_1000_ha,Wetland_1000_ha,Land_for_Urban_Rural_Industrial_Mining_1000_ha,Land_Used_for_Transport_1000_ha,Land_Used_for_Water_Water_Conservancy_1000_ha,Investment_in_Urban_Env_Infra_10000_yuan,Gas_Supply_10000_yuan,Centralized_Heating_10000_yuan,Drainage_Works_10000_yuan),Gardening_Greening_10000_yuan,Environmental_Sanitation_10000_yuan),Irrigated_Area_of_Cultivated_Land_1000_ha,Consumption_of_Chemical_Fertilizers_10000_tons,Nitrogenous_Fertilizer_10000_tons,Phosphatic_Fertilizer_10000_tons,Potassic_Fertilizer_10000_tons,Compound_Fertilizer_10000_tons,Village_Clinics...37,Village_run,Outlets_of_Township_Health_Centers,Joint_run,Private_run,Others,Investment_Completed_in_Treatment_of_Industrial_Pollution_10000_yuan,Treatment_of_Wastewater_10000_yuan,Treatment_of_Waste_Gas_10000_yuan,Treatment_of_Solid_Waste_10000_yuan,Treatment_of_Noise_Pollution_10000_yuan,Treatment_of_Other_Pollution_10000_yuan,Total_Health_Care_Institutions,General_Hospitals,Traditional_Chinese_Medicine_Hospitals,Specialized_Hospitals,Health_Care_Institutions_at_Grassroot_Level,Community_Health_Service_Centers_Stations,Township_Health_Centers,Village_Clinics...56,Outpatient_Departments,Specialized_Public_Health_Institutions,Centers_for_Disease_Control,Specialized_Disease_Prevention_Treatment_Institutions,Maternal_and_Children_Care_Centers,Health_Inspection_Institutions,COD_ton,Ammonia_Nitrogen_ton,Total_Nitrogen_ton,Total_Phosphorus_ton,Petroleum_ton,Volatile_Phenol_kg,Cyanide_kg,Heavy_Metals_kg
Anhui,NA,NA,0.019,7.5,NA,NA,NA,NA,219,0.6,0.3,0.1,NA,0.3,0.4,0.7,0.3,0.7,27.1,0.2,0.02,NA,NA,NA,NA,0.08,92.8,54.3,37,21.8,15.4,17.4,14.5,5.5,3.9,1,11,83,60.4,50.6,51.4,24.9,53,35.5,51.5,889.7,810.9,216.6,78.7,1453.3,274.7,244.6,21.5,8.6,274.7,148,80,37.2,9.6,448.7,5563.5,369.3,4047.2,66.1,40.3,1755.5,333.7,1709.1,2968658,226473,65846,1816061,496932,363346,4701.1,275.5,62.2,8,11,194.3,15555,9269,25,2508,698,3055,211040,15252,188767,4412,5,2603,32635,1354,699,156,30583,1825,15555,15555,11894,499,128,57,129,101,1397464,59516,175309,22504,119,1106,814,2189
Beijing,3150,2003.7,13.3,12,94.93,47,23,796.595,6.35,4.59,28,2.97,NA,16.7,7.08,0.22,0.04,0.8,10.2,0.64,NA,2.485,NA,229.055,640.7850000000001,0.04,84.9,58.5,31.1,26.6,NA,22.4,22.2,12.1,5.4,1.4,10.8,80.1,65.5,50.4,51.1,22.8,57.1,33.1,56.2,52.9,24.5,42,28.4,242.2,42.1,16.7,12.2,13.2,42.1,2.4,2.8,19.3,17.6,192.7,130.7,105.3,963.2,16.1,3,295.8,52.2,63.7,1860629,197424,245789,569118,630811,217487,120.6,6.7,1.7,0.2,0.3,4.4,2552,2327,74,1,142,8,4658,1055,3595,NA,NA,8,11273,682,197,210,10290,2016,2552,2552,5722,95,29,16,18,17,114599,9356,23650,1185,4,131,19,54
Chongqing,3150,2003.7,2.73,1.7,37.86,43.25,NA,21.8,1170,32.48,5.32,131.29,10.4,1290,9.1,5.91,64.75,18.36,2.46,20.14,2.65,4.09,0.3,39.1,18.92,0.79,92.5,52.5,26,27.1,13,16.4,13.2,7.7,4,1.3,14.9,84,57.1,48.3,48.6,23.5,47.4,31.3,45.4,469.8,469.8,96.2,NA,1472.5,71.3,64.7,0.3,6.3,71.3,25.1,21.8,22.7,1.7,223.5,1869.6,280.2,4671,27.5,14.5,640,184.6,273.3,1580317,275939,1100,770490,409854,122934,698.4,88.2,41.6,15.1,5.1,26.4,9353,7169,786,152,404,842,10537,113,10410,8,NA,6,23815,851,433,143,22734,620,9353,9353,11972,121,41,8,40,6,429462,24196,65315,6565,115,3664,483,251
Fujian,4870,NA,6.3,11.6,NA,322.7,138.3,2668.9,0.8,0.2,2.6,0.1,9.34,0.4,0.3,0.04,0.1,0.019,1.1,0.2,0.03,NA,NA,189.8,310.20000000000005,0.09,88.2,44.4,27.4,22.6,15,24.1,14.6,9,5.5,1.8,9.4,79.6,61.6,45.8,46.1,27.5,48.6,31.5,46.2,1326.8,1324.6,342.6,2.2,3168.1,172.5,161,2.1,9.5,172.5,94.2,29.4,31.5,17.5,411.9,926.3,922,8769.6,76.7,186.3,730.3,235.2,372.3,1410718,63222,63222,895674,254111,197711,873.1,86.4,30.2,11.8,16.8,27.6,16302,10511,1105,203,2916,1567,346087,34676,304190,1765,2187,3269,30543,736,390,93,29416,755,16302,16302,11484,282,101,18,94,46,602380,48195,125430,15302,45,500,951,2129
Gansu,162.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7,70.6,32.2,46.3,13.6,20.4,12.4,11.5,5.3,1.8,13.7,88.1,64.5,44.3,51.1,21.9,53.5,36.7,50.9,261.4,250.6,123.3,10.8,1062,117.3,83.9,28.5,4.8,117.3,90,6.4,10.6,10.3,476.5,5220.3,413.4,8218.9,14039.3,1182.1,887.1,358.3,413.7,1718766,218513,525968,722488,81172,170625,1453.9,77.3,29.4,14.1,7.7,26,16222,5742,6755,751,1413,1561,64955,9911,36913,607,NA,17524,26741,765,365,127,25653,832,16222,16222,7255,286,105,10,99,4,920791,12589,46883,6804,12,542,105,804
Guangdong,1695,2275.5,6.8,16,4.2,41.73,36.4,8.92,10.05,9.3,54.25,53.24,5.2,39.1,3.62,6.3,28.15,19.4,17.3,7.65,37,1.65,2.79,5.64,38.39,14.5,86.2,39.9,28.4,23,16.3,28.3,16.6,9.8,5.9,2.3,10.3,80.5,61,47.1,45.9,35.7,43.2,30.6,42,2349.1,2339.4,555.7,9.7,1843.4,411.3,379.4,5.4,26.5,411.3,194.8,73,117.1,26.3,322.8,1914.7,1282.9,10698.5,244,176.3,1849.6,374.3,1322.7,2577356,196177,340526,2092772,171500,116907,1560.9,204.9,76.1,24.5,39.4,64.9,24921,12604,2888,213,5202,4014,305089,175457,96588,50,90,32904,66125,1895,971,208,63170,2816,24921,24921,34273,662,147,121,132,85,1706500,97879,280421,33917,121,1782,4236,5999
Guangxi,NA,NA,9.28,2.11,3.69,95.8,14,12900,2.67,1.1,5.08,0.53,15.61,5.74,0.24,0.09,0.22,0.55,43.38,0.04,0.03,4.95,499,1010,1410,0.09,90.5,40.9,27.6,26.8,11.1,31,9.6,5.7,7.1,3.2,16.4,81.4,59.1,46,45.2,36.1,44,33.1,42.8,2467,2465.9,426.3,1.1,4914.3,250.5,240.2,5.2,5,250.5,179.6,28.7,35.8,6.3,499,3286.7,1625.3,16025.4,287,125.6,1034.6,416,750.7,1044628,80767,340526,762239,96746,104876,1778.3,247.9,62.7,25.4,47.8,112,17814,12930,1306,32,3421,125,83097,72,25219,4794,NA,53013,34685,929,464,126,33324,360,17814,17814,13885,352,122,24,106,55,1005915,59270,205939,25624,23,377,921,1432
Guizhou,155.31,122.59,127.3,80.96666666666667,NA,NA,NA,NA,33.9,27.6,40.7,0.85,NA,56.4,NA,0.94,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,94.3,51.2,28.7,31.8,7.1,24.7,7.4,4.5,6.9,1,12.1,84.5,59.7,46.2,50.3,22.6,45.6,34.2,43.9,969.1,969.1,238,NA,2509,93,90.3,1.2,1.5,93,59.5,10.3,22.1,1.1,240.8,3415.2,563.3,11213.6,195.2,7,788.1,373.7,264.9,604915,116190,5472,418125,19070,46058,1244.1,73.6,29.4,7.9,6.5,29.7,18972,11623,516,230,3233,3370,153814,59376,20892,13,5,73541,30869,1572,1029,156,28951,1097,18972,18972,18972,282,101,4,99,22,1179543,34203,107413,15993,14,329,397,725
Hainan,NA,NA,13.8,26.55,NA,NA,NA,NA,3.7,2.35,1.45,1.35,9.34,8.4,NA,6.2,12.05,15.15,0,1.55,0.03,NA,NA,NA,NA,0.09,89.1,39.1,21.6,19.6,9.6,35.9,9.6,4.3,6.1,2.9,14.3,79.2,53.9,45.7,43,35.4,47.7,30.9,45.2,439.7,431.8,115.9,7.9,4205.6,44.4,42.2,1.4,0.8,44.4,29.9,1.7,10.4,2.4,424.7,494.8,1220.6,1142.3,18.3,121.5,253.2,65.2,184,291842,12776,340526,247219,22462,9385,336.3,36.4,9.4,2.3,6.6,18,2121,844,574,22,512,169,1508,583,730,NA,NA,195,6382,247,127,24,5999,216,2121,2121,3362,111,27,16,26,14,175979,8004,30477,4385,2,127,33,44
Hebei,1529.77,1125.78,4.28,12.3,0.11,6.54,5.97,21.46,22.2,4.06,2.93,5.36,5.06,128,3.78,3.4,9.93,3.38,4.41,0.9,0.4,0.01,12.5,11.69,37.1,0.16,92.5,68.2,29.5,36.8,11.8,12.8,11.7,10.8,5.2,1.6,19.1,84.2,64.6,52.4,52.9,24.1,58.1,37.8,54.8,247.9,140.8,179.9,107.2,335.7,189.8,97.9,73.2,18.7,189.8,100.2,16.2,29.1,44.3,257,6088.4,955.3,6333.9,1916.6,135.9,2163.8,434.6,590.8,3233889,57234,714143,1789098,521281,152133,4123.2,263.4,85.7,18.8,18.1,140.7,58222,35253,2632,1159,15401,3777,289888,11375,250214,100,NA,28199,93648,2528,1594,327,90464,1680,58222,58222,28597,515,188,13,184,78,1536069,42970,131062,16123,101,6786,3504,817
