dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_clean,ABX_subcat_abbre,ABX_conc_mean,unit,abx
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,165,μg/kg,ofloxacin
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,835,μg/kg,ofloxacin
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,187,μg/kg,norfloxacin
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,372,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,227,μg/kg,ofloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,886,μg/kg,ofloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,301,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,40,μg/kg,norfloxacin
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Macrolides,Roxithromycin,roxithromycin,RTM,32,μg/kg,roxithromycin
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Macrolides,Roxithromycin,roxithromycin,RTM,44,μg/kg,roxithromycin
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.202408,22.341766,municipal sludge,2006,4,Macrolides,Erythromycin-H2O,erythromycin-h2o,ETM-H2O,38,μg/kg,erythromycin
Zhang_2022,China,Hong Kong,Hong Kong,NA,114.17495,22.327115,municipal sludge,2006,4,Macrolides,Erythromycin-H2O,erythromycin-h2o,ETM-H2O,62,μg/kg,erythromycin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Macrolides,Roxithromycin,roxithromycin,RTM,40,μg/kg,roxithromycin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Macrolides,Roxithromycin,roxithromycin,RTM,64,μg/kg,roxithromycin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.53743,23.111351,municipal sludge,2005,10,Macrolides,Erythromycin-H2O,erythromycin-h2o,ETM-H2O,76,μg/kg,erythromycin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Macrolides,Erythromycin-H2O,erythromycin-h2o,ETM-H2O,195,μg/kg,erythromycin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,20,μg/kg,sulfamethoxazole
Zhang_2022,China,Guangdong,Guangzhou,NA,113.336127,23.113409,municipal sludge,2005,10,Sulfonamides,Sulfadimidine,sulfadimidine,SDMD,31,μg/kg,sulfadimidine
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,municipal sludge,NA,NA,Sulfonamides,Sulfamerazine,sulfamerazine,SMZ1,16.6925,μg/kg,sulfamerazine
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,municipal sludge,NA,NA,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,26.255,μg/kg,sulfamethoxazole
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,municipal sludge,NA,NA,Sulfonamides,Sulfameter,sulfameter,SME,44.31,μg/kg,sulfameter
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,municipal sludge,NA,NA,Sulfonamides,Sulfadiazine,sulfadiazine,SDZ,7.04,μg/kg,sulfadiazine
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,municipal sludge,NA,NA,Sulfonamides,Sulfadimethoxine,sulfadimethoxine,SDM,5.685,μg/kg,sulfadimethoxine
Zhang_2022,China,Zhejiang,NA,North Zhejiang,120.152791,30.267446,soil,NA,NA,Tetracyclines,Tetracycline,tetracycline,TC,0.042,μg/kg,tetracycline
Zhang_2022,China,Zhejiang,NA,North Zhejiang,120.152791,30.267446,soil,NA,NA,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,0.11675,μg/kg,oxytetracycline
Zhang_2022,China,Zhejiang,NA,North Zhejiang,120.152791,30.267446,soil,NA,NA,Tetracyclines,Chlortetracycline,chlortetracycline,CTC,0.046,μg/kg,chlortetracycline
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,1,Other,Chloramphenicol,chloramphenicol,CAP,159.93333333333334,μg/kg,chloramphenicol
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,1,Tetracyclines,Tetracycline,tetracycline,TC,127.3,μg/kg,tetracycline
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,1,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,80.96666666666667,μg/kg,oxytetracycline
Zhang_2022,China,Guangdong,Guangzhou,NA,113.273289,23.15729,sediments,2006,9,Other,Chloramphenicol,chloramphenicol,CAP,195.7,μg/kg,chloramphenicol
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Fluoroquinolones,Ciprofloxacin,ciprofloxacin,CFX,0.8,μg/kg,ciprofloxacin
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Sulfonamides,Sulfamethazine,sulfamethazine,SMZ,0.03,μg/kg,sulfamethazine
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Sulfonamides,Sulfachloropyridazine,sulfachloropyridazine,SCP,0.18,μg/kg,sulfachloropyridazine
