province,antibiotic,metric,value,unit,china_mean,fold_change,log2_fc,qu_category,qu_subcategory,NBS_region,RR_ranking,antibiotic_group,primary_source,environmental_signature
Anhui,Penicillin G,S. aureus resistance,92.8,% resistant strains,90.80645161290323,1.0219538188277086,0.03133000365949296,Second,3,Central,8,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Anhui,Erythromycin,S. aureus resistance,54.3,% resistant strains,56.50322580645161,0.961007079241836,-0.057381036261414275,Second,3,Central,8,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Anhui,Clindamycin,S. aureus resistance,21.8,% resistant strains,30.148387096774194,0.7230900920179756,-0.46775268670099807,Second,3,Central,8,Lincosamides,Clinical + Agriculture,Moderate persistence; used for Gram-positive infections
Anhui,Ciprofloxacin,S. aureus resistance,15.4,% resistant strains,15.596774193548388,0.9873836608066183,-0.01831732328242709,Second,3,Central,8,Quinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Anhui,Tetracycline,S. aureus resistance,17.4,% resistant strains,18.9,0.9206349206349206,-0.11929892837234443,Second,3,Central,8,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Anhui,Levofloxacin,S. aureus resistance,14.5,% resistant strains,15.048387096774194,0.9635584137191854,-0.05355596533731146,Second,3,Central,8,Quinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Anhui,Chloramphenicol,S. aureus resistance,3.9,% resistant strains,5.84,0.6678082191780822,-0.5824942451304065,Second,3,Central,8,Phenicols,Agriculture,Detected in aquaculture sediments and livestock soils
Anhui,Rifampicin,S. aureus resistance,1,% resistant strains,1.4645161290322581,0.6828193832599119,-0.5504240820166775,Second,3,Central,8,Rifamycins,Clinical,Low environmental detection; specialized use
Beijing,Penicillin G,S. aureus resistance,84.9,% resistant strains,90.80645161290323,0.9349555950266429,-0.09703024791504064,First,1,Eastern,4,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Beijing,Erythromycin,S. aureus resistance,58.5,% resistant strains,56.50322580645161,1.03533911852021,0.05010339040499106,First,1,Eastern,4,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Beijing,Clindamycin,S. aureus resistance,26.6,% resistant strains,30.148387096774194,0.8823025893430345,-0.1806545759767347,First,1,Eastern,4,Lincosamides,Clinical + Agriculture,Moderate persistence; used for Gram-positive infections
Beijing,Ciprofloxacin,S. aureus resistance,23.8,% resistant strains,15.596774193548388,1.5259565667011374,0.609713899330615,First,1,Eastern,4,Quinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Beijing,Levofloxacin,S. aureus resistance,22.2,% resistant strains,15.048387096774194,1.47524115755627,0.56095081099786,First,1,Eastern,4,Quinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Beijing,Tetracycline,S. aureus resistance,22.4,% resistant strains,18.9,1.1851851851851851,0.24511249783653138,First,1,Eastern,4,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Beijing,Chloramphenicol,S. aureus resistance,5.4,% resistant strains,5.84,0.9246575342465754,-0.1130089618291863,First,1,Eastern,4,Phenicols,Agriculture,Detected in aquaculture sediments and livestock soils
Beijing,Rifampicin,S. aureus resistance,1.4,% resistant strains,1.4645161290322581,0.9559471365638765,-0.06499725484643584,First,1,Eastern,4,Rifamycins,Clinical,Low environmental detection; specialized use
Tianjin,Penicillin G,S. aureus resistance,82.9,% resistant strains,90.80645161290323,0.9129307282415631,-0.13142269997232864,First,1,Eastern,7,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Tianjin,Erythromycin,S. aureus resistance,58,% resistant strains,56.50322580645161,1.0264900662251657,0.03771966594915884,First,1,Eastern,7,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Tianjin,Clindamycin,S. aureus resistance,24,% resistant strains,30.148387096774194,0.7960624866252942,-0.3290464158694059,First,1,Eastern,7,Lincosamides,Clinical + Agriculture,Moderate persistence; used for Gram-positive infections
