sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,2982.61,11138.52,µg/kg (dw),2016,NA,"Meng, F., Sun, S., Geng, J., Ma, L., Jiang, J., Li, B., Yabo, S. D., Lu, L., Fu, D., Shen, J., & Qi, H. (2023). Occurrence, distribution, and risk assessment of quinolone antibiotics in municipal sewage sludges throughout China. Journal of Hazardous Materials, 453, 131322. https://doi.org/10.1016/j.jhazmat.2023.131322",Additional curated article workbook (Sheet1),N5,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal sludge,Hebei,Hebei,Tetracyclines (total),tetracyclines,NA,4063,µg/g (dw),Pre-2020,NA,A dataset of distribution of antibiotic occurrence in solid environmental matrices in China,Additional curated article workbook (Sheet1),N4,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater effluent,Heilongjiang,Heilongjiang,Norfloxacin,fluoroquinolones,1003.68,NA,ng/L,2024,summer,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China,Additional curated article workbook (Sheet1),N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater effluent,Heilongjiang,Heilongjiang,Norfloxacin,fluoroquinolones,702.02,NA,ng/L,2024,winter,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China,Additional curated article workbook (Sheet1),N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater effluent,Heilongjiang,Heilongjiang,Ofloxacin,fluoroquinolones,141.84,NA,ng/L,2024,summer,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China,Additional curated article workbook (Sheet1),N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater effluent,Heilongjiang,Heilongjiang,Ofloxacin,fluoroquinolones,102.16,NA,ng/L,2024,winter,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China,Additional curated article workbook (Sheet1),N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater influent,Hainan,Hainan,Norfloxacin,fluoroquinolones,NA,412.8,ng/L,2024,NA,"Li, G., Dong, M., Liu, H., Lu, L., Hou, P., & Pan, X. (2025). Occurrence, Distribution, and Ecological Risk Assessment of Antibiotics in Aqueous, Sediment, and Solid Waste of a Typical Island Province in China. Water, 17(19), 2846. https://doi.org/10.3390/w17192846",Additional curated article workbook (Sheet1),N39,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater influent,Hainan,Hainan,Ofloxacin,fluoroquinolones,NA,356.2,ng/L,2024,NA,"Li, G., Dong, M., Liu, H., Lu, L., Hou, P., & Pan, X. (2025). Occurrence, Distribution, and Ecological Risk Assessment of Antibiotics in Aqueous, Sediment, and Solid Waste of a Typical Island Province in China. Water, 17(19), 2846. https://doi.org/10.3390/w17192846",Additional curated article workbook (Sheet1),N39,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater influent,Heilongjiang,Heilongjiang,Ciprofloxacin,fluoroquinolones,NA,3962.18,ng/L,2024,NA,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China,Additional curated article workbook (Sheet1),N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater influent,Heilongjiang,Heilongjiang,Norfloxacin,fluoroquinolones,NA,32381.56,ng/L,2024,NA,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China,Additional curated article workbook (Sheet1),N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal wastewater influent,Heilongjiang,Heilongjiang,Ofloxacin,fluoroquinolones,NA,11173.27,ng/L,2024,NA,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China,Additional curated article workbook (Sheet1),N18,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
sediment,Fujian,Fujian,Doxycycline,tetracyclines,NA,1200,µg/kg (dw),2014,NA,Persistence and risk of antibiotic residues and antibiotic resistance genes in major mariculture sites in Southeast China,Additional curated article workbook (Sheet1),N1,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
sediment,Fujian,Fujian,Doxycycline,tetracyclines,NA,40.57,ng/g (dw),2014,NA,Persistence and risk of antibiotic residues and antibiotic resistance genes in major mariculture sites in Southeast China,Additional curated article workbook (Sheet1),N6,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
