province,k3_cluster,NBS_region,qu_category,dominant_source,dominant_source_label,confidence_tier,evidence_level,contamination_rows,top_score,second_best_score,source_margin,relative_margin,agricultural_combined_score,industrial_combined_score,hospital_municipal_combined_score,top_source_examples,confidence_note
Fujian,2,Eastern,Second,agricultural,Agricultural,high,strong direct evidence,125,299.9063535,92.10142068,207.8049329,0.692899401,299.9063535,92.10142068,85.40996329,"Ofloxacin (Mixed, 4870.0); Chlorotetracycline (Agricultural, 2668.9); Chlorotetracycline (Mixed, 2326.8)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Guangxi,2,Western,Fourth,agricultural,Agricultural,high,strong direct evidence,185,444.4286605,32.09641306,412.3322474,0.927780506,444.4286605,31.44515093,32.09641306,"Chlorotetracycline (Agricultural, 12900.0); Oxytetracycline (Agricultural, 1410.0); Chlorotetracycline (Agricultural, 1010.0)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Hainan,3,Eastern,Fourth,agricultural,Agricultural,high,strong direct evidence,104,136.4162067,64.49420392,71.92200282,0.527224767,136.4162067,12.81138409,64.49420392,"Oxytetracycline (Agricultural, 7580.0); Doxycycline (Agricultural, 4447.5); Oxytetracycline (Agricultural, 359.0)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Henan,1,Central,Fourth,agricultural,Agricultural,high,strong direct evidence,134,157.2705209,48.79114844,108.4793724,0.689762912,157.2705209,9.402577242,48.79114844,"Tylosin (Agricultural, 3170.0); Sulfaguanidine (Mixed, 399.0); Enrofloxacin (Agricultural, 318.0)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Jiangsu,2,Eastern,Second,agricultural,Agricultural,high,strong direct evidence,602,777.4660561,255.9296425,521.5364136,0.67081567,777.4660561,152.3117106,255.9296425,"Ofloxacin (Mixed, 44270.0); Ofloxacin (Mixed, 8827.6); Azithromycin (Hospital/municipal, 6890.9)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Shanghai,3,Eastern,First,agricultural,Agricultural,high,strong direct evidence,338,371.9599062,164.2263962,207.73351,0.558483607,371.9599062,51.5480108,164.2263962,"Oxytetracycline (Agricultural, 5280.0); Chloramphenicol (Agricultural, 4600.0); Oxytetracycline (Agricultural, 3890.0)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Zhejiang,3,Eastern,First,agricultural,Agricultural,high,strong direct evidence,299,237.8181,31.88962137,205.9284786,0.865907509,237.8181,31.88962137,30.3873394,"Chlorotetracycline (Mixed, 80.6); Oxytetracycline (Agricultural, 59.3); Sulfadiazine (Agricultural, 58.4)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Beijing,3,Eastern,First,hospital_municipal,Hospital/municipal,high,strong direct evidence,168,478.2272562,190.6354797,287.5917766,0.601370526,190.6354797,138.9737091,478.2272562,"Ofloxacin (Hospital/municipal, 11000.0); Ofloxacin (Mixed, 6029.1); Ofloxacin (Hospital/municipal, 5548.8)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Chongqing,1,Western,Second,hospital_municipal,Hospital/municipal,high,strong direct evidence,106,327.9008191,137.6937865,190.2070326,0.580074893,54.56498622,137.6937865,327.9008191,"Ofloxacin (Hospital/municipal, 3150.0); Norfloxacin (Hospital/municipal, 2003.7); Norfloxacin (Hospital/municipal, 1290.0)",Dominant source was clearly separated from alternatives and supported by many contamination records.
Inner Mongolia,1,Western,Fourth,mixed,Mixed,indeterminate,no direct contamination evidence,,-0.204728384,-0.311414589,0.106686206,,-0.204728384,-0.424326316,-0.311414589,,Top source scores were too close to separate a single dominant source.
