sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
municipal sludge,Ofloxacin,fluoroquinolones,32,15,3066.3050000000003,6006.1630000000005,11000.0,1.6755441614774091
municipal sludge,Norfloxacin,fluoroquinolones,31,15,1967.71,2747.45,5610.0,1.6307350994437693
municipal sludge,Ciprofloxacin,fluoroquinolones,22,14,140.43,708.7500000000001,1052.0,1.274217891952776
municipal sludge,Oxytetracycline,tetracyclines,18,13,569.755,28145.0,4063000.0,1.25602316414879
municipal sludge,Azithromycin,macrolides,18,12,749.0,869.5100000000003,6890.95,1.252045822214593
municipal sludge,Roxithromycin,macrolides,25,14,29.85,66.5,95.27,1.2299784706006585
municipal sludge,Sulfadiazine,sulfonamides,26,13,3.485,62.5,1287.3,1.0965820561634165
municipal sludge,Sulfamethoxazole,sulfonamides,23,15,4.65,303.2000000000002,2110.0,1.0961473931033232
municipal sludge,Sulfamethazine,sulfonamides,27,13,1.62,14.148000000000009,302.5,1.077642186322205
municipal sludge,Tetracycline,tetracyclines,16,12,107.97500000000001,5065.0,5430.0,1.0679904071686053
municipal sludge,Enrofloxacin,fluoroquinolones,19,13,21.0,1038.6,1077.5,1.0601530721155132
municipal sludge,Chlortetracycline,tetracyclines,16,12,12.015,25275.0,27050.0,0.9240752043057443
municipal sludge,Sulfamerazine,sulfonamides,15,12,15.3,877.98,990.7,0.9102012281538718
municipal sludge,Doxycycline,tetracyclines,15,12,13.6,5781.0,6245.0,0.9027418321630793
municipal sludge,Trimethoprim,sulfonamides,15,11,18.0,133.26199999999994,932.5,0.8963081069175395
municipal sludge,Sulfadimethoxine,sulfonamides,16,12,4.9,5.9625,100.0,0.8704951174289729
municipal sludge,Lomefloxacin,fluoroquinolones,12,9,75.3,719.9300000000003,830.0,0.8354475569979677
municipal sludge,Erythromycin-H2O,macrolides,15,10,6.2,73.2,195.0,0.8042045195838012
municipal sludge,Clarithromycin,macrolides,13,12,5.3,25.500000000000014,29.0,0.7816903624091273
municipal sludge,Sulfathiazole,sulfonamides,11,10,7.1,7.1,75.0,0.674016259696143
municipal sludge,Sulfamonomethoxine,sulfonamides,5,3,233.5,256.8,258.0,0.26227612265413786
municipal sludge,Sulfapyridine,sulfonamides,5,4,38.0,143.4,175.0,0.20845569672629988
municipal sludge,Methacycline,tetracyclines,4,1,416.75,440.45,446.0,0.0036169334446096713
municipal sludge,Epioxytetracycline,tetracyclines,1,1,195000.0,195000.0,195000.0,-0.020224741608587338
municipal sludge,Lincomycin,other,3,1,1128.5,1346.9,1401.5,-0.036190415838720125
municipal sludge,Moxifloxacin,fluoroquinolones,4,2,31.369999999999997,322.88200000000006,441.25,-0.0466381758410976
municipal sludge,Trimethoprim,other,5,2,6.43,11.85,14.45,-0.058744886836500955
municipal sludge,Sulfachlorpyridazine,sulfonamides,4,1,149.5,452.45000000000005,567.5,-0.06552415710758766
municipal sludge,α-apo-oxytetracycline,tetracyclines,1,1,73600.0,73600.0,73600.0,-0.0862116403338764
municipal sludge,Fleroxacin,fluoroquinolones,3,2,70.0,118.0,130.0,-0.1006134037700227
municipal sludge,Sarafloxacin,fluoroquinolones,5,2,2.175,196.69200000000004,326.25,-0.11632531486606083
municipal sludge,Pefloxacin,fluoroquinolones,3,1,222.5,238.1,242.0,-0.14591182392451116
municipal sludge,Chloramphenicol,other,2,2,273.0,438.6,480.0,-0.14732028526896296
municipal sludge,β-apo-oxytetracycline,tetracyclines,1,1,26900.0,26900.0,26900.0,-0.1543758126146867
municipal sludge,Norfloxacin,tetracyclines,1,1,7325.5,7325.5,7325.5,-0.24246246693964418
municipal sludge,Ciprofloxacin,tetracyclines,1,1,5753.0,5753.0,5753.0,-0.2588248353218893
municipal sludge,Ofloxacinoxacin,fluoroquinolones,1,1,4870.0,4870.0,4870.0,-0.270107432287803
municipal sludge,Sulfadimidine,sulfonamides,2,2,24.03,29.606,31.0,-0.30938810717119825
municipal sludge,Flumequine,fluoroquinolones,3,2,2.1,2.18,2.2,-0.31267697571487774
municipal sludge,Sulfameter,sulfonamides,2,2,22.155,39.879000000000005,44.31,-0.3146614162526026
municipal sludge,Tetracycline,sulfonamides,1,1,1030.0,1030.0,1030.0,-0.3752676856483057
municipal sludge,Erythromycin,macrolides,2,2,7.470000000000001,8.406,8.64,-0.3827703986059151
municipal sludge,Gatifloxacin,fluoroquinolones,1,1,352.5,352.5,352.5,-0.4477598361981005
municipal sludge,Ciprofloxacinoxacin,fluoroquinolones,1,1,313.0,313.0,313.0,-0.4557845214645306
municipal sludge,Pipemidic acid,fluoroquinolones,1,1,222.5,222.5,222.5,-0.4788095329522133
municipal sludge,TetracyclineY,tetracyclines,1,1,120.25,120.25,120.25,-0.5202267903879395
municipal sludge,Sulfacetamide,sulfonamides,1,1,89.0,89.0,89.0,-0.5404116676920387
municipal sludge,LevOfloxacin,macrolides,1,1,79.0,79.0,79.0,-0.5483884404748941
municipal sludge,Marbofloxacin,fluoroquinolones,2,1,3.5,6.3,7.0,-0.5485628407044736
municipal sludge,Nadifloxacin,fluoroquinolones,1,1,73.0,73.0,73.0,-0.5536683307293726
municipal sludge,Sulfanilamide,sulfonamides,1,1,73.0,73.0,73.0,-0.5536683307293726
municipal sludge,Sulfisoxazole,sulfonamides,1,1,70.0,70.0,70.0,-0.5564711152225785
municipal sludge,Sulfachinoxalin,sulfonamides,1,1,63.0,63.0,63.0,-0.5635006796600487
