check_id,reference_number,source_group,cleaned_rows,source_rows_checked,source_path_or_basis,compound_agree,province_agree,unit_agree,concentration_agree,spotcheck_note
1,101,Zhang,12,12,data/reports and articles/Papers with required data/2017 Qingzhao Li Distribution and Risk Assessment of Antibiotics in a Typical River in North China Plain.pdf,yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 12 cleaned rows match source values; source has 12 rows, 12 positive/non-ND rows after excluding ND/zero-only records."
2,106,Zhang,13,15,"data/reports and articles/Papers with required data/2018 Ruiling Zhang Occurrence and distribution of antibiotics in mariculture farms, estuaries and the coast of the Beibu Gulf, China- Bioconcentration and diet safety of seafood.pdf",yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 13 cleaned rows match source values; source has 15 rows, 13 positive/non-ND rows after excluding ND/zero-only records."
3,135,Zhang,14,14,data/reports and articles/antibiotics_data/Zhang_2022.xls,yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 14 cleaned rows match source values; source has 14 rows, 13 positive/non-ND rows after excluding ND/zero-only records. Individual article PDF not clearly staged by filename, so record-level check used Zhang workbook as local source baseline."
4,155,Zhang,58,60,"data/reports and articles/Papers with required data/2018 Min Zhang Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems.pdf; Supplementary/Sup 2018 Zhang ...docx",yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 58 cleaned rows match source values; source has 60 rows, 55 positive/non-ND rows after excluding ND/zero-only records."
5,194,Zhang,12,20,"data/reports and articles/Papers with required data/2013 Guangshui Na Occurrence, distribution, and bioaccumulation of antibiotics in coastal environment of Dalian, China.pdf",yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 12 cleaned rows match source values; source has 20 rows, 12 positive/non-ND rows after excluding ND/zero-only records."
6,199,Zhang,10,18,data/reports and articles/antibiotics_data/Zhang_2022.xls,yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 10 cleaned rows match source values; source has 18 rows, 10 positive/non-ND rows after excluding ND/zero-only records. Individual article PDF not clearly staged by filename, so record-level check used Zhang workbook as local source baseline."
7,208,Zhang,14,18,"data/reports and articles/Papers with required data/2013 Ximei Liang The distribution and partitioning of common antibiotics in water and sediment of the Pearl River Estuary, South China.pdf; Sup 2013 Ximei Liang ...doc",yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 14 cleaned rows match source values; source has 18 rows, 14 positive/non-ND rows after excluding ND/zero-only records. Local full-paper/supplement title differs from the Data_Sources ACS-abtract note; values match the Zhang record rows."
8,213,Zhang,4,4,data/reports and articles/antibiotics_data/Zhang_2022.xls,yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 4 cleaned rows match source values; source has 4 rows, 4 positive/non-ND rows after excluding ND/zero-only records. Individual article PDF not clearly staged by filename, so record-level check used Zhang workbook as local source baseline."
9,23,Zhang,20,20,data/reports and articles/Papers with required data/Supplementary/Sup 2011 Yi Occurrence and transport of tetracycline sulfonamide quinolone and macrolide antibiotics in the Haihe River Basin China.pdf,yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 20 cleaned rows match source values; source has 20 rows, 20 positive/non-ND rows after excluding ND/zero-only records."
10,75,Zhang,27,28,data/reports and articles/antibiotics_data/Zhang_2022.xls,yes,yes,yes,yes,"Spotcheck: Zhang_2022 Records sheet plus local paper/supplement where available. 27 cleaned rows match source values; source has 28 rows, 27 positive/non-ND rows after excluding ND/zero-only records. Individual article PDF not clearly staged by filename, so record-level check used Zhang workbook as local source baseline."
11,N18,Supplemental,13,18,data/reports and articles/Papers with required data/2025 Xin-Ming Guo Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China.pdf,yes,yes,yes,yes,Spotcheck: source rows/local PDF validation checked (13 cleaned rows vs 18 source rows). Source path: data/reports and articles/Papers with required data/2025 Xin-Ming Guo Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China.pdf. Prior validation: same_page_confirmed_v2; manually_confirmed_from_source_file; manually_confirmed_unresolved_pass. Rounded duplicate norfloxacin influent max retained as source-equivalent.
