flag_id,publication_id,province,sample_type,matrix,sample_year,antibiotic,unit_raw,mean_raw,unit_converted,mean_converted,flag_codes,flag_reasons,suggested_unit_note,retained_in_env_records,disposition,disposition_note
1,223,Hebei,municipal sludge,sludge,2004,Oxytetracycline,mg/kg dw,4063,ng/g dw,4063000,high_converted;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Another unit scale would place the converted value in the plausible range,"if µg/kg not mg/kg, mean would be 4063 ng/g dw; if ng/g not mg/kg, mean would be 4063 ng/g dw",TRUE,keep — human-confirmed against source,"Li et al. 2008 Table 3: OTC in activated sludge 4,363 ± 520 (SBR) and 3,763 ± 353 mg/kg (continuous-flow); mean 4,063 / max 4,363 match the two reactors. Extreme but source-verified production-WWTP sludge."
2,113,Zhejiang,soil,soil,2016,Clarithromycin,µg/kg dw,0.009,ng/g dw,0.009,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 9000 ng/g dw; if mg/kg not µg/kg, mean would be 9 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
3,113,Zhejiang,soil,soil,2016,Tylosin,µg/kg dw,0.009,ng/g dw,0.009,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 9000 ng/g dw; if mg/kg not µg/kg, mean would be 9 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
4,74,Jiangsu,sediment,sediment,2018,Spiramycin,ng/g,0.008,ng/g,0.008,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 8000 ng/g; if mg/kg not ng/g, mean would be 8 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
5,113,Zhejiang,soil,soil,2016,Flumequine,µg/kg dw,0.008,ng/g dw,0.008,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 8000 ng/g dw; if mg/kg not µg/kg, mean would be 8 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
6,113,Zhejiang,soil,soil,2016,Oxolinic Acid,µg/kg dw,0.008,ng/g dw,0.008,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 8000 ng/g dw; if mg/kg not µg/kg, mean would be 8 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
7,113,Zhejiang,soil,soil,2016,Clarithromycin,µg/kg dw,0.007,ng/g dw,0.007,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 7000 ng/g dw; if mg/kg not µg/kg, mean would be 7 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
8,113,Zhejiang,soil,soil,2016,Danofloxacin,µg/kg dw,0.007,ng/g dw,0.007,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 7000 ng/g dw; if mg/kg not µg/kg, mean would be 7 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
9,113,Zhejiang,soil,soil,2016,Roxithromycin,µg/kg dw,0.007,ng/g dw,0.007,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 7000 ng/g dw; if mg/kg not µg/kg, mean would be 7 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
10,80,Yunnan,soil,soil,NA,Sulfamonomethoxine,ng/g,0.00666666666666666,ng/g,0.00666666666666666,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 6667 ng/g; if mg/kg not ng/g, mean would be 6.667 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
11,80,Yunnan,soil,soil,NA,Sulfaquinoxaline,ng/g,0.00666666666666666,ng/g,0.00666666666666666,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 6667 ng/g; if mg/kg not ng/g, mean would be 6.667 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
12,113,Zhejiang,soil,soil,2016,Sulfachloropyridazine,µg/kg dw,0.006,ng/g dw,0.006,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 6000 ng/g dw; if mg/kg not µg/kg, mean would be 6 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
13,156,Zhejiang,soil,soil,2016,Sulfamethoxazole,ng/g,0.00582926829268292,ng/g,0.00582926829268292,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 5829 ng/g; if mg/kg not ng/g, mean would be 5.829 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
14,156,Zhejiang,soil,soil,2017,Sulfachloropyridazine,ng/g,0.00512195121951219,ng/g,0.00512195121951219,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 5122 ng/g; if mg/kg not ng/g, mean would be 5.122 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
15,221,Fujian,sediment,sediment,NA,Sulfameter,ng/g,0.005,ng/g,0.005,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 5000 ng/g; if mg/kg not ng/g, mean would be 5 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
16,142,Hubei,sediment,sediment,2016,Sulfaquinoxaline,ng/g,0.005,ng/g,0.005,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not ng/g, mean would be 5000 ng/g; if mg/kg not ng/g, mean would be 5 ng/g",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
17,113,Zhejiang,soil,soil,2016,Oxolinic Acid,µg/kg dw,0.005,ng/g dw,0.005,alt_unit_more_plausible,Another unit scale would place the converted value in the plausible range,"if g/kg not µg/kg, mean would be 5000 ng/g dw; if mg/kg not µg/kg, mean would be 5 ng/g dw",TRUE,keep — retained as near-LOD / below review band,Converted mean < 0.01 (audit floor); alt_unit_more_plausible is a weak signal for near-LOD detections. Retained as reported; no evidence of unit mislabeling.
